TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:52,Missouri State,Jarred Dixon,Foul,0,0
19:47,Stetson,Keith Matthews,Turnover,0,0
19:19,Missouri State,Szymon Wojcik,Three Point Jumper,0,3
18:57,Stetson,Ricky Gouety,Foul,0,3
18:57,Stetson,Ricky Gouety,Turnover,0,3
18:44,Missouri State,Keandre Cook,Jumper,0,5
18:26,Stetson,Jahlil Rawley,Turnover,0,5
18:25,Missouri State,Keandre Cook,Turnover,0,5
18:23,Stetson,Jahlil Rawley,Steal,0,5
18:20,Stetson,Jahlil Rawley,Turnover,0,5
18:20,Missouri State,Josh Webster,Steal,0,5
18:20,Missouri State,None,None,0,5
18:00,Missouri State,Jarred Dixon,Missed Three Point Jumper,0,5
18:00,Stetson,Stetson,Defensive Rebound,0,5
17:45,Stetson,Ricky Gouety,Turnover,0,5
17:26,Stetson,Kenny Aninye,Foul,0,5
17:26,Missouri State,Szymon Wojcik,Free Throw,0,6
17:26,Missouri State,Szymon Wojcik,Free Throw,0,7
17:06,Stetson,Ricardo Lynch,Missed Three Point Jumper,0,7
17:06,Stetson,Christiaan Jones,Offensive Rebound,0,7
17:00,Stetson,Christiaan Jones,Missed Jumper,0,7
17:00,Missouri State,Jarred Dixon,Defensive Rebound,0,7
16:55,Missouri State,Jarred Dixon,Missed Layup,0,7
16:55,Stetson,Kenny Aninye,Defensive Rebound,0,7
16:49,Stetson,Marques Sumner,Three Point Jumper,3,7
16:30,Stetson,Kenny Aninye,Foul,3,7
16:25,Missouri State,Kabir Mohammed,Jumper,3,9
16:09,Missouri State,Kabir Mohammed,Foul,3,9
16:09,Stetson,Ricardo Lynch,Free Throw,4,9
16:09,Stetson,Ricardo Lynch,Free Throw,5,9
15:53,Missouri State,Keandre Cook,Missed Three Point Jumper,5,9
15:53,Stetson,Abayomi Iyiola,Defensive Rebound,5,9
15:43,Missouri State,None,None,5,9
15:42,Stetson,Christiaan Jones,Missed Three Point Jumper,5,9
15:42,Missouri State,None,Team Rebound,5,9
15:40,Stetson,Abayomi Iyiola,Foul,5,9
15:34,Missouri State,Darian Scott,Missed Jumper,5,9
15:34,Stetson,Abayomi Iyiola,Block,5,9
15:32,Stetson,Abayomi Iyiola,Defensive Rebound,5,9
15:27,Stetson,Ricardo Lynch,Missed Three Point Jumper,5,9
15:27,Missouri State,Kabir Mohammed,Defensive Rebound,5,9
15:17,Missouri State,Darian Scott,Missed Jumper,5,9
15:17,Stetson,Abayomi Iyiola,Block,5,9
15:14,Stetson,Abayomi Iyiola,Defensive Rebound,5,9
15:10,Stetson,Ricardo Lynch,Layup,7,9
14:56,Missouri State,Kabir Mohammed,Foul,7,9
14:56,Missouri State,Kabir Mohammed,Turnover,7,9
14:49,Stetson,Ricardo Lynch,Missed Three Point Jumper,7,9
14:49,Stetson,Christiaan Jones,Offensive Rebound,7,9
14:43,Stetson,Christiaan Jones,Missed Jumper,7,9
14:42,Stetson,Christiaan Jones,Offensive Rebound,7,9
14:34,Stetson,Christiaan Jones,Jumper,9,9
14:16,Missouri State,Keandre Cook,Jumper,9,11
14:16,Stetson,Adam Webb,Foul,9,11
14:16,Missouri State,Keandre Cook,Missed Free Throw,9,11
14:16,Stetson,Ricardo Lynch,Defensive Rebound,9,11
13:58,Stetson,Marques Sumner,Missed Three Point Jumper,9,11
13:58,Missouri State,Szymon Wojcik,Defensive Rebound,9,11
13:54,Stetson,Ricardo Lynch,Foul,9,11
13:47,Missouri State,Jan Wojcik,Missed Three Point Jumper,9,11
13:47,Missouri State,Ryan Kreklow,Offensive Rebound,9,11
13:44,Stetson,Jahlil Rawley,Foul,9,11
13:44,Missouri State,Ryan Kreklow,Free Throw,9,12
13:44,Missouri State,Ryan Kreklow,Free Throw,9,13
13:35,Stetson,Christiaan Jones,Turnover,9,13
13:34,Missouri State,Ryan Kreklow,Steal,9,13
13:26,Missouri State,Keandre Cook,Turnover,9,13
13:25,Stetson,Christiaan Jones,Steal,9,13
13:16,Stetson,Adam Webb,Turnover,9,13
13:16,Missouri State,Ryan Kreklow,Steal,9,13
13:07,Missouri State,Szymon Wojcik,Turnover,9,13
12:46,Stetson,Leo Goodman,Missed Jumper,9,13
12:46,Missouri State,Missouri State,Defensive Rebound,9,13
