TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
20:00,Maryland,None,None,0,0
19:44,Maryland,Jalen Smith,Jumper,0,2
19:21,North Carolina A&T,Quavius Copeland,Missed Three Point Jumper,0,2
19:21,Maryland,Maryland,Defensive Rebound,0,2
19:06,Maryland,Bruno Fernando,Missed Jumper,0,2
19:06,North Carolina A&T,Kameron Langley,Defensive Rebound,0,2
18:45,North Carolina A&T,Tyrone Lyons,Foul,0,2
18:45,North Carolina A&T,Tyrone Lyons,Turnover,0,2
18:30,Maryland,Jalen Smith,Layup,0,4
18:01,Maryland,Eric Ayala,Foul,0,4
17:54,North Carolina A&T,Quavius Copeland,Three Point Jumper,3,4
17:42,Maryland,Anthony Cowan Jr.,Foul,3,4
17:42,Maryland,Anthony Cowan Jr.,Turnover,3,4
17:31,North Carolina A&T,Terry Harris,Missed Three Point Jumper,3,4
17:31,North Carolina A&T,Ibrahim Sylla,Offensive Rebound,3,4
17:24,North Carolina A&T,Quavius Copeland,Layup,5,4
17:08,Maryland,Darryl Morsell,Dunk,5,6
16:53,North Carolina A&T,Terry Harris,Three Point Jumper,8,6
16:38,Maryland,Eric Ayala,Missed Three Point Jumper,8,6
16:38,North Carolina A&T,Kameron Langley,Defensive Rebound,8,6
16:30,North Carolina A&T,Kameron Langley,Turnover,8,6
16:21,North Carolina A&T,Aaren Edmead,Foul,8,6
16:18,Maryland,Bruno Fernando,Dunk,8,8
15:53,North Carolina A&T,Aaren Edmead,Missed Jumper,8,8
15:53,Maryland,Bruno Fernando,Defensive Rebound,8,8
15:49,North Carolina A&T,Terry Harris,Foul,8,8
15:49,Maryland,None,None,8,8
15:49,Maryland,Anthony Cowan Jr.,Free Throw,8,9
15:49,Maryland,Anthony Cowan Jr.,Missed Free Throw,8,9
15:49,North Carolina A&T,Terry Harris,Defensive Rebound,8,9
15:33,North Carolina A&T,Ibrahim Sylla,Foul,8,9
15:33,North Carolina A&T,Ibrahim Sylla,Turnover,8,9
15:29,Maryland,Bruno Fernando,Jumper,8,11
15:08,North Carolina A&T,Kameron Langley,Turnover,8,11
15:08,Maryland,Bruno Fernando,Steal,8,11
14:54,Maryland,Anthony Cowan Jr.,Turnover,8,11
14:54,North Carolina A&T,Quavius Copeland,Steal,8,11
14:37,North Carolina A&T,Kameron Langley,Missed Layup,8,11
14:37,Maryland,Aaron Wiggins,Defensive Rebound,8,11
14:31,Maryland,Jalen Smith,Missed Three Point Jumper,8,11
14:31,Maryland,Bruno Fernando,Offensive Rebound,8,11
14:21,Maryland,Bruno Fernando,Layup,8,13
14:03,North Carolina A&T,Kameron Langley,Jumper,10,13
13:43,Maryland,Anthony Cowan Jr.,Missed Three Point Jumper,10,13
13:43,Maryland,Bruno Fernando,Offensive Rebound,10,13
13:43,Maryland,Bruno Fernando,Layup,10,15
13:43,North Carolina A&T,Ibrahim Sylla,Foul,10,15
13:43,Maryland,Bruno Fernando,Free Throw,10,16
13:31,North Carolina A&T,Andre Jackson,Missed Layup,10,16
13:31,Maryland,Bruno Fernando,Defensive Rebound,10,16
13:15,Maryland,Serrel Smith Jr.,Missed Three Point Jumper,10,16
13:15,North Carolina A&T,Terry Harris,Defensive Rebound,10,16
12:56,North Carolina A&T,Terry Harris,Missed Three Point Jumper,10,16
12:56,Maryland,Aaron Wiggins,Defensive Rebound,10,16
12:30,Maryland,Anthony Cowan Jr.,Missed Three Point Jumper,10,16
12:30,Maryland,Anthony Cowan Jr.,Offensive Rebound,10,16
12:23,Maryland,Aaron Wiggins,Missed Three Point Jumper,10,16
12:23,North Carolina A&T,Kameron Langley,Defensive Rebound,10,16
12:13,North Carolina A&T,Kameron Langley,Missed Jumper,10,16
12:13,Maryland,Ricky Lindo Jr.,Defensive Rebound,10,16
12:03,Maryland,Ricky Lindo Jr.,Jumper,10,18
11:46,North Carolina A&T,Kameron Langley,Layup,12,18
11:46,Maryland,Ivan Bender,Foul,12,18
11:46,Maryland,None,None,12,18
11:46,North Carolina A&T,Kameron Langley,Free Throw,13,18
11:30,Maryland,Ricky Lindo Jr.,Layup,13,20
11:16,North Carolina A&T,Quavius Copeland,Missed Layup,13,20
11:16,Maryland,Ricky Lindo Jr.,Defensive Rebound,13,20
11:06,Maryland,Serrel Smith Jr.,Jumper,13,22
10:58,Maryland,Aaron Wiggins,Foul,13,22
10:33,North Carolina A&T,Andre Jackson,Missed Three Point Jumper,13,22
10:33,Maryland,Ricky Lindo Jr.,Defensive Rebound,13,22
10:11,Maryland,Aaron Wiggins,Missed Jumper,13,22
10:11,Maryland,Maryland,Offensive Rebound,13,22
10:09,Maryland,Serrel Smith Jr.,Missed Three Point Jumper,13,22
10:09,Maryland,Aaron Wiggins,Offensive Rebound,13,22
10:06,North Carolina A&T,Milik Gantz,Foul,13,22
9:56,Maryland,Jalen Smith,Missed Layup,13,22
9:56,Maryland,Serrel Smith Jr.,Offensive Rebound,13,22
9:43,North Carolina A&T,Nelson Nweke,Foul,13,22
9:43,Maryland,Jalen Smith,Free Throw,13,23
9:43,Maryland,Jalen Smith,Missed Free Throw,13,23
9:43,Maryland,Jalen Smith,Offensive Rebound,13,23
9:38,Maryland,Aaron Wiggins,Three Point Jumper,13,26
9:10,North Carolina A&T,Ronald Jackson,Missed Jumper,13,26
9:10,North Carolina A&T,Nelson Nweke,Offensive Rebound,13,26
9:10,North Carolina A&T,None,None,13,26
9:10,Maryland,Jalen Smith,Defensive Rebound,13,26
9:00,Maryland,Jalen Smith,Dunk,13,28
9:00,North Carolina A&T,Ronald Jackson,Foul,13,28
9:00,Maryland,Jalen Smith,Free Throw,13,29
8:55,North Carolina A&T,Milik Gantz,Turnover,13,29
8:55,Maryland,Aaron Wiggins,Steal,13,29
8:52,Maryland,Aaron Wiggins,Missed Layup,13,29
8:52,North Carolina A&T,D'Andre Johnson,Defensive Rebound,13,29
8:43,Maryland,Eric Ayala,Foul,13,29
8:32,North Carolina A&T,Kameron Langley,Foul,13,29
8:32,North Carolina A&T,Kameron Langley,Turnover,13,29
8:11,Maryland,Bruno Fernando,Foul,13,29
8:11,Maryland,Bruno Fernando,Turnover,13,29
7:51,North Carolina A&T,Aaren Edmead,Missed Layup,13,29
7:51,Maryland,Bruno Fernando,Defensive Rebound,13,29
7:45,Maryland,Darryl Morsell,Turnover,13,29
7:45,Maryland,None,None,13,29
7:27,North Carolina A&T,Ronald Jackson,Jumper,15,29
7:05,Maryland,Bruno Fernando,Missed Layup,15,29
7:05,North Carolina A&T,Ronald Jackson,Block,15,29
7:05,Maryland,Maryland,Offensive Rebound,15,29
7:02,Maryland,Anthony Cowan Jr.,Three Point Jumper,15,32
6:50,North Carolina A&T,Ed Ferguson,Missed Layup,15,32
6:50,North Carolina A&T,D'Andre Johnson,Offensive Rebound,15,32
6:50,North Carolina A&T,None,None,17,32
6:32,Maryland,Anthony Cowan Jr.,Missed Three Point Jumper,17,32
6:32,North Carolina A&T,Ed Ferguson,Defensive Rebound,17,32
6:24,North Carolina A&T,Aaren Edmead,Missed Jumper,17,32
6:24,Maryland,Bruno Fernando,Defensive Rebound,17,32
6:13,Maryland,Bruno Fernando,Missed Layup,17,32
6:13,North Carolina A&T,North Carolina A&T,Defensive Rebound,17,32
6:03,North Carolina A&T,D'Andre Johnson,Layup,19,32
5:43,Maryland,Serrel Smith Jr.,Jumper,19,34
5:13,North Carolina A&T,D'Andre Johnson,Missed Three Point Jumper,19,34
5:13,Maryland,Bruno Fernando,Block,19,34
5:13,Maryland,Bruno Fernando,Defensive Rebound,19,34
4:52,North Carolina A&T,D'Andre Johnson,Foul,19,34
4:52,Maryland,Bruno Fernando,Missed Free Throw,19,34
4:52,Maryland,None,Team Rebound,19,34
4:52,Maryland,Bruno Fernando,Free Throw,19,35
4:32,North Carolina A&T,Quavius Copeland,Missed Three Point Jumper,19,35
4:32,Maryland,Serrel Smith Jr.,Defensive Rebound,19,35
4:23,Maryland,Darryl Morsell,Missed Three Point Jumper,19,35
4:23,Maryland,Bruno Fernando,Offensive Rebound,19,35
4:15,Maryland,Anthony Cowan Jr.,Missed Jumper,19,35
4:15,North Carolina A&T,D'Andre Johnson,Block,19,35
4:15,North Carolina A&T,Kameron Langley,Defensive Rebound,19,35
4:05,North Carolina A&T,Quavius Copeland,Layup,21,35
4:05,Maryland,None,None,21,35
3:57,Maryland,Bruno Fernando,Layup,21,37
3:33,North Carolina A&T,Tyrone Lyons,Missed Layup,21,37
3:33,Maryland,Bruno Fernando,Block,21,37
3:33,Maryland,Ricky Lindo Jr.,Defensive Rebound,21,37
3:21,Maryland,Aaron Wiggins,Three Point Jumper,21,40
3:03,North Carolina A&T,Andre Jackson,Missed Layup,21,40
3:03,Maryland,None,Team Rebound,21,40
2:47,Maryland,Bruno Fernando,Layup,21,42
2:47,North Carolina A&T,Terry Harris,Foul,21,42
2:47,Maryland,Bruno Fernando,Missed Free Throw,21,42
2:47,Maryland,Ricky Lindo Jr.,Offensive Rebound,21,42
2:21,Maryland,Darryl Morsell,Turnover,21,42
2:21,North Carolina A&T,Tyrone Lyons,Steal,21,42
2:17,North Carolina A&T,Kameron Langley,Turnover,21,42
2:17,Maryland,Aaron Wiggins,Steal,21,42
2:11,Maryland,Darryl Morsell,Dunk,21,44
2:01,North Carolina A&T,Nelson Nweke,Layup,23,44
1:49,Maryland,Aaron Wiggins,Missed Three Point Jumper,23,44
1:49,Maryland,Darryl Morsell,Offensive Rebound,23,44
1:49,Maryland,None,None,23,44
1:49,North Carolina A&T,Tyrone Lyons,Defensive Rebound,23,44
1:23,North Carolina A&T,Tyrone Lyons,Missed Three Point Jumper,23,44
1:23,Maryland,Bruno Fernando,Defensive Rebound,23,44
1:14,Maryland,Anthony Cowan Jr.,Missed Layup,23,44
1:14,North Carolina A&T,Nelson Nweke,Defensive Rebound,23,44
0:59,North Carolina A&T,Amari Hamilton,Missed Jumper,23,44
0:59,Maryland,Anthony Cowan Jr.,Defensive Rebound,23,44
0:41,Maryland,Anthony Cowan Jr.,Three Point Jumper,23,47
0:11,North Carolina A&T,Kameron Langley,Turnover,23,47
0:11,Maryland,Darryl Morsell,Steal,23,47
0:07,North Carolina A&T,Kameron Langley,Foul,23,47
0:07,Maryland,Aaron Wiggins,Free Throw,23,48
0:07,Maryland,Aaron Wiggins,Free Throw,23,49
0:02,Maryland,Reese Mona,Foul,23,49
0:02,North Carolina A&T,Tyrone Lyons,Free Throw,24,49
0:02,North Carolina A&T,Tyrone Lyons,Free Throw,25,49
0:02,Maryland,Aaron Wiggins,Missed Three Point Jumper,25,49
0:02,North Carolina A&T,None,Team Rebound,25,49
0:00,Maryland,None,None,25,49
20:00,North Carolina A&T,None,None,25,49
19:45,North Carolina A&T,Amari Hamilton,Missed Three Point Jumper,25,49
19:45,Maryland,Bruno Fernando,Defensive Rebound,25,49
19:17,Maryland,Bruno Fernando,Foul,25,49
19:17,Maryland,Bruno Fernando,Turnover,25,49
19:16,North Carolina A&T,Tyrone Lyons,Missed Three Point Jumper,25,49
19:16,North Carolina A&T,Terry Harris,Offensive Rebound,25,49
