TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:44,Colorado,Evan Battey,Missed Jumper,0,0
19:41,Drake,Nick Norton,Defensive Rebound,0,0
19:13,Drake,Tremell Murphy,Missed Jumper,0,0
19:13,Colorado,Tyler Bey,Block,0,0
19:01,Colorado,Tyler Bey,Defensive Rebound,0,0
18:54,Colorado,Shane Gatling,Missed Three Point Jumper,0,0
18:49,Drake,Brady Ellingson,Defensive Rebound,0,0
18:30,Drake,Nick McGlynn,Missed Three Point Jumper,0,0
18:27,Colorado,Tyler Bey,Defensive Rebound,0,0
18:19,Colorado,Tyler Bey,Layup,0,2
18:07,Drake,Brady Ellingson,Missed Three Point Jumper,0,2
18:07,Colorado,Evan Battey,Block,0,2
17:59,Colorado,Shane Gatling,Defensive Rebound,0,2
17:39,Drake,Brady Ellingson,Foul,0,2
17:25,Colorado,Lucas Siewert,Three Point Jumper,0,5
17:01,Drake,D.J. Wilkins,Three Point Jumper,3,5
16:45,Drake,Tremell Murphy,Foul,3,5
16:45,Colorado,Shane Gatling,Missed Free Throw,3,5
16:45,Colorado,Colorado,Offensive Rebound,3,5
16:44,Colorado,Shane Gatling,Missed Free Throw,3,5
16:42,Drake,Liam Robbins,Defensive Rebound,3,5
16:23,Drake,Brady Ellingson,Missed Three Point Jumper,3,5
16:19,Colorado,Tyler Bey,Defensive Rebound,3,5
16:14,Colorado,McKinley Wright IV,Missed Three Point Jumper,3,5
16:11,Drake,Anthony Murphy,Defensive Rebound,3,5
16:06,Drake,D.J. Wilkins,Three Point Jumper,6,5
15:48,Drake,Liam Robbins,Foul,6,5
15:48,Colorado,None,None,6,5
15:29,Colorado,Daylen Kountz,Missed Three Point Jumper,6,5
15:27,Colorado,Namon Wright,Offensive Rebound,6,5
15:27,Colorado,Namon Wright,Turnover,6,5
15:13,Drake,D.J. Wilkins,Missed Three Point Jumper,6,5
15:10,Colorado,Lucas Siewert,Defensive Rebound,6,5
15:02,Colorado,Tyler Bey,Layup,6,7
14:54,Drake,Nick Norton,Turnover,6,7
14:46,Colorado,Lucas Siewert,Dunk,6,9
14:46,Drake,Liam Robbins,Foul,6,9
14:46,Colorado,Lucas Siewert,Missed Free Throw,6,9
14:45,Drake,Drake,Defensive Rebound,6,9
14:45,Colorado,Tyler Bey,Foul,6,9
14:27,Drake,Nick Norton,Three Point Jumper,9,9
14:09,Colorado,Tyler Bey,Missed Jumper,9,9
14:05,Drake,D.J. Wilkins,Defensive Rebound,9,9
13:53,Drake,Anthony Murphy,Missed Three Point Jumper,9,9
13:49,Colorado,Daylen Kountz,Defensive Rebound,9,9
13:45,Drake,Nick Norton,Foul,9,9
13:45,Colorado,Daylen Kountz,Missed Free Throw,9,9
13:45,Colorado,Colorado,Offensive Rebound,9,9
13:45,Colorado,Daylen Kountz,Free Throw,9,10
13:37,Colorado,Alexander Strating,Foul,9,10
13:29,Drake,Tremell Murphy,Layup,11,10
13:29,Colorado,Evan Battey,Foul,11,10
13:28,Drake,Tremell Murphy,Missed Free Throw,11,10
13:26,Colorado,Alexander Strating,Defensive Rebound,11,10
13:06,Colorado,Evan Battey,Layup,11,12
12:52,Drake,Tremell Murphy,Turnover,11,12
12:52,Colorado,Evan Battey,Steal,11,12
12:45,Drake,D.J. Wilkins,Foul,11,12
12:42,Colorado,Eli Parquet,Turnover,11,12
12:33,Drake,Noah Thomas,Turnover,11,12
12:21,Colorado,Namon Wright,Missed Three Point Jumper,11,12
12:15,Drake,Tremell Murphy,Defensive Rebound,11,12
12:11,Drake,Tremell Murphy,Turnover,11,12
11:48,Colorado,Alexander Strating,Turnover,11,12
11:48,Colorado,None,None,11,12
11:22,Drake,Nick McGlynn,Layup,13,12
11:04,Colorado,Daylen Kountz,Turnover,13,12
11:04,Drake,Nick Norton,Steal,13,12
10:58,Drake,Anthony Murphy,Dunk,15,12
10:44,Colorado,Namon Wright,Three Point Jumper,15,15
10:26,Drake,Nick Norton,Three Point Jumper,18,15
10:10,Colorado,Namon Wright,Missed Three Point Jumper,18,15
10:08,Drake,Nick McGlynn,Defensive Rebound,18,15
10:08,Colorado,Evan Battey,Foul,18,15
10:08,Drake,Nick McGlynn,Free Throw,19,15
10:08,Drake,Nick McGlynn,Missed Free Throw,19,15
10:08,Drake,Drake,Offensive Rebound,19,15
9:56,Drake,Tremell Murphy,Turnover,19,15
9:37,Colorado,McKinley Wright IV,Jumper,19,17
9:28,Colorado,McKinley Wright IV,Foul,19,17
9:28,Drake,Brady Ellingson,Turnover,19,17
9:15,Colorado,McKinley Wright IV,Jumper,19,19
9:00,Drake,Nick Norton,Missed Layup,19,19
8:57,Colorado,Tyler Bey,Defensive Rebound,19,19
8:54,Colorado,Shane Gatling,Layup,19,21
8:37,Drake,Brady Ellingson,Missed Three Point Jumper,19,21
8:33,Colorado,Tyler Bey,Defensive Rebound,19,21
8:27,Drake,Anthony Murphy,Foul,19,21
8:27,Colorado,Tyler Bey,Free Throw,19,22
8:27,Colorado,Tyler Bey,Free Throw,19,23
8:10,Drake,Brady Ellingson,Missed Three Point Jumper,19,23
8:10,Colorado,Shane Gatling,Block,19,23
8:10,Drake,Drake,Offensive Rebound,19,23
7:58,Drake,Nick McGlynn,Turnover,19,23
