TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:44,Tennessee State,Stokley Chaffee Jr.,Dunk,0,2
19:20,Little Rock,Nikola Maric,Turnover,0,2
19:18,Tennessee State,Armani Chaney,Steal,0,2
19:09,Tennessee State,Donte Fitzpatrick-Dorsey,Missed Jumper,0,2
19:09,Tennessee State,Donte Fitzpatrick-Dorsey,Offensive Rebound,0,2
19:01,Tennessee State,Kamar McKnight,Missed Three Point Jumper,0,2
19:01,Tennessee State,Stokley Chaffee Jr.,Offensive Rebound,0,2
18:53,Tennessee State,Jalen Duke,Turnover,0,2
18:52,Little Rock,Rayjon Tucker,Steal,0,2
18:48,Little Rock,Jaizec Lottie,Layup,2,2
18:35,Little Rock,Nikola Maric,Foul,2,2
18:22,Tennessee State,Armani Chaney,Three Point Jumper,2,5
18:10,Tennessee State,Jalen Duke,Foul,2,5
18:10,Little Rock,Nikola Maric,Missed Free Throw,2,5
18:10,Little Rock,None,Team Rebound,2,5
18:10,Little Rock,Nikola Maric,Free Throw,3,5
17:45,Tennessee State,Jalen Duke,Missed Three Point Jumper,3,5
17:45,Little Rock,Kris Bankston,Defensive Rebound,3,5
17:26,Little Rock,Nikola Maric,Jumper,5,5
17:17,Tennessee State,Jalen Duke,Missed Three Point Jumper,5,5
17:17,Little Rock,Little Rock,Defensive Rebound,5,5
16:57,Little Rock,Nikola Maric,Missed Three Point Jumper,5,5
16:57,Tennessee State,Kamar McKnight,Defensive Rebound,5,5
16:45,Tennessee State,Donte Fitzpatrick-Dorsey,Missed Jumper,5,5
16:45,Tennessee State,Donte Fitzpatrick-Dorsey,Offensive Rebound,5,5
16:41,Tennessee State,Donte Fitzpatrick-Dorsey,Missed Jumper,5,5
16:41,Little Rock,Kris Bankston,Block,5,5
16:39,Little Rock,Markquis Nowell,Defensive Rebound,5,5
16:36,Little Rock,Rayjon Tucker,Jumper,7,5
16:13,Tennessee State,Donte Fitzpatrick-Dorsey,Jumper,7,7
16:13,Little Rock,Nikola Maric,Foul,7,7
16:13,Tennessee State,Donte Fitzpatrick-Dorsey,Missed Free Throw,7,7
16:13,Little Rock,Markquis Nowell,Defensive Rebound,7,7
16:13,Little Rock,Markquis Nowell,Turnover,7,7
16:09,Tennessee State,Armani Chaney,Missed Three Point Jumper,7,7
16:09,Tennessee State,DaJion Henderson,Offensive Rebound,7,7
15:47,Tennessee State,Kamar McKnight,Missed Three Point Jumper,7,7
15:47,Little Rock,Rayjon Tucker,Defensive Rebound,7,7
15:38,Little Rock,Rayjon Tucker,Jumper,9,7
15:05,Little Rock,Kris Bankston,Foul,9,7
14:47,Tennessee State,DaJion Henderson,Missed Jumper,9,7
14:47,Little Rock,Kamani Johnson,Block,9,7
14:45,Tennessee State,DaJion Henderson,Offensive Rebound,9,7
14:43,Little Rock,Kamani Johnson,Foul,9,7
14:43,Tennessee State,DaJion Henderson,Missed Free Throw,9,7
14:43,Tennessee State,None,Team Rebound,9,7
14:43,Tennessee State,DaJion Henderson,Free Throw,9,8
14:30,Little Rock,Ryan Pippins,Missed Three Point Jumper,9,8
14:30,Little Rock,Markquis Nowell,Offensive Rebound,9,8
14:22,Little Rock,Markquis Nowell,Missed Three Point Jumper,9,8
14:22,Tennessee State,Kamar McKnight,Defensive Rebound,9,8
14:03,Tennessee State,Michael Littlejohn,Three Point Jumper,9,11
13:42,Little Rock,Rayjon Tucker,Missed Jumper,9,11
13:42,Tennessee State,Daniel Cummings,Defensive Rebound,9,11
13:28,Tennessee State,Michael Littlejohn,Missed Three Point Jumper,9,11
13:28,Tennessee State,Daniel Cummings,Offensive Rebound,9,11
13:05,Tennessee State,Tripp Davis,Missed Layup,9,11
13:05,Little Rock,Kamani Johnson,Defensive Rebound,9,11
12:49,Tennessee State,DaJion Henderson,Foul,9,11
12:39,Little Rock,Kris Bankston,Turnover,9,11
12:38,Tennessee State,Stokley Chaffee Jr.,Steal,9,11
12:19,Tennessee State,Monty Johal,Missed Three Point Jumper,9,11
12:19,Little Rock,Horace Wyatt Jr.,Defensive Rebound,9,11
12:17,Tennessee State,Stokley Chaffee Jr.,Foul,9,11
12:05,Tennessee State,Monty Johal,Foul,9,11
11:56,Tennessee State,Michael Littlejohn,Foul,9,11
11:56,Tennessee State,None,None,9,11
11:50,Little Rock,Kris Bankston,Jumper,11,11
11:31,Tennessee State,Stokley Chaffee Jr.,Dunk,11,13
11:14,Tennessee State,Stokley Chaffee Jr.,Foul,11,13
11:03,Little Rock,Jaizec Lottie,Missed Three Point Jumper,11,13
11:03,Tennessee State,Damarri Moore,Defensive Rebound,11,13
11:00,Little Rock,Dani Koljanin,Foul,11,13
10:51,Tennessee State,Demarcus Mitchell,Missed Jumper,11,13
10:51,Little Rock,Kris Bankston,Block,11,13
10:49,Little Rock,Dani Koljanin,Defensive Rebound,11,13
10:41,Little Rock,Deondre Burns,Turnover,11,13
10:33,Tennessee State,Donte Fitzpatrick-Dorsey,Turnover,11,13
10:30,Little Rock,Jaizec Lottie,Steal,11,13
10:26,Little Rock,Deondre Burns,Missed Jumper,11,13
10:26,Little Rock,Dani Koljanin,Offensive Rebound,11,13
10:22,Little Rock,Dani Koljanin,Layup,13,13
10:01,Tennessee State,Armani Chaney,Missed Jumper,13,13
10:01,Tennessee State,Demarcus Mitchell,Offensive Rebound,13,13
9:57,Tennessee State,Demarcus Mitchell,Missed Jumper,13,13
9:57,Little Rock,Jaizec Lottie,Defensive Rebound,13,13
9:54,Little Rock,Jaizec Lottie,Turnover,13,13
9:43,Tennessee State,Donte Fitzpatrick-Dorsey,Turnover,13,13
9:28,Little Rock,Dani Koljanin,Layup,15,13
9:27,Tennessee State,None,None,15,13
8:58,Tennessee State,Armani Chaney,Three Point Jumper,15,16
8:40,Little Rock,Kamani Johnson,Missed Jumper,15,16
8:40,Tennessee State,Kamar McKnight,Block,15,16
8:38,Tennessee State,Kamar McKnight,Defensive Rebound,15,16
8:33,Tennessee State,Donte Fitzpatrick-Dorsey,Missed Three Point Jumper,15,16
8:33,Little Rock,Deondre Burns,Defensive Rebound,15,16
8:14,Little Rock,Kamani Johnson,Missed Jumper,15,16
8:14,Little Rock,Kamani Johnson,Offensive Rebound,15,16
8:13,Tennessee State,Kamar McKnight,Foul,15,16
8:13,Little Rock,Kamani Johnson,Free Throw,16,16
8:13,Little Rock,Kamani Johnson,Missed Free Throw,16,16
8:13,Tennessee State,DaJion Henderson,Defensive Rebound,16,16
7:59,Tennessee State,Armani Chaney,Missed Three Point Jumper,16,16
7:59,Tennessee State,DaJion Henderson,Offensive Rebound,16,16
7:51,Tennessee State,DaJion Henderson,Layup,16,18
7:42,Little Rock,Kamani Johnson,Jumper,18,18
7:34,Tennessee State,Jalen Duke,Missed Three Point Jumper,18,18
7:34,Little Rock,Ryan Pippins,Defensive Rebound,18,18
7:22,Little Rock,Deondre Burns,Missed Three Point Jumper,18,18
7:22,Tennessee State,DaJion Henderson,Defensive Rebound,18,18
6:55,Tennessee State,Kamar McKnight,Foul,18,18
6:55,Tennessee State,Kamar McKnight,Turnover,18,18
6:55,Tennessee State,None,None,18,18
6:42,Little Rock,Jaizec Lottie,Missed Jumper,18,18
6:42,Tennessee State,Donte Fitzpatrick-Dorsey,Block,18,18
6:40,Tennessee State,Donte Fitzpatrick-Dorsey,Defensive Rebound,18,18
6:35,Tennessee State,Michael Littlejohn,Missed Three Point Jumper,18,18
6:35,Little Rock,Ryan Pippins,Defensive Rebound,18,18
6:10,Little Rock,Deondre Burns,Missed Three Point Jumper,18,18
6:10,Tennessee State,Armani Chaney,Defensive Rebound,18,18
6:01,Tennessee State,Michael Littlejohn,Turnover,18,18
5:52,Tennessee State,Jalen Duke,Foul,18,18
5:52,Little Rock,Markquis Nowell,Free Throw,19,18
