TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:46,Cincinnati,Jarron Cumberland,Turnover,0,0
19:19,North Carolina Central,Randy Miller Jr.,Missed Layup,0,0
19:19,Cincinnati,Keith Williams,Block,0,0
19:15,Cincinnati,Nysier Brooks,Defensive Rebound,0,0
18:57,Cincinnati,Justin Jenifer,Jumper,0,2
18:56,North Carolina Central,Raasean Davis,Foul,0,2
18:50,Cincinnati,Jarron Cumberland,Jumper,0,4
18:14,North Carolina Central,North Carolina Central ,Turnover,0,4
17:44,Cincinnati,Keith Williams,Jumper,0,6
17:14,North Carolina Central,Jordan Perkins,Missed Jumper,0,6
17:11,Cincinnati,Nysier Brooks,Defensive Rebound,0,6
17:03,Cincinnati,Keith Williams,Missed Jumper,0,6
17:02,North Carolina Central,North Carolina Central,Defensive Rebound,0,6
16:52,North Carolina Central,Raasean Davis,Turnover,0,6
16:52,Cincinnati,Justin Jenifer,Steal,0,6
16:39,Cincinnati,Nysier Brooks,Layup,0,8
16:26,North Carolina Central,Larry McKnight Jr.,Three Point Jumper,3,8
16:18,Cincinnati,Jarron Cumberland,Layup,3,10
16:09,Cincinnati,Keith Williams,Foul,3,10
15:45,North Carolina Central,Zacarry Douglas,Missed Layup,3,10
15:42,Cincinnati,Nysier Brooks,Defensive Rebound,3,10
15:35,Cincinnati,Trevor Moore,Missed Three Point Jumper,3,10
15:33,Cincinnati,Cincinnati,Offensive Rebound,3,10
15:33,Cincinnati,None,None,3,10
15:18,North Carolina Central,Larry McKnight Jr.,Defensive Rebound,3,10
15:12,North Carolina Central,Randy Miller Jr.,Missed Three Point Jumper,3,10
15:08,North Carolina Central,Raasean Davis,Offensive Rebound,3,10
15:07,North Carolina Central,Raasean Davis,Missed Layup,3,10
15:07,Cincinnati,Tre Scott,Block,3,10
15:06,North Carolina Central,Raasean Davis,Offensive Rebound,3,10
15:06,Cincinnati,Trevor Moore,Foul,3,10
15:06,North Carolina Central,Raasean Davis,Free Throw,4,10
15:06,North Carolina Central,Raasean Davis,Free Throw,5,10
14:38,Cincinnati,Tre Scott,Jumper,5,12
14:06,North Carolina Central,Larry McKnight Jr.,Missed Three Point Jumper,5,12
14:02,North Carolina Central,Larry McKnight Jr.,Offensive Rebound,5,12
14:01,North Carolina Central,Larry McKnight Jr.,Missed Layup,5,12
13:57,Cincinnati,Tre Scott,Defensive Rebound,5,12
13:42,North Carolina Central,Randy Miller Jr.,Foul,5,12
13:22,Cincinnati,Jarron Cumberland,Turnover,5,12
13:22,North Carolina Central,Jordan Perkins,Steal,5,12
13:20,North Carolina Central,Randy Miller Jr.,Foul,5,12
13:20,North Carolina Central,Randy Miller Jr.,Turnover,5,12
12:57,Cincinnati,Keith Williams,Missed Jumper,5,12
