TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
20:00,Northeastern,None,None,0,0
19:58,Northeastern,None,None,0,0
19:46,Northeastern,Anthony Green,Dunk,0,2
19:24,Alabama,Galin Smith,Missed Jumper,0,2
19:24,Northeastern,Northeastern,Defensive Rebound,0,2
18:58,Northeastern,Vasa Pusica,Missed Jumper,0,2
18:58,Alabama,Herbert Jones,Defensive Rebound,0,2
18:51,Alabama,John Petty,Missed Three Point Jumper,0,2
18:51,Northeastern,Northeastern,Defensive Rebound,0,2
18:31,Northeastern,Vasa Pusica,Missed Jumper,0,2
18:31,Alabama,Donta Hall,Block,0,2
18:31,Alabama,John Petty,Defensive Rebound,0,2
18:23,Alabama,Kira Lewis Jr.,Missed Three Point Jumper,0,2
18:23,Northeastern,Bolden Brace,Defensive Rebound,0,2
18:06,Northeastern,Bolden Brace,Three Point Jumper,0,5
17:43,Alabama,Herbert Jones,Turnover,0,5
17:43,Northeastern,Donnell Gresham Jr.,Steal,0,5
17:11,Northeastern,Vasa Pusica,Turnover,0,5
16:49,Alabama,John Petty,Missed Jumper,0,5
16:49,Northeastern,Donnell Gresham Jr.,Defensive Rebound,0,5
16:40,Northeastern,Donnell Gresham Jr.,Three Point Jumper,0,8
16:33,Alabama,None,None,0,8
16:25,Alabama,John Petty,Missed Dunk,0,8
16:25,Alabama,Donta Hall,Offensive Rebound,0,8
16:14,Alabama,Kira Lewis Jr.,Missed Three Point Jumper,0,8
16:14,Alabama,Tevin Mack,Offensive Rebound,0,8
15:48,Northeastern,Bolden Brace,Foul,0,8
15:48,Northeastern,None,None,0,8
15:42,Alabama,John Petty,Jumper,2,8
15:24,Northeastern,Jeremy Miller,Missed Three Point Jumper,2,8
15:24,Alabama,Dazon Ingram,Defensive Rebound,2,8
15:12,Northeastern,Myles Franklin,Foul,2,8
15:12,Alabama,Dazon Ingram,Missed Free Throw,2,8
15:12,Alabama,None,Team Rebound,2,8
15:12,Alabama,Dazon Ingram,Free Throw,3,8
15:00,Northeastern,Jordan Roland,Jumper,3,10
14:53,Alabama,Tevin Mack,Missed Three Point Jumper,3,10
14:53,Northeastern,Jordan Roland,Defensive Rebound,3,10
14:36,Alabama,Donta Hall,Foul,3,10
14:36,Northeastern,Shaquille Walters,Free Throw,3,11
14:36,Northeastern,Shaquille Walters,Free Throw,3,12
14:18,Alabama,Alex Reese,Missed Three Point Jumper,3,12
14:18,Alabama,Avery Johnson Jr.,Offensive Rebound,3,12
14:02,Alabama,Daniel Giddens,Turnover,3,12
14:02,Northeastern,Jeremy Miller,Steal,3,12
13:55,Northeastern,Vasa Pusica,Turnover,3,12
13:55,Alabama,Alex Reese,Steal,3,12
13:51,Alabama,Tevin Mack,Jumper,5,12
13:30,Alabama,Avery Johnson Jr.,Foul,5,12
13:22,Northeastern,Anthony Green,Layup,5,14
12:59,Alabama,Tevin Mack,Missed Three Point Jumper,5,14
12:59,Northeastern,Vasa Pusica,Defensive Rebound,5,14
12:48,Northeastern,Anthony Green,Foul,5,14
12:48,Northeastern,Anthony Green,Turnover,5,14
12:28,Alabama,Dazon Ingram,Missed Jumper,5,14
12:28,Northeastern,Jordan Roland,Defensive Rebound,5,14
12:09,Northeastern,Anthony Green,Dunk,5,16
11:48,Alabama,John Petty,Dunk,7,16
11:25,Northeastern,Jeremy Miller,Layup,7,18
11:25,Alabama,Alex Reese,Foul,7,18
11:25,Northeastern,None,None,7,18
11:25,Northeastern,Jeremy Miller,Free Throw,7,19
11:08,Alabama,Avery Johnson Jr.,Missed Jumper,7,19
11:08,Alabama,Herbert Jones,Offensive Rebound,7,19
10:59,Alabama,John Petty,Missed Three Point Jumper,7,19
10:59,Northeastern,Shaquille Walters,Defensive Rebound,7,19
10:46,Northeastern,Jordan Roland,Turnover,7,19
10:46,Alabama,Avery Johnson Jr.,Steal,7,19
10:43,Alabama,Avery Johnson Jr.,Layup,9,19
10:22,Northeastern,Jordan Roland,Missed Three Point Jumper,9,19
10:22,Alabama,Herbert Jones,Defensive Rebound,9,19
9:58,Alabama,Herbert Jones,Missed Jumper,9,19
9:58,Northeastern,Jeremy Miller,Defensive Rebound,9,19
9:46,Northeastern,Tomas Murphy,Turnover,9,19
9:29,Northeastern,Anthony Green,Foul,9,19
9:29,Alabama,John Petty,Missed Free Throw,9,19
9:29,Alabama,None,Team Rebound,9,19
9:29,Alabama,John Petty,Free Throw,10,19
9:11,Alabama,John Petty,Foul,10,19
8:51,Northeastern,Northeastern ,Turnover,10,19
8:33,Alabama,Tevin Mack,Missed Three Point Jumper,10,19
8:33,Northeastern,Vasa Pusica,Defensive Rebound,10,19
8:23,Northeastern,Donnell Gresham Jr.,Missed Jumper,10,19
8:08,Alabama,Tevin Mack,Defensive Rebound,10,19
8:04,Alabama,Kira Lewis Jr.,Layup,12,19
7:56,Alabama,Kira Lewis Jr.,Foul,12,19
7:56,Northeastern,None,None,12,19
7:56,Northeastern,Jeremy Miller,Free Throw,12,20
7:56,Northeastern,Jeremy Miller,Free Throw,12,21
7:32,Northeastern,Bolden Brace,Foul,12,21
7:32,Alabama,Tevin Mack,Missed Free Throw,12,21
7:32,Alabama,None,Team Rebound,12,21
7:32,Alabama,Tevin Mack,Free Throw,13,21
7:09,Alabama,John Petty,Foul,13,21
7:09,Northeastern,Bolden Brace,Free Throw,13,22
7:09,Northeastern,Bolden Brace,Free Throw,13,23
7:03,Northeastern,Bolden Brace,Foul,13,23
7:03,Alabama,Herbert Jones,Missed Free Throw,13,23
7:03,Alabama,None,Team Rebound,13,23
7:03,Alabama,Herbert Jones,Free Throw,14,23
6:51,Northeastern,Vasa Pusica,Missed Jumper,14,23
6:51,Alabama,John Petty,Defensive Rebound,14,23
6:37,Alabama,Kira Lewis Jr.,Jumper,16,23
6:04,Northeastern,Vasa Pusica,Turnover,16,23
6:04,Alabama,John Petty,Steal,16,23
5:50,Alabama,Donta Hall,Missed Jumper,16,23
5:50,Northeastern,Jeremy Miller,Defensive Rebound,16,23
5:36,Alabama,Dazon Ingram,Foul,16,23
5:36,Northeastern,Vasa Pusica,Free Throw,16,24
5:36,Northeastern,Vasa Pusica,Free Throw,16,25
5:28,Alabama,John Petty,Turnover,16,25
5:28,Northeastern,Jordan Roland,Steal,16,25
5:16,Northeastern,Shaquille Walters,Turnover,16,25
4:59,Alabama,Daniel Giddens,Turnover,16,25
4:38,Northeastern,Donnell Gresham Jr.,Missed Three Point Jumper,16,25
4:38,Alabama,Dazon Ingram,Defensive Rebound,16,25
4:26,Alabama,John Petty,Dunk,18,25
4:19,Northeastern,None,None,18,25
4:19,Northeastern,None,None,18,25
3:52,Northeastern,Vasa Pusica,Jumper,18,27
3:27,Alabama,Kira Lewis Jr.,Turnover,18,27
3:27,Northeastern,Vasa Pusica,Steal,18,27
3:23,Northeastern,Jordan Roland,Missed Three Point Jumper,18,27
3:23,Alabama,Avery Johnson Jr.,Defensive Rebound,18,27
3:14,Northeastern,Donnell Gresham Jr.,Foul,18,27
3:14,Alabama,Dazon Ingram,Free Throw,19,27
3:14,Alabama,Dazon Ingram,Free Throw,20,27
2:46,Alabama,Kira Lewis Jr.,Foul,20,27
2:46,Northeastern,Vasa Pusica,Missed Free Throw,20,27
2:46,Northeastern,None,Team Rebound,20,27
2:46,Northeastern,Vasa Pusica,Free Throw,20,28
2:28,Alabama,Avery Johnson Jr.,Missed Jumper,20,28
2:28,Alabama,Galin Smith,Offensive Rebound,20,28
2:22,Alabama,Galin Smith,Missed Jumper,20,28
2:22,Northeastern,Jeremy Miller,Block,20,28
2:22,Northeastern,Jordan Roland,Defensive Rebound,20,28
2:05,Northeastern,Tomas Murphy,Three Point Jumper,20,31
1:48,Alabama,Galin Smith,Jumper,22,31
1:21,Northeastern,Jeremy Miller,Jumper,22,33
0:56,Alabama,Kira Lewis Jr.,Missed Jumper,22,33
0:56,Northeastern,Jordan Roland,Defensive Rebound,22,33
0:35,Northeastern,Vasa Pusica,Foul,22,33
0:35,Northeastern,Vasa Pusica,Turnover,22,33
0:18,Alabama,Herbert Jones,Missed Three Point Jumper,22,33
0:18,Northeastern,Donnell Gresham Jr.,Defensive Rebound,22,33
0:01,Northeastern,Donnell Gresham Jr.,Foul,22,33
0:01,Northeastern,Donnell Gresham Jr.,Turnover,22,33
0:00,Northeastern,None,None,22,33
20:00,Alabama,None,None,22,33
19:49,Alabama,John Petty,Three Point Jumper,25,33
19:12,Northeastern,Vasa Pusica,Jumper,25,35
19:12,Alabama,Dazon Ingram,Foul,25,35
19:12,Northeastern,Vasa Pusica,Free Throw,25,36
18:51,Alabama,John Petty,Missed Three Point Jumper,25,36
18:51,Alabama,Dazon Ingram,Offensive Rebound,25,36
18:45,Alabama,Herbert Jones,Missed Jumper,25,36
18:45,Northeastern,Anthony Green,Defensive Rebound,25,36
18:18,Northeastern,Vasa Pusica,Three Point Jumper,25,39
17:53,Alabama,John Petty,Turnover,25,39
17:53,Northeastern,Anthony Green,Steal,25,39
17:46,Alabama,Kira Lewis Jr.,Foul,25,39
17:24,Northeastern,Donnell Gresham Jr.,Missed Three Point Jumper,25,39
17:24,Alabama,Donta Hall,Defensive Rebound,25,39
17:11,Alabama,Kira Lewis Jr.,Three Point Jumper,28,39
16:47,Northeastern,Donnell Gresham Jr.,Three Point Jumper,28,42
16:28,Alabama,Herbert Jones,Jumper,30,42
16:03,Northeastern,Tomas Murphy,Foul,30,42
16:03,Northeastern,Tomas Murphy,Turnover,30,42
15:52,Alabama,None,None,30,42
15:45,Alabama,Dazon Ingram,Jumper,32,42
15:23,Northeastern,Anthony Green,Missed Jumper,32,42
15:23,Alabama,John Petty,Defensive Rebound,32,42
15:13,Alabama,Herbert Jones,Layup,34,42
15:13,Northeastern,Tomas Murphy,Foul,34,42
15:13,Northeastern,None,None,34,42
15:13,Alabama,Herbert Jones,Free Throw,35,42
14:49,Northeastern,Jeremy Miller,Layup,35,44
14:26,Alabama,Dazon Ingram,Layup,37,44
14:10,Northeastern,Bolden Brace,Three Point Jumper,37,47
13:52,Northeastern,Jordan Roland,Foul,37,47
13:48,Alabama,Dazon Ingram,Missed Jumper,37,47
13:48,Alabama,Alabama,Offensive Rebound,37,47
13:34,Alabama,Kira Lewis Jr.,Missed Three Point Jumper,37,47
13:34,Alabama,Dazon Ingram,Offensive Rebound,37,47
13:26,Northeastern,Bolden Brace,Foul,37,47
13:15,Northeastern,Jeremy Miller,Foul,37,47
13:11,Alabama,Alex Reese,Missed Three Point Jumper,37,47
13:11,Northeastern,Jordan Roland,Defensive Rebound,37,47
12:56,Northeastern,Vasa Pusica,Three Point Jumper,37,50
12:38,Alabama,Alex Reese,Turnover,37,50
12:38,Northeastern,Vasa Pusica,Steal,37,50
12:37,Alabama,Alex Reese,Foul,37,50
12:17,Northeastern,Shaquille Walters,Missed Jumper,37,50
12:17,Northeastern,Northeastern,Offensive Rebound,37,50
12:09,Northeastern,Vasa Pusica,Missed Jumper,37,50
12:09,Alabama,Galin Smith,Defensive Rebound,37,50
11:53,Northeastern,Anthony Green,Foul,37,50
11:53,Northeastern,None,None,37,50
11:53,Alabama,John Petty,Free Throw,38,50
11:53,Alabama,John Petty,Free Throw,39,50
11:38,Northeastern,Tomas Murphy,Jumper,39,52
11:13,Alabama,Tevin Mack,Missed Three Point Jumper,39,52
11:13,Northeastern,Donnell Gresham Jr.,Defensive Rebound,39,52
10:47,Northeastern,Jeremy Miller,Layup,39,54
10:18,Alabama,Tevin Mack,Jumper,41,54
10:03,Alabama,Dazon Ingram,Foul,41,54
9:46,Northeastern,Jeremy Miller,Missed Layup,41,54
9:46,Alabama,Galin Smith,Defensive Rebound,41,54
9:34,Alabama,Tevin Mack,Turnover,41,54
9:34,Northeastern,Vasa Pusica,Steal,41,54
9:26,Northeastern,Vasa Pusica,Foul,41,54
9:26,Northeastern,Vasa Pusica,Turnover,41,54
9:15,Alabama,Herbert Jones,Missed Layup,41,54
9:15,Northeastern,Donnell Gresham Jr.,Defensive Rebound,41,54
8:52,Alabama,Avery Johnson Jr.,Foul,41,54
8:38,Northeastern,Tomas Murphy,Missed Jumper,41,54
8:38,Alabama,Dazon Ingram,Defensive Rebound,41,54
8:23,Northeastern,Myles Franklin,Foul,41,54
8:23,Alabama,Herbert Jones,Free Throw,42,54
8:23,Alabama,Herbert Jones,Free Throw,43,54
7:52,Northeastern,Bolden Brace,Missed Jumper,43,54
7:52,Alabama,Alabama,Defensive Rebound,43,54
7:52,Northeastern,None,None,43,54
7:33,Alabama,John Petty,Missed Three Point Jumper,43,54
7:33,Northeastern,Jordan Roland,Defensive Rebound,43,54
7:19,Northeastern,Anthony Green,Dunk,43,56
6:54,Alabama,Kira Lewis Jr.,Missed Layup,43,56
6:54,Northeastern,Vasa Pusica,Defensive Rebound,43,56
6:21,Northeastern,Anthony Green,Missed Dunk,43,56
6:21,Alabama,Donta Hall,Block,43,56
6:21,Alabama,Donta Hall,Defensive Rebound,43,56
6:04,Alabama,Dazon Ingram,Layup,45,56
5:42,Northeastern,Bolden Brace,Jumper,45,58
5:42,Alabama,Dazon Ingram,Foul,45,58
5:42,Northeastern,Bolden Brace,Free Throw,45,59
5:29,Alabama,Kira Lewis Jr.,Missed Three Point Jumper,45,59
5:29,Northeastern,Bolden Brace,Defensive Rebound,45,59
4:58,Alabama,Herbert Jones,Foul,45,59
4:58,Northeastern,Jordan Roland,Free Throw,45,60
4:58,Northeastern,Jordan Roland,Free Throw,45,61
4:58,Northeastern,Jordan Roland,Free Throw,45,62
4:39,Alabama,John Petty,Jumper,47,62
4:11,Northeastern,Anthony Green,Missed Dunk,47,62
4:11,Alabama,John Petty,Defensive Rebound,47,62
4:00,Alabama,Kira Lewis Jr.,Missed Three Point Jumper,47,62
4:00,Northeastern,Shaquille Walters,Defensive Rebound,47,62
3:37,Northeastern,Jordan Roland,Missed Three Point Jumper,47,62
3:37,Alabama,John Petty,Defensive Rebound,47,62
3:27,Alabama,John Petty,Three Point Jumper,50,62
3:23,Alabama,None,None,50,62
3:23,Northeastern,None,None,50,62
2:58,Northeastern,Bolden Brace,Missed Three Point Jumper,50,62
2:58,Northeastern,Bolden Brace,Offensive Rebound,50,62
2:21,Northeastern,Donnell Gresham Jr.,Missed Three Point Jumper,50,62
2:21,Alabama,Alabama,Defensive Rebound,50,62
2:21,Northeastern,Northeastern ,Turnover,50,62
2:21,Alabama,Tevin Mack,Missed Jumper,50,62
2:21,Northeastern,Bolden Brace,Defensive Rebound,50,62
1:27,Northeastern,Vasa Pusica,Three Point Jumper,50,65
1:04,Alabama,Tevin Mack,Jumper,52,65
0:53,Alabama,Tevin Mack,Foul,52,65
0:53,Northeastern,Donnell Gresham Jr.,Missed Free Throw,52,65
0:53,Alabama,Tevin Mack,Defensive Rebound,52,65
0:50,Alabama,Avery Johnson Jr.,Missed Jumper,52,65
0:50,Northeastern,Bolden Brace,Defensive Rebound,52,65
0:21,Northeastern,Vasa Pusica,Three Point Jumper,52,68
0:00,Northeastern,None,None,52,68
