TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:53,Savannah State,Tyrel Harper,Missed Three Point Jumper,0,0
19:53,Gardner-Webb,David Efianayi,Defensive Rebound,0,0
19:38,Gardner-Webb,Jose Perez,Layup,2,0
19:26,Savannah State,Zaquavian Smith,Three Point Jumper,2,3
19:02,Gardner-Webb,Eric Jamison Jr.,Layup,4,3
18:50,Savannah State,Jaquan Dotson,Missed Three Point Jumper,4,3
18:50,Gardner-Webb,Eric Jamison Jr.,Defensive Rebound,4,3
18:30,Gardner-Webb,Jose Perez,Three Point Jumper,7,3
18:20,Savannah State,Jaquan Dotson,Layup,7,5
17:52,Gardner-Webb,David Efianayi,Layup,9,5
17:43,Savannah State,Zach Sellers,Turnover,9,5
17:33,Gardner-Webb,Christian Turner,Missed Three Point Jumper,9,5
17:33,Gardner-Webb,Eric Jamison Jr.,Offensive Rebound,9,5
17:21,Gardner-Webb,David Efianayi,Turnover,9,5
17:08,Savannah State,Adam Saeed,Layup,9,7
16:54,Gardner-Webb,Eric Jamison Jr.,Layup,11,7
16:43,Savannah State,Adam Saeed,Turnover,11,7
16:27,Gardner-Webb,David Efianayi,Missed Three Point Jumper,11,7
16:27,Gardner-Webb,Brandon Miller,Offensive Rebound,11,7
16:20,Gardner-Webb,David Efianayi,Missed Three Point Jumper,11,7
16:20,Savannah State,Collins Joseph,Defensive Rebound,11,7
16:11,Savannah State,Jaquan Dotson,Turnover,11,7
15:53,Savannah State,None,None,11,7
15:41,Gardner-Webb,Jose Perez,Missed Three Point Jumper,11,7
15:41,Savannah State,Tyrel Harper,Defensive Rebound,11,7
15:29,Savannah State,Romani Hansen,Layup,11,9
15:13,Gardner-Webb,Jaheam Cornwall,Three Point Jumper,14,9
15:02,Gardner-Webb,Jaylen Alston,Foul,14,9
15:02,Savannah State,Tyrel Harper,Free Throw,14,10
15:02,Savannah State,Tyrel Harper,Missed Free Throw,14,10
15:02,Gardner-Webb,Eric Jamison Jr.,Defensive Rebound,14,10
14:42,Gardner-Webb,Jaheam Cornwall,Missed Three Point Jumper,14,10
14:42,Gardner-Webb,Gardner-Webb,Offensive Rebound,14,10
14:19,Gardner-Webb,David Efianayi,Three Point Jumper,17,10
14:12,Savannah State,Collins Joseph,Turnover,17,10
13:59,Gardner-Webb,Jaylen Alston,Layup,19,10
13:59,Savannah State,Romani Hansen,Foul,19,10
13:59,Gardner-Webb,Jaylen Alston,Free Throw,20,10
13:52,Savannah State,Jaquan Dotson,Missed Three Point Jumper,20,10
13:52,Gardner-Webb,Jaheam Cornwall,Defensive Rebound,20,10
13:21,Gardner-Webb,David Efianayi,Turnover,20,10
13:14,Savannah State,Zach Sellers,Three Point Jumper,20,13
12:46,Gardner-Webb,Justin Jenkins,Missed Three Point Jumper,20,13
12:46,Savannah State,Jaquan Dotson,Defensive Rebound,20,13
12:24,Savannah State,Jahlin Smith,Missed Three Point Jumper,20,13
12:24,Gardner-Webb,Christian Turner,Defensive Rebound,20,13
11:54,Gardner-Webb,Eric Jamison Jr.,Layup,22,13
11:44,Savannah State,Tyrel Harper,Layup,22,15
11:19,Gardner-Webb,Jaylen Alston,Layup,24,15
11:11,Savannah State,Tyrel Harper,Three Point Jumper,24,18
10:52,Savannah State,Tyrel Harper,Foul,24,18
10:52,Savannah State,None,None,24,18
10:52,Gardner-Webb,Justin Jenkins,Free Throw,25,18
10:52,Gardner-Webb,Justin Jenkins,Free Throw,26,18
10:42,Savannah State,Zaquavian Smith,Missed Three Point Jumper,26,18
10:42,Gardner-Webb,Jaheam Cornwall,Defensive Rebound,26,18
10:33,Savannah State,Jaquan Dotson,Foul,26,18
10:33,Gardner-Webb,Jaheam Cornwall,Free Throw,27,18
10:33,Gardner-Webb,Jaheam Cornwall,Free Throw,28,18
10:25,Savannah State,Zaquavian Smith,Turnover,28,18
10:13,Gardner-Webb,Nate Johnson,Three Point Jumper,31,18
10:02,Savannah State,Zach Sellers,Missed Layup,31,18
10:02,Gardner-Webb,Brandon Miller,Defensive Rebound,31,18
9:45,Gardner-Webb,Nate Johnson,Missed Three Point Jumper,31,18
9:45,Savannah State,Zach Sellers,Defensive Rebound,31,18
9:35,Gardner-Webb,Jaheam Cornwall,Foul,31,18
9:35,Savannah State,Tyrel Harper,Free Throw,31,19
9:35,Savannah State,Tyrel Harper,Free Throw,31,20
9:22,Gardner-Webb,Jose Perez,Turnover,31,20
9:13,Gardner-Webb,Brandon Miller,Foul,31,20
9:13,Savannah State,Adam Saeed,Free Throw,31,21
9:13,Savannah State,Adam Saeed,Free Throw,31,22
8:56,Gardner-Webb,Nate Johnson,Three Point Jumper,34,22
8:37,Savannah State,Tyrel Harper,Missed Three Point Jumper,34,22
8:37,Gardner-Webb,Jaheam Cornwall,Defensive Rebound,34,22
8:22,Gardner-Webb,Jose Perez,Turnover,34,22
8:15,Savannah State,Zach Sellers,Three Point Jumper,34,25
7:50,Gardner-Webb,Brandon Miller,Missed Dunk,34,25
7:50,Savannah State,Romani Hansen,Block,34,25
