TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:45,Michigan State,Nick Ward,Jumper,0,2
19:25,Tennessee Tech,Micaiah Henry,Missed Jumper,0,2
19:21,Michigan State,Matt McQuaid,Defensive Rebound,0,2
19:16,Tennessee Tech,Courtney Alexander II,Foul,0,2
19:07,Michigan State,Nick Ward,Dunk,0,4
18:32,Tennessee Tech,Tennessee Tech ,Turnover,0,4
18:10,Michigan State,Matt McQuaid,Missed Three Point Jumper,0,4
18:07,Michigan State,Kenny Goins,Offensive Rebound,0,4
18:05,Michigan State,Cassius Winston,Missed Three Point Jumper,0,4
18:02,Tennessee Tech,Courtney Alexander II,Defensive Rebound,0,4
17:53,Tennessee Tech,Johnnie Vassar,Foul,0,4
17:53,Tennessee Tech,Johnnie Vassar,Turnover,0,4
17:44,Michigan State,Matt McQuaid,Missed Three Point Jumper,0,4
17:41,Tennessee Tech,Corey Tillery,Defensive Rebound,0,4
17:26,Michigan State,Cassius Winston,Foul,0,4
17:05,Tennessee Tech,Hunter Vick,Missed Three Point Jumper,0,4
17:02,Tennessee Tech,Micaiah Henry,Offensive Rebound,0,4
16:59,Tennessee Tech,Micaiah Henry,Missed Jumper,0,4
16:59,Michigan State,Nick Ward,Block,0,4
16:55,Michigan State,Kenny Goins,Defensive Rebound,0,4
16:51,Michigan State,Nick Ward,Layup,0,6
16:25,Tennessee Tech,Courtney Alexander II,Jumper,2,6
16:14,Michigan State,Nick Ward,Jumper,2,8
16:14,Tennessee Tech,Micaiah Henry,Foul,2,8
16:14,Michigan State,Nick Ward,Missed Free Throw,2,8
16:14,Tennessee Tech,Courtney Alexander II,Defensive Rebound,2,8
16:04,Tennessee Tech,Johnnie Vassar,Layup,4,8
15:45,Tennessee Tech,Garrett Golday,Foul,4,8
15:45,Michigan State,None,None,4,8
15:37,Michigan State,Marcus Bingham Jr.,Turnover,4,8
15:37,Tennessee Tech,Johnnie Vassar,Steal,4,8
15:12,Tennessee Tech,Hunter Vick,Missed Jumper,4,8
15:08,Michigan State,Xavier Tillman,Defensive Rebound,4,8
15:04,Michigan State,Kyle Ahrens,Missed Three Point Jumper,4,8
15:01,Michigan State,Kyle Ahrens,Offensive Rebound,4,8
14:59,Michigan State,Joshua Langford,Three Point Jumper,4,11
14:37,Tennessee Tech,Courtney Alexander II,Missed Layup,4,11
14:34,Michigan State,Xavier Tillman,Defensive Rebound,4,11
14:32,Michigan State,Cassius Winston,Jumper,4,13
14:30,Tennessee Tech,None,None,4,13
14:12,Tennessee Tech,Garrett Golday,Layup,6,13
13:56,Michigan State,Joshua Langford,Missed Three Point Jumper,6,13
13:55,Tennessee Tech,Courtney Alexander II,Defensive Rebound,6,13
13:55,Michigan State,Kyle Ahrens,Foul,6,13
13:44,Tennessee Tech,Jr. Clay,Turnover,6,13
13:44,Michigan State,Joshua Langford,Steal,6,13
13:39,Michigan State,Kyle Ahrens,Layup,6,15
13:18,Michigan State,Kenny Goins,Foul,6,15
13:18,Tennessee Tech,Courtney Alexander II,Free Throw,7,15
13:16,Tennessee Tech,Courtney Alexander II,Missed Free Throw,7,15
13:15,Michigan State,Nick Ward,Defensive Rebound,7,15
13:04,Michigan State,Cassius Winston,Three Point Jumper,7,18
12:53,Tennessee Tech,Courtney Alexander II,Turnover,7,18
12:41,Tennessee Tech,Jr. Clay,Foul,7,18
12:27,Michigan State,Gabe Brown,Missed Three Point Jumper,7,18
12:25,Tennessee Tech,Hunter Vick,Defensive Rebound,7,18
12:25,Michigan State,Matt McQuaid,Foul,7,18
12:08,Tennessee Tech,Jr. Clay,Turnover,7,18
11:58,Michigan State,Kenny Goins,Missed Three Point Jumper,7,18
11:54,Michigan State,Gabe Brown,Offensive Rebound,7,18
11:52,Michigan State,Cassius Winston,Missed Three Point Jumper,7,18
11:49,Tennessee Tech,Hunter Vick,Defensive Rebound,7,18
11:35,Tennessee Tech,Garrett Golday,Turnover,7,18
11:35,Michigan State,None,None,7,18
11:10,Michigan State,Cassius Winston,Three Point Jumper,7,21
10:45,Tennessee Tech,Micaiah Henry,Jumper,9,21
10:44,Michigan State,Nick Ward,Foul,9,21
