TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:48,Boston College,Jordan Chatman,Missed Three Point Jumper,0,0
19:48,Boston College,Steffon Mitchell,Offensive Rebound,0,0
19:43,Wyoming,Nyaires Redding,Foul,0,0
19:28,Boston College,Avery Wilson,Turnover,0,0
19:28,Boston College,Avery Wilson,Foul,0,0
19:16,Boston College,Johncarlos Reyes,Foul,0,0
19:16,Wyoming,Justin James,Missed Free Throw,0,0
19:16,Wyoming,None,Team Rebound,0,0
19:16,Wyoming,Justin James,Missed Free Throw,0,0
19:16,Boston College,Steffon Mitchell,Defensive Rebound,0,0
19:01,Boston College,Ky Bowman,Missed Three Point Jumper,0,0
19:01,Wyoming,Austin Mueller,Defensive Rebound,0,0
18:46,Wyoming,Trevon Taylor,Layup,2,0
18:29,Wyoming,Nyaires Redding,Foul,2,0
18:18,Boston College,Johncarlos Reyes,Dunk,2,2
18:07,Wyoming,Austin Mueller,Turnover,2,2
18:03,Boston College,Ky Bowman,Steal,2,2
18:00,Boston College,Steffon Mitchell,Dunk,2,4
17:44,Wyoming,Austin Mueller,Turnover,2,4
17:42,Boston College,Avery Wilson,Steal,2,4
17:38,Boston College,Ky Bowman,Layup,2,6
17:38,Wyoming,None,None,2,6
17:24,Wyoming,Trevon Taylor,Three Point Jumper,5,6
17:02,Boston College,Steffon Mitchell,Missed Jumper,5,6
17:02,Wyoming,Brandon Porter,Defensive Rebound,5,6
16:49,Wyoming,Jake Hendricks,Three Point Jumper,8,6
16:26,Boston College,Ky Bowman,Missed Jumper,8,6
16:26,Wyoming,Austin Mueller,Defensive Rebound,8,6
16:18,Wyoming,Brandon Porter,Missed Three Point Jumper,8,6
16:18,Boston College,Ky Bowman,Defensive Rebound,8,6
16:15,Wyoming,Austin Mueller,Foul,8,6
15:57,Boston College,Steffon Mitchell,Missed Jumper,8,6
15:57,Boston College,Jordan Chatman,Offensive Rebound,8,6
15:46,Boston College,Jairus Hamilton,Missed Jumper,8,6
15:46,Wyoming,Justin James,Block,8,6
15:46,Boston College,Boston College,Offensive Rebound,8,6
15:46,Boston College,None,None,8,6
15:45,Boston College,Wynston Tabbs,Missed Three Point Jumper,8,6
15:45,Boston College,Jairus Hamilton,Offensive Rebound,8,6
15:41,Wyoming,Justin James,Foul,8,6
15:41,Boston College,Jairus Hamilton,Missed Free Throw,8,6
15:41,Boston College,None,Team Rebound,8,6
15:41,Boston College,Jairus Hamilton,Missed Free Throw,8,6
15:41,Boston College,Ky Bowman,Offensive Rebound,8,6
15:36,Boston College,Ky Bowman,Missed Three Point Jumper,8,6
15:36,Wyoming,Trevon Taylor,Defensive Rebound,8,6
15:21,Wyoming,Brandon Porter,Missed Layup,8,6
15:21,Boston College,Boston College,Defensive Rebound,8,6
15:19,Wyoming,Brandon Porter,Foul,8,6
15:07,Boston College,Jordan Chatman,Missed Jumper,8,6
15:07,Wyoming,Lwal Dung,Defensive Rebound,8,6
14:58,Boston College,Wynston Tabbs,Foul,8,6
14:58,Wyoming,Justin James,Free Throw,9,6
14:58,Wyoming,Justin James,Free Throw,10,6
14:36,Boston College,Steffon Mitchell,Missed Jumper,10,6
14:36,Wyoming,Justin James,Defensive Rebound,10,6
14:33,Wyoming,Trevon Taylor,Foul,10,6
14:33,Wyoming,Trevon Taylor,Turnover,10,6
14:33,Boston College,Jairus Hamilton,Missed Free Throw,10,6
14:33,Boston College,None,Team Rebound,10,6
14:33,Boston College,Jairus Hamilton,Free Throw,10,7
14:28,Boston College,Jordan Chatman,Three Point Jumper,10,10
13:59,Wyoming,Justin James,Missed Three Point Jumper,10,10
13:59,Boston College,Wynston Tabbs,Defensive Rebound,10,10
13:51,Boston College,Wynston Tabbs,Layup,10,12
13:24,Boston College,Ky Bowman,Foul,10,12
13:24,Wyoming,Justin James,Free Throw,11,12
13:24,Wyoming,Justin James,Free Throw,12,12
13:07,Boston College,Johncarlos Reyes,Missed Jumper,12,12
13:07,Wyoming,Trevon Taylor,Defensive Rebound,12,12
13:06,Boston College,Jairus Hamilton,Foul,12,12
12:51,Boston College,Wynston Tabbs,Foul,12,12
12:51,Wyoming,Trevon Taylor,Missed Free Throw,12,12
12:51,Wyoming,None,Team Rebound,12,12
12:51,Wyoming,Trevon Taylor,Free Throw,13,12
12:38,Wyoming,Trevon Taylor,Foul,13,12
12:38,Boston College,Johncarlos Reyes,Free Throw,13,13
12:38,Boston College,Johncarlos Reyes,Free Throw,13,14
12:21,Wyoming,Justin James,Jumper,15,14
12:08,Boston College,Ky Bowman,Three Point Jumper,15,17
11:51,Wyoming,Jake Hendricks,Three Point Jumper,18,17
