TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:45,Illinois State,Milik Yarbrough,Turnover,0,0
19:45,Akron,Daniel Utomi,Steal,0,0
19:31,Akron,Loren Cristian Jackson,Layup,2,0
19:15,Illinois State,Milik Yarbrough,Jumper,2,2
18:53,Akron,Daniel Utomi,Turnover,2,2
18:37,Illinois State,Milik Yarbrough,Missed Jumper,2,2
18:37,Akron,Jimond Ivey,Defensive Rebound,2,2
18:30,Akron,Loren Cristian Jackson,Missed Three Point Jumper,2,2
18:28,Akron,Akron,Offensive Rebound,2,2
18:17,Akron,Jimond Ivey,Jumper,4,2
18:06,Illinois State,Keyshawn Evans,Missed Jumper,4,2
18:06,Illinois State,Phil Fayne,Offensive Rebound,4,2
18:03,Akron,Jimond Ivey,Foul,4,2
17:58,Illinois State,Phil Fayne,Jumper,4,4
17:29,Akron,Deng Riak,Layup,6,4
17:17,Illinois State,Keyshawn Evans,Missed Three Point Jumper,6,4
17:17,Akron,Daniel Utomi,Defensive Rebound,6,4
17:09,Akron,Loren Cristian Jackson,Turnover,6,4
16:51,Illinois State,Milik Yarbrough,Layup,6,6
16:43,Illinois State,Milik Yarbrough,Foul,6,6
16:43,Illinois State,Milik Yarbrough,Foul,6,6
16:43,Akron,Loren Cristian Jackson,Free Throw,7,6
16:43,Akron,Loren Cristian Jackson,Free Throw,8,6
16:26,Akron,Daniel Utomi,Missed Three Point Jumper,8,6
16:26,Illinois State,Keyshawn Evans,Defensive Rebound,8,6
16:16,Illinois State,Phil Fayne,Missed Jumper,8,6
16:16,Akron,Loren Cristian Jackson,Defensive Rebound,8,6
16:05,Akron,Tyler Cheese,Missed Three Point Jumper,8,6
16:05,Akron,Deng Riak,Offensive Rebound,8,6
16:02,Illinois State,Phil Fayne,Foul,8,6
16:00,Akron,Tyler Cheese,Layup,10,6
15:46,Illinois State,William Tinsley,Missed Three Point Jumper,10,6
15:46,Illinois State,Phil Fayne,Offensive Rebound,10,6
15:43,Akron,Emmanuel Olojakpoke,Foul,10,6
15:42,Illinois State,None,None,10,6
15:29,Akron,Loren Cristian Jackson,Foul,10,6
15:24,Illinois State,Zach Copeland,Jumper,10,8
14:52,Akron,Jimond Ivey,Missed Three Point Jumper,10,8
14:52,Illinois State,William Tinsley,Block,10,8
14:51,Illinois State,Zach Copeland,Defensive Rebound,10,8
14:48,Illinois State,William Tinsley,Layup,10,10
14:34,Illinois State,William Tinsley,Foul,10,10
14:29,Akron,Jimond Ivey,Missed Three Point Jumper,10,10
14:29,Illinois State,Phil Fayne,Defensive Rebound,10,10
14:15,Illinois State,Milik Yarbrough,Layup,10,12
13:52,Akron,Channel Banks,Missed Three Point Jumper,10,12
13:52,Illinois State,Milik Yarbrough,Defensive Rebound,10,12
13:44,Illinois State,Phil Fayne,Layup,10,14
13:42,Akron,None,None,10,14
13:24,Akron,Jeremy Roscoe,Missed Three Point Jumper,10,14
13:24,Illinois State,Milik Yarbrough,Defensive Rebound,10,14
13:12,Illinois State,Keyshawn Evans,Three Point Jumper,10,17
13:00,Illinois State,Keyshawn Evans,Foul,10,17
12:52,Akron,Daniel Utomi,Missed Three Point Jumper,10,17
12:52,Illinois State,Milik Yarbrough,Defensive Rebound,10,17
12:36,Akron,Loren Cristian Jackson,Foul,10,17
12:36,Illinois State,Keyshawn Evans,Free Throw,10,18
12:36,Illinois State,Keyshawn Evans,Free Throw,10,19
12:22,Akron,Daniel Utomi,Missed Jumper,10,19
12:22,Illinois State,Milik Yarbrough,Defensive Rebound,10,19
12:20,Akron,Deng Riak,Foul,10,19
11:57,Illinois State,Phil Fayne,Layup,10,21
11:36,Akron,Jimond Ivey,Layup,12,21
11:27,Illinois State,Keyshawn Evans,Missed Three Point Jumper,12,21
11:27,Illinois State,Matt Chastain,Offensive Rebound,12,21
11:12,Illinois State,Phil Fayne,Missed Jumper,12,21
11:12,Akron,Channel Banks,Defensive Rebound,12,21
10:51,Akron,Tyler Cheese,Missed Three Point Jumper,12,21
10:51,Illinois State,Milik Yarbrough,Defensive Rebound,12,21
10:42,Akron,Channel Banks,Foul,12,21
10:42,Illinois State,None,None,12,21
10:42,Illinois State,Milik Yarbrough,Missed Free Throw,12,21
10:42,Illinois State,None,Team Rebound,12,21
10:42,Illinois State,Milik Yarbrough,Missed Free Throw,12,21
10:42,Akron,Akron,Defensive Rebound,12,21
10:13,Akron,Deng Riak,Missed Dunk,12,21
10:13,Illinois State,Josh Jefferson,Defensive Rebound,12,21
9:59,Illinois State,William Tinsley,Missed Three Point Jumper,12,21
9:59,Akron,Tyler Cheese,Defensive Rebound,12,21
9:40,Akron,Jimond Ivey,Missed Three Point Jumper,12,21
9:40,Akron,Deng Riak,Offensive Rebound,12,21
9:27,Akron,Tyler Cheese,Missed Three Point Jumper,12,21
9:27,Akron,Jimond Ivey,Offensive Rebound,12,21
9:23,Illinois State,William Tinsley,Foul,12,21
9:08,Akron,Daniel Utomi,Missed Three Point Jumper,12,21
9:08,Illinois State,Zach Copeland,Defensive Rebound,12,21
9:00,Illinois State,Zach Copeland,Foul,12,21
9:00,Illinois State,Zach Copeland,Turnover,12,21
8:41,Illinois State,Keyshawn Evans,Foul,12,21
8:41,Akron,Loren Cristian Jackson,Free Throw,13,21
8:41,Akron,Loren Cristian Jackson,Free Throw,14,21
8:24,Illinois State,Phil Fayne,Dunk,14,23
8:03,Akron,Loren Cristian Jackson,Missed Three Point Jumper,14,23
8:03,Illinois State,Milik Yarbrough,Defensive Rebound,14,23
7:56,Illinois State,Milik Yarbrough,Turnover,14,23
7:54,Akron,Mark Kostelac,Steal,14,23
7:35,Akron,Channel Banks,Jumper,16,23
7:17,Illinois State,Zach Copeland,Three Point Jumper,16,26
6:59,Akron,Daniel Utomi,Missed Three Point Jumper,16,26
6:55,Illinois State,Zach Copeland,Defensive Rebound,16,26
6:35,Akron,Mark Kostelac,Foul,16,26
6:35,Illinois State,None,None,16,26
6:35,Illinois State,Phil Fayne,Missed Free Throw,16,26
6:35,Akron,Tyler Cheese,Defensive Rebound,16,26
6:11,Akron,Jimond Ivey,Missed Three Point Jumper,16,26
