TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:38,George Mason,Justin Kier,Missed Three Point Jumper,0,0
19:38,North Carolina Central,Rashann London,Defensive Rebound,0,0
19:16,North Carolina Central,Raasean Davis,Jumper,2,0
18:42,George Mason,Otis Livingston II,Missed Three Point Jumper,2,0
18:42,North Carolina Central,Randy Miller Jr.,Defensive Rebound,2,0
18:35,North Carolina Central,Rashann London,Turnover,2,0
18:13,George Mason,Jarred Reuter,Missed Jumper,2,0
18:13,North Carolina Central,Raasean Davis,Block,2,0
18:11,North Carolina Central,Zacarry Douglas,Defensive Rebound,2,0
18:01,North Carolina Central,Raasean Davis,Layup,4,0
17:33,George Mason,Jaire Grayer,Turnover,4,0
17:12,North Carolina Central,Randy Miller Jr.,Jumper,6,0
16:59,George Mason,Jaire Grayer,Turnover,6,0
16:58,North Carolina Central,Randy Miller Jr.,Steal,6,0
16:56,North Carolina Central,Randy Miller Jr.,Layup,8,0
16:55,George Mason,None,None,8,0
16:38,George Mason,Otis Livingston II,Missed Three Point Jumper,8,0
16:38,North Carolina Central,Larry McKnight Jr.,Defensive Rebound,8,0
16:31,North Carolina Central,Larry McKnight Jr.,Foul,8,0
16:31,North Carolina Central,Larry McKnight Jr.,Turnover,8,0
16:19,George Mason,Javon Greene,Layup,8,2
15:49,North Carolina Central,Rashann London,Jumper,10,2
15:34,George Mason,Jaire Grayer,Missed Three Point Jumper,10,2
15:34,North Carolina Central,Raasean Davis,Defensive Rebound,10,2
15:19,North Carolina Central,Raasean Davis,Jumper,12,2
14:56,George Mason,Javon Greene,Turnover,12,2
14:54,North Carolina Central,Raasean Davis,Steal,12,2
14:49,North Carolina Central,Randy Miller Jr.,Foul,12,2
14:49,North Carolina Central,Randy Miller Jr.,Turnover,12,2
14:49,George Mason,None,None,12,2
14:32,George Mason,Ian Boyd,Turnover,12,2
14:21,George Mason,Otis Livingston II,Foul,12,2
14:06,North Carolina Central,Larry McKnight Jr.,Turnover,12,2
14:04,George Mason,AJ Wilson,Steal,12,2
14:01,George Mason,AJ Wilson,Dunk,12,4
13:38,North Carolina Central,Raasean Davis,Layup,14,4
13:38,George Mason,AJ Wilson,Foul,14,4
13:38,North Carolina Central,Raasean Davis,Missed Free Throw,14,4
13:38,George Mason,Ian Boyd,Defensive Rebound,14,4
13:14,George Mason,Jarred Reuter,Jumper,14,6
12:51,North Carolina Central,Raasean Davis,Turnover,14,6
12:32,George Mason,Jarred Reuter,Missed Jumper,14,6
12:32,North Carolina Central,Raasean Davis,Defensive Rebound,14,6
12:18,North Carolina Central,Julian Walters,Missed Three Point Jumper,14,6
12:18,George Mason,None,Team Rebound,14,6
12:01,George Mason,Ian Boyd,Layup,14,8
11:38,North Carolina Central,Raasean Davis,Missed Jumper,14,8
11:38,George Mason,Goanar Mar,Defensive Rebound,14,8
11:28,George Mason,Jarred Reuter,Jumper,14,10
11:06,North Carolina Central,Zacarry Douglas,Dunk,16,10
10:49,George Mason,Ian Boyd,Missed Three Point Jumper,16,10
10:49,George Mason,Jarred Reuter,Offensive Rebound,16,10
10:44,George Mason,Jarred Reuter,Jumper,16,12
10:35,George Mason,Jamal Hartwell II,Foul,16,12
10:35,George Mason,None,None,16,12
10:22,North Carolina Central,Rashann London,Missed Jumper,16,12
10:22,George Mason,Ian Boyd,Defensive Rebound,16,12
10:14,George Mason,Ian Boyd,Layup,16,14
9:59,North Carolina Central,Reggie Gardner Jr.,Missed Three Point Jumper,16,14
9:59,George Mason,Greg Calixte,Defensive Rebound,16,14
9:37,George Mason,Ian Boyd,Missed Jumper,16,14
9:37,North Carolina Central,North Carolina Central,Defensive Rebound,16,14
9:33,North Carolina Central,Zacarry Douglas,Turnover,16,14
9:27,North Carolina Central,Roderick Taylor Jr.,Foul,16,14
9:27,George Mason,Javon Greene,Free Throw,16,15
9:27,George Mason,Javon Greene,Missed Free Throw,16,15
9:27,North Carolina Central,Zacarry Douglas,Defensive Rebound,16,15
9:02,North Carolina Central,Rashann London,Turnover,16,15
9:02,George Mason,Goanar Mar,Steal,16,15
8:40,George Mason,Jarred Reuter,Jumper,16,17
8:17,North Carolina Central,Randy Miller Jr.,Missed Three Point Jumper,16,17
8:17,North Carolina Central,Raasean Davis,Offensive Rebound,16,17
8:13,North Carolina Central,Raasean Davis,Missed Jumper,16,17
8:13,North Carolina Central,North Carolina Central,Offensive Rebound,16,17
8:02,North Carolina Central,Randy Miller Jr.,Layup,18,17
8:02,George Mason,Otis Livingston II,Foul,18,17
8:02,North Carolina Central,Randy Miller Jr.,Missed Free Throw,18,17
8:02,George Mason,Javon Greene,Defensive Rebound,18,17
7:48,George Mason,Justin Kier,Three Point Jumper,18,20
7:27,North Carolina Central,Larry McKnight Jr.,Layup,20,20
7:15,North Carolina Central,Raasean Davis,Foul,20,20
7:15,George Mason,None,None,20,20
7:15,George Mason,Javon Greene,Free Throw,20,21
