TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:42,Saint Peter's,Quinn Taylor,Foul,0,0
19:31,NC State,Wyatt Walker,Turnover,0,0
19:30,Saint Peter's,Quinn Taylor,Steal,0,0
19:27,Saint Peter's,Samuel Idowu,Missed Layup,0,0
19:26,NC State,C.J. Bryce,Block,0,0
19:25,Saint Peter's,Samuel Idowu,Offensive Rebound,0,0
19:14,Saint Peter's,Quinn Taylor,Layup,2,0
19:05,NC State,Torin Dorn,Missed Jumper,2,0
19:05,NC State,Wyatt Walker,Offensive Rebound,2,0
19:04,NC State,None,None,2,2
18:45,Saint Peter's,Davauhnte Turner,Missed Layup,2,2
18:45,NC State,C.J. Bryce,Block,2,2
18:44,Saint Peter's,Davauhnte Turner,Offensive Rebound,2,2
18:42,Saint Peter's,Davauhnte Turner,Missed Layup,2,2
18:42,NC State,Torin Dorn,Defensive Rebound,2,2
18:31,NC State,Devon Daniels,Missed Layup,2,2
18:31,Saint Peter's,Manny Dixon,Defensive Rebound,2,2
18:25,Saint Peter's,Manny Dixon,Layup,4,2
17:52,NC State,Markell Johnson,Missed Three Point Jumper,4,2
17:52,Saint Peter's,Quinn Taylor,Defensive Rebound,4,2
17:45,Saint Peter's,Quinn Taylor,Turnover,4,2
17:44,NC State,Markell Johnson,Steal,4,2
17:41,Saint Peter's,Manny Dixon,Foul,4,2
17:41,NC State,Devon Daniels,Free Throw,4,3
17:41,NC State,Devon Daniels,Free Throw,4,4
17:22,Saint Peter's,Samuel Idowu,Dunk,6,4
17:04,NC State,C.J. Bryce,Three Point Jumper,6,7
16:39,Saint Peter's,Cameron Jones,Three Point Jumper,9,7
16:31,Saint Peter's,Manny Dixon,Foul,9,7
16:19,NC State,Braxton Beverly,Missed Layup,9,7
16:19,Saint Peter's,Davauhnte Turner,Defensive Rebound,9,7
16:12,Saint Peter's,Quinn Taylor,Layup,11,7
16:00,NC State,Torin Dorn,Layup,11,9
16:00,Saint Peter's,Samuel Idowu,Foul,11,9
16:00,NC State,Torin Dorn,Free Throw,11,10
15:42,Saint Peter's,Samuel Idowu,Jumper,13,10
15:24,NC State,Torin Dorn,Three Point Jumper,13,13
14:57,Saint Peter's,Quinn Taylor,Missed Layup,13,13
14:57,NC State,C.J. Bryce,Defensive Rebound,13,13
14:33,Saint Peter's,Samuel Idowu,Foul,13,13
14:33,NC State,None,None,13,13
14:33,NC State,C.J. Bryce,Missed Free Throw,13,13
14:33,NC State,None,Team Rebound,13,13
14:33,NC State,C.J. Bryce,Free Throw,13,14
14:09,Saint Peter's,Davauhnte Turner,Missed Jumper,13,14
14:09,NC State,C.J. Bryce,Defensive Rebound,13,14
14:08,Saint Peter's,Davauhnte Turner,Foul,13,14
13:56,NC State,Eric Lockett,Three Point Jumper,13,17
13:46,NC State,Braxton Beverly,Foul,13,17
13:16,Saint Peter's,Cameron Jones,Missed Three Point Jumper,13,17
13:16,NC State,Eric Lockett,Defensive Rebound,13,17
13:09,NC State,C.J. Bryce,Missed Layup,13,17
13:09,NC State,NC State,Offensive Rebound,13,17
12:55,NC State,Braxton Beverly,Missed Jumper,13,17
12:55,Saint Peter's,Dallas Watson,Defensive Rebound,13,17
12:45,NC State,DJ Funderburk,Foul,13,17
12:31,Saint Peter's,Dallas Watson,Missed Three Point Jumper,13,17
12:31,NC State,DJ Funderburk,Defensive Rebound,13,17
12:17,NC State,Jericole Hellems,Three Point Jumper,13,20
12:13,Saint Peter's,None,None,13,20
12:13,NC State,None,None,13,20
12:11,NC State,Devon Daniels,Foul,13,20
12:00,Saint Peter's,Mamadou Ndiaye,Missed Jumper,13,20
12:00,Saint Peter's,KC Ndefo,Offensive Rebound,13,20
11:40,NC State,Devon Daniels,Foul,13,20
11:40,Saint Peter's,Davauhnte Turner,Free Throw,14,20
11:40,Saint Peter's,Davauhnte Turner,Free Throw,15,20
11:26,NC State,DJ Funderburk,Layup,15,22
11:26,Saint Peter's,Cameron Jones,Foul,15,22
11:26,NC State,DJ Funderburk,Free Throw,15,23
10:55,Saint Peter's,Quinn Taylor,Missed Layup,15,23
10:55,NC State,Jericole Hellems,Block,15,23
10:55,Saint Peter's,None,Team Rebound,15,23
10:55,Saint Peter's,Saint Peter's ,Turnover,15,23
10:34,NC State,Braxton Beverly,Three Point Jumper,15,26
10:19,Saint Peter's,Cameron Jones,Turnover,15,26
10:19,Saint Peter's,Cameron Jones,Foul,15,26
10:12,NC State,Braxton Beverly,Missed Three Point Jumper,15,26
10:12,NC State,DJ Funderburk,Offensive Rebound,15,26
10:09,NC State,Jericole Hellems,Layup,15,28
9:54,Saint Peter's,Dallas Watson,Missed Three Point Jumper,15,28
9:54,NC State,Jericole Hellems,Defensive Rebound,15,28
9:43,NC State,Markell Johnson,Missed Layup,15,28
9:43,Saint Peter's,Quinn Taylor,Defensive Rebound,15,28
9:33,Saint Peter's,Dallas Watson,Turnover,15,28
9:16,Saint Peter's,Klay Brown,Foul,15,28
9:16,NC State,Braxton Beverly,Free Throw,15,29
9:16,NC State,Braxton Beverly,Free Throw,15,30
9:16,NC State,DJ Funderburk,Foul,15,30
9:00,NC State,Wyatt Walker,Foul,15,30
9:00,Saint Peter's,KC Ndefo,Missed Free Throw,15,30
9:00,Saint Peter's,None,Team Rebound,15,30
9:00,Saint Peter's,KC Ndefo,Free Throw,16,30
8:43,Saint Peter's,Klay Brown,Foul,16,30
8:43,NC State,Torin Dorn,Missed Free Throw,16,30
8:43,NC State,None,Team Rebound,16,30
8:43,NC State,Torin Dorn,Free Throw,16,31
8:28,Saint Peter's,Manny Dixon,Turnover,16,31
8:09,Saint Peter's,KC Ndefo,Foul,16,31
8:09,NC State,Wyatt Walker,Free Throw,16,32
8:09,NC State,Wyatt Walker,Free Throw,16,33
7:47,Saint Peter's,Manny Dixon,Missed Three Point Jumper,16,33
7:47,NC State,Blake Harris,Defensive Rebound,16,33
7:40,Saint Peter's,Manny Dixon,Foul,16,33
7:40,NC State,None,None,16,33
7:40,NC State,Torin Dorn,Free Throw,16,34
7:40,NC State,Torin Dorn,Free Throw,16,35
7:16,Saint Peter's,Davauhnte Turner,Missed Three Point Jumper,16,35
7:16,NC State,Wyatt Walker,Defensive Rebound,16,35
6:56,NC State,Markell Johnson,Three Point Jumper,16,38
6:34,Saint Peter's,Davauhnte Turner,Missed Three Point Jumper,16,38
6:34,NC State,NC State,Defensive Rebound,16,38
6:12,NC State,Torin Dorn,Dunk,16,40
5:56,NC State,Wyatt Walker,Foul,16,40
5:56,Saint Peter's,Quinn Taylor,Free Throw,17,40
5:56,Saint Peter's,Quinn Taylor,Free Throw,18,40
5:45,NC State,Jericole Hellems,Three Point Jumper,18,43
5:29,NC State,Blake Harris,Foul,18,43
5:29,Saint Peter's,Cameron Jones,Free Throw,19,43
5:29,Saint Peter's,Cameron Jones,Missed Free Throw,19,43
5:29,NC State,Markell Johnson,Defensive Rebound,19,43
5:17,Saint Peter's,Klay Brown,Foul,19,43
5:17,NC State,Markell Johnson,Free Throw,19,44
5:17,NC State,Markell Johnson,Free Throw,19,45
4:58,Saint Peter's,Davauhnte Turner,Turnover,19,45
4:57,NC State,Blake Harris,Steal,19,45
4:52,NC State,Braxton Beverly,Three Point Jumper,19,48
4:48,Saint Peter's,None,None,19,48
4:48,Saint Peter's,Quinn Taylor,Turnover,19,48
4:35,NC State,C.J. Bryce,Missed Layup,19,48
4:35,Saint Peter's,KC Ndefo,Defensive Rebound,19,48
4:13,Saint Peter's,Davauhnte Turner,Missed Three Point Jumper,19,48
4:13,NC State,Braxton Beverly,Defensive Rebound,19,48
4:04,NC State,Braxton Beverly,Missed Layup,19,48
4:04,Saint Peter's,KC Ndefo,Block,19,48
4:04,NC State,NC State,Offensive Rebound,19,48
3:58,NC State,Blake Harris,Layup,19,50
3:49,Saint Peter's,Cameron Jones,Turnover,19,50
3:49,NC State,None,None,19,50
3:36,NC State,Blake Harris,Turnover,19,50
3:22,Saint Peter's,KC Ndefo,Missed Layup,19,50
3:22,Saint Peter's,Samuel Idowu,Offensive Rebound,19,50
3:18,Saint Peter's,Samuel Idowu,Layup,21,50
3:07,NC State,Jericole Hellems,Missed Jumper,21,50
3:07,Saint Peter's,Dallas Watson,Defensive Rebound,21,50
2:58,Saint Peter's,Dallas Watson,Jumper,23,50
2:44,NC State,Jericole Hellems,Layup,23,52
2:17,Saint Peter's,Dallas Watson,Missed Three Point Jumper,23,52
2:17,NC State,NC State,Defensive Rebound,23,52
1:55,NC State,Eric Lockett,Three Point Jumper,23,55
1:28,NC State,C.J. Bryce,Foul,23,55
1:28,Saint Peter's,Manny Dixon,Free Throw,24,55
1:28,Saint Peter's,Manny Dixon,Free Throw,25,55
1:00,NC State,Markell Johnson,Missed Jumper,25,55
1:00,NC State,C.J. Bryce,Offensive Rebound,25,55
0:46,NC State,Eric Lockett,Jumper,25,57
0:24,Saint Peter's,Dallas Watson,Turnover,25,57
0:22,NC State,Torin Dorn,Steal,25,57
0:18,NC State,Markell Johnson,Dunk,25,59
0:07,Saint Peter's,Quinn Taylor,Missed Layup,25,59
0:07,Saint Peter's,Saint Peter's,Offensive Rebound,25,59
0:01,Saint Peter's,Quinn Taylor,Layup,27,59
0:00,NC State,None,None,27,59
19:47,Saint Peter's,Dallas Watson,Missed Three Point Jumper,27,59
19:47,NC State,NC State,Defensive Rebound,27,59
19:28,NC State,Wyatt Walker,Layup,27,61
19:06,Saint Peter's,Samuel Idowu,Missed Jumper,27,61
19:06,NC State,Wyatt Walker,Block,27,61
19:04,Saint Peter's,Samuel Idowu,Offensive Rebound,27,61
18:55,Saint Peter's,Davauhnte Turner,Layup,29,61
18:32,NC State,C.J. Bryce,Missed Three Point Jumper,29,61
18:32,Saint Peter's,Manny Dixon,Defensive Rebound,29,61
18:24,NC State,Markell Johnson,Foul,29,61
18:24,Saint Peter's,Samuel Idowu,Free Throw,30,61
18:24,Saint Peter's,Samuel Idowu,Missed Free Throw,30,61
18:24,NC State,Torin Dorn,Defensive Rebound,30,61
18:07,NC State,Devon Daniels,Turnover,30,61
18:05,Saint Peter's,Dallas Watson,Steal,30,61
18:02,Saint Peter's,Samuel Idowu,Missed Layup,30,61
18:02,Saint Peter's,Saint Peter's,Offensive Rebound,30,61
