TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:40,North Florida,Ivan Gandia-Rosa,Missed Three Point Jumper,0,0
19:40,Jacksonville State,Marlon Hunter,Defensive Rebound,0,0
19:19,Jacksonville State,Christian Cunningham,Missed Jumper,0,0
19:19,North Florida,Garrett Sams,Defensive Rebound,0,0
19:07,North Florida,Noah Horchler,Jumper,2,0
18:49,Jacksonville State,Marlon Hunter,Jumper,2,2
18:32,North Florida,Garrett Sams,Missed Three Point Jumper,2,2
18:32,Jacksonville State,Ty Hudson,Defensive Rebound,2,2
18:25,Jacksonville State,Marlon Hunter,Layup,2,4
18:15,North Florida,Wajid Aminu,Three Point Jumper,5,4
17:50,Jacksonville State,Christian Cunningham,Missed Layup,5,4
17:50,North Florida,Garrett Sams,Defensive Rebound,5,4
17:39,North Florida,Noah Horchler,Three Point Jumper,8,4
17:20,Jacksonville State,Jason Burnell,Layup,8,6
17:11,Jacksonville State,Ty Hudson,Foul,8,6
17:11,North Florida,Noah Horchler,Missed Free Throw,8,6
17:11,North Florida,None,Team Rebound,8,6
17:11,North Florida,Noah Horchler,Free Throw,9,6
16:57,North Florida,Garrett Sams,Foul,9,6
16:57,Jacksonville State,Detrick Mostella,Free Throw,9,7
16:57,Jacksonville State,Detrick Mostella,Free Throw,9,8
16:46,North Florida,Garrett Sams,Missed Three Point Jumper,9,8
16:46,Jacksonville State,Marlon Hunter,Defensive Rebound,9,8
16:21,Jacksonville State,Ty Hudson,Missed Three Point Jumper,9,8
16:21,Jacksonville State,Christian Cunningham,Offensive Rebound,9,8
16:18,North Florida,Wajid Aminu,Foul,9,8
16:17,Jacksonville State,Marlon Hunter,Jumper,9,10
16:02,North Florida,Wajid Aminu,Missed Jumper,9,10
16:02,Jacksonville State,Jason Burnell,Defensive Rebound,9,10
15:54,Jacksonville State,Ty Hudson,Missed Jumper,9,10
15:54,Jacksonville State,Christian Cunningham,Offensive Rebound,9,10
15:51,Jacksonville State,None,None,9,12
15:29,North Florida,Wajid Aminu,Jumper,11,12
15:00,Jacksonville State,Ty Hudson,Three Point Jumper,11,15
14:45,North Florida,Garrett Sams,Missed Three Point Jumper,11,15
14:45,Jacksonville State,Marlon Hunter,Defensive Rebound,11,15
14:37,Jacksonville State,Ty Hudson,Three Point Jumper,11,18
14:20,North Florida,J.T. Escobar,Missed Three Point Jumper,11,18
14:20,North Florida,Garrett Sams,Offensive Rebound,11,18
14:13,North Florida,J.T. Escobar,Three Point Jumper,14,18
13:50,Jacksonville State,Jason Burnell,Jumper,14,20
13:26,North Florida,J.T. Escobar,Missed Three Point Jumper,14,20
13:26,Jacksonville State,Jason Burnell,Defensive Rebound,14,20
13:24,North Florida,Noah Horchler,Foul,14,20
13:24,Jacksonville State,None,None,14,20
13:09,Jacksonville State,Jason Burnell,Layup,14,22
12:44,North Florida,Ivan Gandia-Rosa,Missed Three Point Jumper,14,22
12:44,Jacksonville State,Jacksonville State,Defensive Rebound,14,22
12:23,Jacksonville State,Christian Cunningham,Turnover,14,22
12:00,North Florida,Trip Day,Layup,16,22
11:33,North Florida,Trip Day,Foul,16,22
11:33,Jacksonville State,None,None,16,22
11:33,Jacksonville State,Jason Burnell,Free Throw,16,23
11:33,Jacksonville State,Jason Burnell,Free Throw,16,24
11:16,Jacksonville State,Maurice Dunlap,Foul,16,24
11:14,North Florida,Ryan Burkhardt,Turnover,16,24
11:14,Jacksonville State,Christian Cunningham,Steal,16,24
11:10,Jacksonville State,Jamall Gregory,Turnover,16,24
11:09,North Florida,Trip Day,Steal,16,24
10:52,North Florida,Ryan Burkhardt,Three Point Jumper,19,24
10:33,Jacksonville State,Jason Burnell,Missed Layup,19,24
10:33,Jacksonville State,Jacksonville State,Offensive Rebound,19,24
10:19,Jacksonville State,Derek St. Hilaire,Missed Jumper,19,24
10:19,North Florida,Ivan Gandia-Rosa,Defensive Rebound,19,24
10:11,North Florida,Carter Hendricksen,Three Point Jumper,22,24
9:55,Jacksonville State,Jamall Gregory,Missed Layup,22,24
9:55,North Florida,Ivan Gandia-Rosa,Defensive Rebound,22,24
9:30,North Florida,Wajid Aminu,Missed Jumper,22,24
9:30,Jacksonville State,Detrick Mostella,Defensive Rebound,22,24
9:14,Jacksonville State,Marlon Hunter,Jumper,22,26
8:51,North Florida,Carter Hendricksen,Missed Three Point Jumper,22,26
8:51,Jacksonville State,Jason Burnell,Defensive Rebound,22,26
8:37,Jacksonville State,Maros Zeliznak,Turnover,22,26
8:13,North Florida,J.T. Escobar,Turnover,22,26
8:12,Jacksonville State,Ty Hudson,Steal,22,26
8:09,Jacksonville State,Ty Hudson,Missed Layup,22,26
8:09,Jacksonville State,Marlon Hunter,Offensive Rebound,22,26
8:06,Jacksonville State,Marlon Hunter,Missed Layup,22,26
8:06,North Florida,J.T. Escobar,Defensive Rebound,22,26
8:00,Jacksonville State,Ty Hudson,Foul,22,26
8:00,Jacksonville State,None,None,22,26
7:40,North Florida,Brian Coffey II,Jumper,24,26
7:19,Jacksonville State,Detrick Mostella,Turnover,24,26
7:18,North Florida,Noah Horchler,Steal,24,26
7:07,North Florida,Wajid Aminu,Jumper,26,26
6:47,Jacksonville State,Maurice Dunlap,Layup,26,28
6:33,North Florida,Wajid Aminu,Three Point Jumper,29,28
6:12,Jacksonville State,Christian Cunningham,Turnover,29,28
5:49,North Florida,Brian Coffey II,Turnover,29,28
5:49,Jacksonville State,Maurice Dunlap,Steal,29,28
5:47,Jacksonville State,Detrick Mostella,Missed Layup,29,28
5:47,North Florida,Noah Horchler,Defensive Rebound,29,28
5:39,Jacksonville State,Detrick Mostella,Foul,29,28
5:31,North Florida,Garrett Sams,Turnover,29,28
5:31,North Florida,Garrett Sams,Foul,29,28
5:15,Jacksonville State,Marlon Hunter,Missed Three Point Jumper,29,28
5:15,North Florida,Noah Horchler,Defensive Rebound,29,28
4:57,North Florida,Trip Day,Turnover,29,28
4:57,Jacksonville State,Maurice Dunlap,Steal,29,28
4:53,North Florida,Garrett Sams,Foul,29,28
4:53,Jacksonville State,Maurice Dunlap,Free Throw,29,29
4:53,Jacksonville State,Maurice Dunlap,Free Throw,29,30
4:35,North Florida,J.T. Escobar,Three Point Jumper,32,30
4:11,Jacksonville State,Jason Burnell,Turnover,32,30
3:58,North Florida,Noah Horchler,Layup,34,30
3:53,Jacksonville State,None,None,34,30
3:53,Jacksonville State,None,None,34,30
3:32,Jacksonville State,Jamall Gregory,Missed Layup,34,30
3:32,North Florida,J.T. Escobar,Defensive Rebound,34,30
3:21,North Florida,Trip Day,Layup,36,30
3:07,Jacksonville State,Marlon Hunter,Missed Jumper,36,30
3:07,North Florida,Trip Day,Defensive Rebound,36,30
2:55,North Florida,J.T. Escobar,Three Point Jumper,39,30
2:29,Jacksonville State,Derek St. Hilaire,Missed Jumper,39,30
2:29,Jacksonville State,Jason Burnell,Offensive Rebound,39,30
2:26,North Florida,Wajid Aminu,Foul,39,30
2:26,Jacksonville State,Jason Burnell,Free Throw,39,31
2:26,Jacksonville State,Jason Burnell,Missed Free Throw,39,31
2:26,North Florida,J.T. Escobar,Defensive Rebound,39,31
2:14,North Florida,Ivan Gandia-Rosa,Turnover,39,31
2:13,Jacksonville State,Jamall Gregory,Steal,39,31
2:11,Jacksonville State,Jamall Gregory,Dunk,39,33
1:53,North Florida,Trip Day,Missed Layup,39,33
1:53,Jacksonville State,Jason Burnell,Defensive Rebound,39,33
1:51,North Florida,Trip Day,Foul,39,33
1:51,Jacksonville State,Jason Burnell,Missed Free Throw,39,33
1:51,North Florida,Noah Horchler,Defensive Rebound,39,33
1:37,North Florida,Ivan Gandia-Rosa,Turnover,39,33
1:36,Jacksonville State,Maurice Dunlap,Steal,39,33
1:33,Jacksonville State,Maurice Dunlap,Layup,39,35
1:33,North Florida,None,None,39,35
1:22,North Florida,Ivan Gandia-Rosa,Turnover,39,35
