TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:47,Middle Tennessee,James Hawthorne,Layup,2,0
19:18,Butler,Paul Jorgensen,Layup,2,2
19:04,Middle Tennessee,Anthony Crump,Turnover,2,2
19:04,Butler,Aaron Thompson,Steal,2,2
19:01,Butler,Aaron Thompson,Missed Layup,2,2
19:01,Middle Tennessee,Anthony Crump,Defensive Rebound,2,2
18:41,Middle Tennessee,Reggie Scurry,Missed Jumper,2,2
18:41,Middle Tennessee,Reggie Scurry,Offensive Rebound,2,2
18:35,Middle Tennessee,Antonio Green,Three Point Jumper,5,2
18:19,Butler,Paul Jorgensen,Missed Three Point Jumper,5,2
18:19,Middle Tennessee,James Hawthorne,Defensive Rebound,5,2
18:05,Middle Tennessee,James Hawthorne,Missed Jumper,5,2
18:05,Butler,Nate Fowler,Defensive Rebound,5,2
17:54,Butler,Sean McDermott,Missed Three Point Jumper,5,2
17:54,Butler,Paul Jorgensen,Offensive Rebound,5,2
17:40,Butler,Sean McDermott,Three Point Jumper,5,5
17:30,Middle Tennessee,Donovan Sims,Turnover,5,5
17:19,Middle Tennessee,Reggie Scurry,Foul,5,5
17:16,Butler,Paul Jorgensen,Missed Three Point Jumper,5,5
17:16,Middle Tennessee,Antonio Green,Defensive Rebound,5,5
17:07,Middle Tennessee,Antonio Green,Missed Three Point Jumper,5,5
17:07,Butler,Sean McDermott,Defensive Rebound,5,5
16:58,Butler,Kamar Baldwin,Layup,5,7
16:26,Middle Tennessee,James Hawthorne,Missed Jumper,5,7
16:26,Butler,Kamar Baldwin,Defensive Rebound,5,7
16:16,Butler,Sean McDermott,Missed Three Point Jumper,5,7
16:16,Middle Tennessee,Antonio Green,Defensive Rebound,5,7
16:04,Middle Tennessee,Karl Gamble,Missed Jumper,5,7
16:04,Butler,Kamar Baldwin,Defensive Rebound,5,7
15:57,Butler,Sean McDermott,Three Point Jumper,5,10
15:25,Middle Tennessee,Donovan Sims,Jumper,7,10
15:00,Butler,Kamar Baldwin,Missed Jumper,7,10
15:00,Middle Tennessee,Karl Gamble,Defensive Rebound,7,10
14:33,Middle Tennessee,Antonio Green,Turnover,7,10
14:31,Butler,Paul Jorgensen,Steal,7,10
14:27,Butler,Paul Jorgensen,Missed Layup,7,10
14:27,Middle Tennessee,James Hawthorne,Block,7,10
14:25,Butler,Sean McDermott,Offensive Rebound,7,10
14:24,Butler,Sean McDermott,Missed Layup,7,10
14:24,Middle Tennessee,Anthony Crump,Defensive Rebound,7,10
13:53,Middle Tennessee,Middle Tennessee ,Turnover,7,10
13:53,Butler,None,None,7,10
13:27,Butler,Paul Jorgensen,Jumper,7,12
13:14,Middle Tennessee,Antonio Green,Turnover,7,12
13:13,Butler,Kamar Baldwin,Steal,7,12
13:06,Butler,Kamar Baldwin,Three Point Jumper,7,15
12:48,Middle Tennessee,Donovan Sims,Turnover,7,15
12:47,Butler,Jerald Gillens-Butler,Steal,7,15
12:44,Butler,Jerald Gillens-Butler,Missed Layup,7,15
12:44,Butler,Paul Jorgensen,Offensive Rebound,7,15
12:41,Middle Tennessee,Antonio Green,Foul,7,15
12:41,Butler,Paul Jorgensen,Free Throw,7,16
12:41,Butler,Paul Jorgensen,Free Throw,7,17
12:22,Middle Tennessee,Karl Gamble,Missed Layup,7,17
12:22,Middle Tennessee,Karl Gamble,Offensive Rebound,7,17
12:20,Middle Tennessee,Karl Gamble,Missed Layup,7,17
12:16,Middle Tennessee,Karl Gamble,Offensive Rebound,7,17
12:16,Butler,Joey Brunk,Foul,7,17
12:11,Middle Tennessee,Junior Farquhar,Missed Jumper,7,17
12:11,Middle Tennessee,Karl Gamble,Offensive Rebound,7,17
