TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:45,Charleston Southern,Christian Keeling,Missed Three Point Jumper,0,0
19:39,Charleston Southern,Travis McConico,Offensive Rebound,0,0
19:39,Charleston Southern,Travis McConico,Missed Layup,0,0
19:38,Coppin State,Lamar Morgan,Defensive Rebound,0,0
19:19,Coppin State,Taqwain Drummond,Turnover,0,0
19:19,Charleston Southern,Christian Keeling,Steal,0,0
19:19,Charleston Southern,Christian Keeling,Turnover,0,0
18:59,Coppin State,Taqwain Drummond,Missed Three Point Jumper,0,0
18:54,Charleston Southern,Travis McConico,Defensive Rebound,0,0
18:50,Charleston Southern,Deontaye Buskey,Missed Layup,0,0
18:47,Charleston Southern,Timmy Sellers,Offensive Rebound,0,0
18:47,Coppin State,Taqwain Drummond,Foul,0,0
18:47,Charleston Southern,Timmy Sellers,Free Throw,0,1
18:47,Charleston Southern,Timmy Sellers,Free Throw,0,2
18:29,Coppin State,Nigel Marshall,Turnover,0,2
18:13,Charleston Southern,Christian Keeling,Missed Three Point Jumper,0,2
18:10,Charleston Southern,Travis McConico,Offensive Rebound,0,2
18:06,Charleston Southern,Deontaye Buskey,Missed Three Point Jumper,0,2
18:03,Charleston Southern,Timmy Sellers,Offensive Rebound,0,2
18:03,Coppin State,Cedric Council,Foul,0,2
17:55,Charleston Southern,Christian Keeling,Missed Layup,0,2
17:51,Coppin State,Dejuan Clayton,Defensive Rebound,0,2
17:48,Coppin State,Dejuan Clayton,Missed Layup,0,2
17:45,Coppin State,Cedric Council,Offensive Rebound,0,2
17:44,Coppin State,Cedric Council,Layup,2,2
17:32,Charleston Southern,Deontaye Buskey,Layup,2,4
17:31,Coppin State,None,None,2,4
17:20,Coppin State,Taqwain Drummond,Foul,2,4
17:20,Coppin State,Taqwain Drummond,Turnover,2,4
16:56,Charleston Southern,Travis McConico,Missed Three Point Jumper,2,4
16:54,Coppin State,None,Team Rebound,2,4
16:43,Coppin State,Coppin State ,Turnover,2,4
16:26,Charleston Southern,Duncan LeXander,Missed Jumper,2,4
16:19,Coppin State,Lamar Morgan,Defensive Rebound,2,4
16:17,Coppin State,Lamar Morgan,Missed Three Point Jumper,2,4
16:13,Charleston Southern,Timmy Sellers,Defensive Rebound,2,4
16:08,Charleston Southern,Deontaye Buskey,Three Point Jumper,2,7
15:57,Charleston Southern,Timmy Sellers,Foul,2,7
15:57,Coppin State,Nigel Marshall,Missed Free Throw,2,7
