TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:43,Samford,Myron Gordon,Three Point Jumper,3,0
19:22,Purdue Fort Wayne,Marcus DeBerry,Turnover,3,0
19:11,Samford,Brandon Austin,Missed Layup,3,0
19:11,Purdue Fort Wayne,Dylan Carl,Block,3,0
19:09,Samford,Josh Sharkey,Offensive Rebound,3,0
18:58,Samford,Myron Gordon,Missed Jumper,3,0
18:58,Purdue Fort Wayne,John Konchar,Defensive Rebound,3,0
18:51,Purdue Fort Wayne,Kason Harrell,Missed Three Point Jumper,3,0
18:51,Samford,Ruben Guerrero,Defensive Rebound,3,0
18:32,Samford,Brandon Austin,Missed Three Point Jumper,3,0
18:32,Purdue Fort Wayne,John Konchar,Defensive Rebound,3,0
18:20,Purdue Fort Wayne,Matt Holba,Three Point Jumper,3,3
18:02,Purdue Fort Wayne,Dylan Carl,Foul,3,3
17:55,Samford,Myron Gordon,Turnover,3,3
17:54,Purdue Fort Wayne,John Konchar,Steal,3,3
17:42,Samford,Myron Gordon,Foul,3,3
17:42,Purdue Fort Wayne,John Konchar,Missed Free Throw,3,3
17:42,Purdue Fort Wayne,None,Team Rebound,3,3
17:42,Purdue Fort Wayne,John Konchar,Free Throw,3,4
17:42,Purdue Fort Wayne,John Konchar,Free Throw,3,5
17:17,Samford,Ruben Guerrero,Missed Layup,3,5
17:17,Samford,Samford,Offensive Rebound,3,5
17:10,Samford,Brandon Austin,Turnover,3,5
16:53,Purdue Fort Wayne,Dee Montgomery,Missed Three Point Jumper,3,5
16:53,Samford,Robert Allen,Defensive Rebound,3,5
16:43,Samford,Robert Allen,Missed Three Point Jumper,3,5
16:43,Samford,Myron Gordon,Offensive Rebound,3,5
16:31,Samford,Brandon Austin,Three Point Jumper,6,5
16:20,Purdue Fort Wayne,John Konchar,Missed Layup,6,5
16:20,Samford,Josh Sharkey,Defensive Rebound,6,5
16:12,Samford,Josh Sharkey,Turnover,6,5
15:59,Purdue Fort Wayne,Marcus DeBerry,Missed Three Point Jumper,6,5
15:59,Purdue Fort Wayne,Cameron Benford,Offensive Rebound,6,5
15:55,Purdue Fort Wayne,Cameron Benford,Missed Layup,6,5
15:55,Samford,Ruben Guerrero,Block,6,5
15:53,Samford,Ruben Guerrero,Defensive Rebound,6,5
15:47,Purdue Fort Wayne,Dee Montgomery,Foul,6,5
15:47,Purdue Fort Wayne,None,None,6,5
15:47,Samford,Myron Gordon,Missed Free Throw,6,5
15:47,Samford,None,Team Rebound,6,5
15:47,Samford,Myron Gordon,Free Throw,7,5
15:27,Purdue Fort Wayne,Kason Harrell,Three Point Jumper,7,8
15:02,Samford,Robert Allen,Layup,9,8
14:43,Purdue Fort Wayne,Matt Holba,Missed Three Point Jumper,9,8
