TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
20:00,Kansas,None,None,0,0
19:48,Kansas,Lagerald Vick,Three Point Jumper,0,3
19:33,Tennessee,Grant Williams,Missed Three Point Jumper,0,3
19:33,Kansas,Quentin Grimes,Defensive Rebound,0,3
19:24,Kansas,Lagerald Vick,Missed Three Point Jumper,0,3
19:24,Tennessee,Grant Williams,Defensive Rebound,0,3
19:06,Tennessee,Admiral Schofield,Missed Three Point Jumper,0,3
19:06,Tennessee,Kyle Alexander,Offensive Rebound,0,3
19:01,Tennessee,Kyle Alexander,Missed Jumper,0,3
19:01,Kansas,Udoka Azubuike,Defensive Rebound,0,3
18:49,Kansas,Dedric Lawson,Turnover,0,3
18:49,Tennessee,Jordan Bone,Steal,0,3
18:43,Kansas,Lagerald Vick,Foul,0,3
18:43,Tennessee,Jordan Bone,Free Throw,1,3
18:43,Tennessee,Jordan Bone,Free Throw,2,3
18:31,Tennessee,Jordan Bowden,Foul,2,3
18:19,Kansas,Udoka Azubuike,Missed Dunk,2,3
18:19,Tennessee,Grant Williams,Block,2,3
18:19,Kansas,Udoka Azubuike,Offensive Rebound,2,3
18:14,Kansas,Udoka Azubuike,Dunk,2,5
17:59,Tennessee,Admiral Schofield,Missed Three Point Jumper,2,5
17:59,Kansas,Dedric Lawson,Defensive Rebound,2,5
17:51,Kansas,Quentin Grimes,Missed Three Point Jumper,2,5
17:51,Tennessee,Kyle Alexander,Defensive Rebound,2,5
17:38,Tennessee,Jordan Bowden,Missed Three Point Jumper,2,5
17:38,Kansas,Devon Dotson,Defensive Rebound,2,5
17:30,Kansas,Devon Dotson,Layup,2,7
17:04,Tennessee,Grant Williams,Missed Layup,2,7
17:04,Tennessee,Kyle Alexander,Offensive Rebound,2,7
17:04,Tennessee,None,None,4,7
16:37,Tennessee,Kyle Alexander,Foul,4,7
16:31,Kansas,Dedric Lawson,Layup,4,9
16:17,Tennessee,Jordan Bowden,Layup,6,9
15:48,Kansas,Udoka Azubuike,Turnover,6,9
15:48,Kansas,None,None,6,9
15:35,Tennessee,Lamonte Turner,Missed Three Point Jumper,6,9
15:35,Tennessee,Grant Williams,Offensive Rebound,6,9
15:30,Tennessee,Grant Williams,Layup,8,9
15:07,Kansas,Udoka Azubuike,Layup,8,11
14:55,Tennessee,Admiral Schofield,Jumper,10,11
14:50,Kansas,Devon Dotson,Turnover,10,11
14:50,Tennessee,Grant Williams,Steal,10,11
14:46,Tennessee,Lamonte Turner,Missed Layup,10,11
14:46,Kansas,Dedric Lawson,Defensive Rebound,10,11
14:41,Kansas,Udoka Azubuike,Dunk,10,13
14:23,Kansas,Udoka Azubuike,Foul,10,13
14:23,Tennessee,Admiral Schofield,Missed Free Throw,10,13
14:23,Tennessee,None,Team Rebound,10,13
14:23,Tennessee,Admiral Schofield,Free Throw,11,13
14:04,Tennessee,John Fulkerson,Foul,11,13
14:04,Kansas,Dedric Lawson,Free Throw,11,14
14:04,Kansas,Dedric Lawson,Missed Free Throw,11,14
14:04,Tennessee,Lamonte Turner,Defensive Rebound,11,14
13:55,Tennessee,Grant Williams,Layup,13,14
13:55,Kansas,Dedric Lawson,Foul,13,14
13:55,Tennessee,Grant Williams,Free Throw,14,14
13:46,Kansas,Dedric Lawson,Missed Three Point Jumper,14,14
13:46,Tennessee,Jordan Bone,Defensive Rebound,14,14
13:32,Tennessee,John Fulkerson,Turnover,14,14
13:16,Kansas,Devon Dotson,Missed Jumper,14,14
13:16,Tennessee,Jordan Bone,Block,14,14
13:16,Kansas,Dedric Lawson,Offensive Rebound,14,14
13:11,Kansas,Quentin Grimes,Layup,14,16
12:45,Tennessee,John Fulkerson,Missed Layup,14,16
12:45,Kansas,Mitch Lightfoot,Defensive Rebound,14,16
12:29,Kansas,Dedric Lawson,Missed Jumper,14,16
12:29,Tennessee,Yves Pons,Defensive Rebound,14,16
12:03,Tennessee,Jordan Bone,Turnover,14,16
11:50,Tennessee,Admiral Schofield,Foul,14,16
11:50,Kansas,None,None,14,16
11:38,Kansas,Lagerald Vick,Turnover,14,16
11:17,Tennessee,Yves Pons,Missed Three Point Jumper,14,16
11:17,Kansas,Mitch Lightfoot,Defensive Rebound,14,16
11:02,Kansas,Charlie Moore,Layup,14,18
10:52,Tennessee,Jordan Bowden,Missed Three Point Jumper,14,18
10:52,Tennessee,John Fulkerson,Offensive Rebound,14,18
10:32,Tennessee,John Fulkerson,Foul,14,18
10:32,Tennessee,John Fulkerson,Turnover,14,18
10:14,Kansas,K.J. Lawson,Turnover,14,18
9:56,Tennessee,Admiral Schofield,Missed Jumper,14,18
9:56,Kansas,Lagerald Vick,Defensive Rebound,14,18
9:38,Kansas,Quentin Grimes,Turnover,14,18
9:23,Tennessee,Kyle Alexander,Missed Jumper,14,18
9:23,Kansas,Quentin Grimes,Defensive Rebound,14,18
9:09,Kansas,Charlie Moore,Turnover,14,18
8:58,Tennessee,Admiral Schofield,Missed Three Point Jumper,14,18
8:58,Kansas,K.J. Lawson,Defensive Rebound,14,18
8:41,Tennessee,Admiral Schofield,Foul,14,18
8:41,Kansas,Quentin Grimes,Free Throw,14,19
8:41,Kansas,Quentin Grimes,Missed Free Throw,14,19
8:41,Tennessee,Jordan Bone,Defensive Rebound,14,19
8:32,Tennessee,Grant Williams,Turnover,14,19
8:32,Kansas,Quentin Grimes,Steal,14,19
8:22,Kansas,Dedric Lawson,Missed Layup,14,19
8:22,Tennessee,Grant Williams,Defensive Rebound,14,19
8:20,Kansas,Udoka Azubuike,Foul,14,19
8:07,Tennessee,Grant Williams,Missed Jumper,14,19
8:07,Kansas,David McCormack,Defensive Rebound,14,19
7:57,Kansas,David McCormack,Foul,14,19
7:57,Kansas,David McCormack,Turnover,14,19
7:57,Kansas,None,None,14,19
7:47,Tennessee,Jordan Bone,Jumper,16,19
7:25,Kansas,Quentin Grimes,Missed Jumper,16,19
7:25,Kansas,Devon Dotson,Offensive Rebound,16,19
7:08,Kansas,Devon Dotson,Missed Layup,16,19
7:08,Tennessee,Jordan Bowden,Block,16,19
7:08,Kansas,Kansas,Offensive Rebound,16,19
6:57,Kansas,Lagerald Vick,Missed Three Point Jumper,16,19
6:57,Tennessee,Jordan Bowden,Defensive Rebound,16,19
6:45,Tennessee,Kyle Alexander,Dunk,18,19
6:28,Kansas,Lagerald Vick,Jumper,18,21
6:16,Tennessee,Lamonte Turner,Three Point Jumper,21,21
5:59,Kansas,Dedric Lawson,Layup,21,23
5:33,Tennessee,Lamonte Turner,Missed Three Point Jumper,21,23
5:33,Kansas,Quentin Grimes,Defensive Rebound,21,23
5:19,Kansas,Dedric Lawson,Layup,21,25
5:00,Tennessee,Kyle Alexander,Dunk,23,25
4:54,Kansas,David McCormack,Turnover,23,25
4:54,Tennessee,Lamonte Turner,Steal,23,25
4:27,Tennessee,Grant Williams,Missed Jumper,23,25
4:27,Kansas,Dedric Lawson,Defensive Rebound,23,25
4:04,Tennessee,Grant Williams,Foul,23,25
4:04,Kansas,Dedric Lawson,Missed Free Throw,23,25
4:04,Kansas,None,Team Rebound,23,25
4:04,Kansas,Dedric Lawson,Missed Free Throw,23,25
4:04,Tennessee,John Fulkerson,Defensive Rebound,23,25
3:53,Tennessee,Lamonte Turner,Three Point Jumper,26,25
3:34,Kansas,Lagerald Vick,Missed Three Point Jumper,26,25
3:34,Tennessee,Derrick Walker,Defensive Rebound,26,25
3:25,Tennessee,Lamonte Turner,Jumper,28,25
3:19,Kansas,None,None,28,25
3:00,Kansas,Charlie Moore,Missed Three Point Jumper,28,25
3:00,Tennessee,Lamonte Turner,Defensive Rebound,28,25
2:30,Tennessee,Derrick Walker,Missed Layup,28,25
2:30,Kansas,Mitch Lightfoot,Block,28,25
2:30,Kansas,Kansas,Defensive Rebound,28,25
2:16,Kansas,Charlie Moore,Three Point Jumper,28,28
2:06,Tennessee,None,None,28,28
1:58,Kansas,Devon Dotson,Foul,28,28
1:54,Tennessee,Derrick Walker,Turnover,28,28
1:40,Tennessee,Derrick Walker,Foul,28,28
1:40,Kansas,K.J. Lawson,Free Throw,28,29
1:40,Kansas,K.J. Lawson,Missed Free Throw,28,29
1:40,Tennessee,Jordan Bone,Defensive Rebound,28,29
1:30,Tennessee,Grant Williams,Turnover,28,29
1:16,Kansas,Devon Dotson,Missed Layup,28,29
1:16,Tennessee,Derrick Walker,Defensive Rebound,28,29
1:14,Kansas,Devon Dotson,Foul,28,29
1:14,Tennessee,Derrick Walker,Missed Free Throw,28,29
1:14,Tennessee,Jordan Bone,Offensive Rebound,28,29
1:11,Tennessee,Jordan Bone,Missed Layup,28,29
1:11,Tennessee,Jordan Bone,Offensive Rebound,28,29
0:59,Tennessee,Lamonte Turner,Missed Three Point Jumper,28,29
0:59,Tennessee,Jordan Bowden,Offensive Rebound,28,29
0:55,Tennessee,Jordan Bowden,Layup,30,29
0:36,Kansas,Quentin Grimes,Missed Three Point Jumper,30,29
0:36,Kansas,Dedric Lawson,Offensive Rebound,30,29
0:26,Kansas,Charlie Moore,Jumper,30,31
0:03,Tennessee,Jordan Bone,Three Point Jumper,33,31
0:00,Kansas,None,None,33,31
20:00,Tennessee,None,None,33,31
