TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:27,Seattle,Seattle ,Turnover,0,0
19:02,Fairfield,Taj Benning,Missed Layup,0,0
18:59,Seattle,Matej Kavas,Defensive Rebound,0,0
18:57,Seattle,Myles Carter,Foul,0,0
18:57,Seattle,Myles Carter,Turnover,0,0
18:44,Fairfield,Landon Taliaferro,Missed Layup,0,0
18:44,Seattle,Myles Carter,Block,0,0
18:44,Fairfield,None,Team Rebound,0,0
18:35,Fairfield,Neftali Alvarez,Foul,0,0
18:35,Fairfield,Neftali Alvarez,Turnover,0,0
18:20,Seattle,Delante Jones,Three Point Jumper,0,3
18:01,Fairfield,Neftali Alvarez,Three Point Jumper,3,3
17:52,Seattle,Myles Carter,Layup,3,5
17:52,Fairfield,Landon Taliaferro,Foul,3,5
17:52,Seattle,Myles Carter,Free Throw,3,6
17:38,Fairfield,Neftali Alvarez,Missed Three Point Jumper,3,6
17:33,Seattle,Terrell Brown,Defensive Rebound,3,6
17:24,Seattle,Myles Carter,Turnover,3,6
17:06,Fairfield,Jonathan Kasibabu,Missed Three Point Jumper,3,6
17:01,Seattle,Terrell Brown,Defensive Rebound,3,6
16:57,Seattle,Terrell Brown,Missed Layup,3,6
16:54,Seattle,Terrell Brown,Offensive Rebound,3,6
16:54,Seattle,Terrell Brown,Missed Layup,3,6
16:49,Fairfield,Taj Benning,Defensive Rebound,3,6
16:48,Fairfield,Jesus Cruz,Layup,5,6
16:32,Fairfield,Jesus Cruz,Foul,5,6
16:32,Seattle,Matej Kavas,Free Throw,5,7
16:32,Seattle,Matej Kavas,Free Throw,5,8
16:23,Fairfield,Taj Benning,Missed Layup,5,8
16:23,Seattle,Myles Carter,Block,5,8
16:23,Fairfield,None,Team Rebound,5,8
16:16,Fairfield,Felix Lemetti,Three Point Jumper,8,8
15:58,Fairfield,Jonathan Kasibabu,Foul,8,8
15:58,Seattle,None,None,8,8
15:47,Seattle,Delante Jones,Turnover,8,8
15:30,Fairfield,Neftali Alvarez,Layup,10,8
15:13,Fairfield,Felix Lemetti,Foul,10,8
15:13,Seattle,Morgan Means,Free Throw,10,9
15:13,Seattle,Morgan Means,Free Throw,10,10
14:59,Fairfield,Jonathan Kasibabu,Missed Three Point Jumper,10,10
14:55,Seattle,Matej Kavas,Defensive Rebound,10,10
14:43,Seattle,Matej Kavas,Missed Jumper,10,10
14:40,Fairfield,Jonathan Kasibabu,Defensive Rebound,10,10
14:33,Fairfield,Jonathan Kasibabu,Foul,10,10
14:33,Fairfield,Jonathan Kasibabu,Turnover,10,10
14:33,Seattle,None,None,10,10
14:24,Fairfield,Neftali Alvarez,Foul,10,10
14:24,Seattle,Delante Jones,Missed Free Throw,10,10
14:24,Fairfield,Taj Benning,Defensive Rebound,10,10
14:06,Fairfield,Jesus Cruz,Missed Three Point Jumper,10,10
14:03,Seattle,Morgan Means,Defensive Rebound,10,10
13:52,Fairfield,Matija Milin,Foul,10,10
13:52,Seattle,Myles Carter,Free Throw,10,11
13:52,Seattle,Myles Carter,Free Throw,10,12
13:28,Fairfield,Jesus Cruz,Missed Jumper,10,12
13:24,Fairfield,Matija Milin,Offensive Rebound,10,12
13:23,Fairfield,Taj Benning,Turnover,10,12
13:23,Seattle,Terrell Brown,Steal,10,12
13:19,Seattle,Terrell Brown,Layup,10,14
13:14,Seattle,Morgan Means,Foul,10,14
13:02,Seattle,Aaron Nettles,Foul,10,14
13:02,Fairfield,Aidas Kavaliauskas,Free Throw,11,14
13:02,Fairfield,Aidas Kavaliauskas,Free Throw,12,14
12:47,Seattle,Morgan Means,Turnover,12,14
12:41,Fairfield,Landon Taliaferro,Foul,12,14
12:41,Fairfield,Landon Taliaferro,Turnover,12,14
