TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:50,High Point,Jordan Whitehead,Foul,0,0
19:36,East Carolina,Justice Obasohan,Missed Jumper,0,0
19:36,High Point,Jamal Wright,Defensive Rebound,0,0
19:05,High Point,Jahaad Proctor,Jumper,2,0
18:48,High Point,Curtis Holland III,Foul,2,0
18:47,East Carolina,Jayden Gardner,Missed Free Throw,2,0
18:47,East Carolina,None,Team Rebound,2,0
18:47,East Carolina,Jayden Gardner,Free Throw,2,1
18:31,High Point,Jahaad Proctor,Turnover,2,1
18:30,East Carolina,Tae Hardy,Steal,2,1
18:19,East Carolina,Tae Hardy,Jumper,2,3
18:00,East Carolina,Justice Obasohan,Foul,2,3
17:44,High Point,Jamal Wright,Three Point Jumper,5,3
17:22,East Carolina,Jayden Gardner,Missed Jumper,5,3
17:22,High Point,Curtis Holland III,Defensive Rebound,5,3
17:15,High Point,Jamal Wright,Turnover,5,3
16:57,East Carolina,Jayden Gardner,Turnover,5,3
16:56,High Point,Jahaad Proctor,Steal,5,3
16:52,High Point,Curtis Holland III,Layup,7,3
16:34,East Carolina,Seth LeDay,Missed Jumper,7,3
16:34,East Carolina,East Carolina,Offensive Rebound,7,3
16:28,East Carolina,Shawn Williams,Three Point Jumper,7,6
16:07,High Point,Curtis Holland III,Missed Three Point Jumper,7,6
16:07,High Point,Jamal Wright,Offensive Rebound,7,6
16:03,High Point,Jamal Wright,Missed Layup,7,6
16:03,East Carolina,K.J. Davis,Defensive Rebound,7,6
15:59,East Carolina,Seth LeDay,Turnover,7,6
15:58,High Point,Jahaad Proctor,Steal,7,6
15:56,High Point,Jamal Wright,Layup,9,6
15:33,High Point,Curtis Holland III,Foul,9,6
15:33,East Carolina,None,None,9,6
15:24,East Carolina,Dimitrije Spasojevic,Missed Jumper,9,6
15:24,East Carolina,East Carolina,Offensive Rebound,9,6
14:58,East Carolina,Jayden Gardner,Jumper,9,8
14:33,High Point,Ricky Madison,Missed Three Point Jumper,9,8
14:33,High Point,Sam Berlin,Offensive Rebound,9,8
14:27,High Point,Jahaad Proctor,Three Point Jumper,12,8
13:54,East Carolina,Tae Hardy,Missed Jumper,12,8
13:54,High Point,Jahaad Proctor,Defensive Rebound,12,8
13:42,East Carolina,Dimitrije Spasojevic,Foul,12,8
13:33,High Point,Brandonn Kamga,Three Point Jumper,15,8
13:32,East Carolina,None,None,15,8
13:03,East Carolina,Shawn Williams,Missed Three Point Jumper,15,8
13:03,High Point,Sam Berlin,Defensive Rebound,15,8
12:44,High Point,Caden Sanchez,Layup,17,8
12:26,East Carolina,Dimitrije Spasojevic,Jumper,17,10
12:04,High Point,Brandonn Kamga,Three Point Jumper,20,10
11:37,East Carolina,Shawn Williams,Missed Three Point Jumper,20,10
11:37,High Point,Denny Slay,Defensive Rebound,20,10
11:18,High Point,Brandonn Kamga,Turnover,20,10
11:18,East Carolina,Isaac Fleming,Steal,20,10
11:16,East Carolina,Isaac Fleming,Layup,20,12
10:46,High Point,Brandonn Kamga,Missed Jumper,20,12
10:46,East Carolina,Isaac Fleming,Defensive Rebound,20,12
10:34,East Carolina,Isaac Fleming,Layup,20,14
10:15,High Point,Jahaad Proctor,Missed Jumper,20,14
10:15,East Carolina,Seth LeDay,Defensive Rebound,20,14
10:09,East Carolina,Shawn Williams,Missed Three Point Jumper,20,14
10:09,High Point,Sam Berlin,Defensive Rebound,20,14
9:43,East Carolina,K.J. Davis,Foul,20,14
9:43,East Carolina,None,None,20,14
9:43,High Point,Jahaad Proctor,Free Throw,21,14
9:43,High Point,Jahaad Proctor,Missed Free Throw,21,14
9:43,East Carolina,Tae Hardy,Defensive Rebound,21,14
9:26,East Carolina,Seth LeDay,Layup,21,16
9:13,High Point,Jahaad Proctor,Missed Three Point Jumper,21,16
9:13,East Carolina,Seth LeDay,Defensive Rebound,21,16
9:06,East Carolina,Tae Hardy,Missed Three Point Jumper,21,16
9:06,High Point,Jordan Whitehead,Defensive Rebound,21,16
8:33,High Point,Tim Cameron,Missed Jumper,21,16
8:33,East Carolina,DeShaun Wade,Defensive Rebound,21,16
8:24,East Carolina,DeShaun Wade,Turnover,21,16
8:23,High Point,Jordan Whitehead,Steal,21,16
8:03,High Point,Jamal Wright,Missed Three Point Jumper,21,16
8:03,East Carolina,Seth LeDay,Defensive Rebound,21,16
7:55,East Carolina,Seth LeDay,Turnover,21,16
7:55,East Carolina,None,None,21,16
7:54,East Carolina,None,None,21,16
7:33,High Point,Rob Peterson III,Missed Jumper,21,16
7:33,East Carolina,Jayden Gardner,Defensive Rebound,21,16
7:04,East Carolina,DeShaun Wade,Missed Three Point Jumper,21,16
7:04,High Point,Tim Cameron,Defensive Rebound,21,16
6:34,High Point,Ricky Madison,Layup,23,16
6:17,East Carolina,Shawn Williams,Missed Three Point Jumper,23,16
6:17,High Point,Jordan Whitehead,Defensive Rebound,23,16
5:38,High Point,Jahaad Proctor,Turnover,23,16
5:18,East Carolina,Dimitrije Spasojevic,Jumper,23,18
4:45,High Point,Ricky Madison,Missed Three Point Jumper,23,18
4:45,East Carolina,Shawn Williams,Defensive Rebound,23,18
4:35,East Carolina,K.J. Davis,Missed Three Point Jumper,23,18
4:35,High Point,Ricky Madison,Defensive Rebound,23,18
4:21,High Point,Jahaad Proctor,Missed Three Point Jumper,23,18
4:21,East Carolina,Shawn Williams,Defensive Rebound,23,18
4:08,East Carolina,Shawn Williams,Three Point Jumper,23,21
3:46,High Point,Jordan Whitehead,Missed Jumper,23,21
3:46,East Carolina,Tae Hardy,Defensive Rebound,23,21
3:36,East Carolina,Jayden Gardner,Turnover,23,21
3:36,East Carolina,Jayden Gardner,Foul,23,21
3:35,East Carolina,None,None,23,21
3:22,East Carolina,K.J. Davis,Foul,23,21
3:22,High Point,Brandonn Kamga,Missed Free Throw,23,21
3:22,High Point,None,Team Rebound,23,21
3:22,High Point,Brandonn Kamga,Missed Free Throw,23,21
3:22,High Point,Sam Berlin,Offensive Rebound,23,21
3:20,High Point,None,None,25,21
3:01,East Carolina,Dimitrije Spasojevic,Missed Jumper,25,21
3:01,High Point,Jahaad Proctor,Defensive Rebound,25,21
2:29,High Point,Brandonn Kamga,Missed Jumper,25,21
2:29,East Carolina,East Carolina,Defensive Rebound,25,21
2:01,East Carolina,Dimitrije Spasojevic,Turnover,25,21
1:59,High Point,Brandonn Kamga,Steal,25,21
1:43,East Carolina,Shawn Williams,Foul,25,21
1:43,High Point,Jahaad Proctor,Free Throw,26,21
1:43,High Point,Jahaad Proctor,Free Throw,27,21
1:13,East Carolina,Shawn Williams,Three Point Jumper,27,24
0:48,High Point,Jahaad Proctor,Missed Jumper,27,24
0:48,East Carolina,Jayden Gardner,Block,27,24
0:48,High Point,High Point,Offensive Rebound,27,24
0:48,High Point,None,None,27,24
0:36,High Point,Brandonn Kamga,Missed Jumper,27,24
0:36,East Carolina,Tyler Foster,Block,27,24
0:36,East Carolina,None,Team Rebound,27,24
0:05,East Carolina,East Carolina ,Turnover,27,24
0:02,High Point,Jamal Wright,Missed Jumper,27,24
0:02,East Carolina,East Carolina,Defensive Rebound,27,24
0:00,East Carolina,None,None,27,24
19:36,High Point,Jahaad Proctor,Jumper,29,24
19:05,East Carolina,Seth LeDay,Missed Layup,29,24
19:05,High Point,Ricky Madison,Defensive Rebound,29,24
18:56,High Point,Jordan Whitehead,Jumper,31,24
18:22,East Carolina,Seth LeDay,Turnover,31,24
18:04,High Point,Ricky Madison,Turnover,31,24
17:52,East Carolina,Jayden Gardner,Layup,31,26
17:29,East Carolina,Jayden Gardner,Foul,31,26
17:13,High Point,Ricky Madison,Missed Jumper,31,26
17:13,East Carolina,Seth LeDay,Block,31,26
17:12,East Carolina,East Carolina,Defensive Rebound,31,26
16:44,East Carolina,Jayden Gardner,Missed Layup,31,26
16:44,High Point,Ricky Madison,Defensive Rebound,31,26
16:38,High Point,Jamal Wright,Layup,33,26
16:17,East Carolina,Jayden Gardner,Layup,33,28
15:52,High Point,Jamal Wright,Missed Three Point Jumper,33,28
15:52,East Carolina,Isaac Fleming,Defensive Rebound,33,28
15:28,East Carolina,K.J. Davis,Missed Three Point Jumper,33,28
15:28,High Point,Jamal Wright,Defensive Rebound,33,28
15:25,East Carolina,Jayden Gardner,Foul,33,28
15:25,East Carolina,None,None,33,28
15:04,East Carolina,Isaac Fleming,Foul,33,28
14:48,High Point,Denny Slay,Missed Jumper,33,28
14:48,East Carolina,Isaac Fleming,Defensive Rebound,33,28
14:42,High Point,Denny Slay,Foul,33,28
14:38,East Carolina,K.J. Davis,Missed Three Point Jumper,33,28
14:38,High Point,Sam Berlin,Defensive Rebound,33,28
14:31,High Point,Curtis Holland III,Turnover,33,28
14:30,East Carolina,K.J. Davis,Steal,33,28
14:10,East Carolina,Isaac Fleming,Jumper,33,30
14:10,High Point,Curtis Holland III,Foul,33,30
14:10,East Carolina,Isaac Fleming,Free Throw,33,31
13:55,East Carolina,K.J. Davis,Foul,33,31
13:38,High Point,Jordan Whitehead,Missed Jumper,33,31
13:38,High Point,Sam Berlin,Offensive Rebound,33,31
13:35,High Point,Sam Berlin,Missed Jumper,33,31
13:35,High Point,Jordan Whitehead,Offensive Rebound,33,31
13:32,High Point,Jordan Whitehead,Missed Jumper,33,31
13:32,East Carolina,Tyler Foster,Defensive Rebound,33,31
13:24,East Carolina,Seth LeDay,Missed Layup,33,31
13:24,High Point,Jordan Whitehead,Defensive Rebound,33,31
13:16,East Carolina,Dimitrije Spasojevic,Foul,33,31
13:16,High Point,Jahaad Proctor,Free Throw,34,31
13:16,High Point,Jahaad Proctor,Missed Free Throw,34,31
13:16,High Point,Ricky Madison,Offensive Rebound,34,31
13:02,East Carolina,Seth LeDay,Foul,34,31
13:02,High Point,Jamal Wright,Free Throw,35,31
13:02,High Point,Jamal Wright,Missed Free Throw,35,31
13:02,High Point,None,Team Rebound,35,31
13:02,High Point,Jamal Wright,Free Throw,36,31
12:45,East Carolina,Dimitrije Spasojevic,Missed Jumper,36,31
12:45,High Point,Brandonn Kamga,Block,36,31
12:42,East Carolina,Seth LeDay,Offensive Rebound,36,31
12:38,East Carolina,Seth LeDay,Layup,36,33
12:13,High Point,Jamal Wright,Missed Jumper,36,33
12:13,High Point,Brandonn Kamga,Offensive Rebound,36,33
12:12,East Carolina,Tae Hardy,Foul,36,33
12:12,High Point,Brandonn Kamga,Free Throw,37,33
12:11,High Point,Jamal Wright,Missed Free Throw,37,33
12:10,High Point,Ricky Madison,Offensive Rebound,37,33
12:08,High Point,Jamal Wright,Missed Three Point Jumper,37,33
12:08,East Carolina,Tyler Foster,Defensive Rebound,37,33
11:59,East Carolina,Isaac Fleming,Turnover,37,33
11:58,High Point,Jamal Wright,Steal,37,33
11:56,East Carolina,None,None,38,33
11:56,East Carolina,None,None,37,33
11:55,High Point,Jahaad Proctor,Layup,39,33
11:55,East Carolina,Tyler Foster,Foul,39,33
11:35,High Point,Jahaad Proctor,Free Throw,40,33
11:26,East Carolina,Jayden Gardner,Missed Jumper,40,33
11:26,High Point,Denny Slay,Defensive Rebound,40,33
11:12,High Point,Jahaad Proctor,Missed Jumper,40,33
11:12,High Point,Ricky Madison,Offensive Rebound,40,33
10:56,High Point,Brandonn Kamga,Missed Three Point Jumper,40,33
10:56,High Point,Ricky Madison,Offensive Rebound,40,33
10:46,High Point,Jahaad Proctor,Jumper,42,33
10:46,East Carolina,Isaac Fleming,Foul,42,33
10:46,East Carolina,None,None,42,33
10:46,East Carolina,None,None,42,33
10:46,High Point,Jahaad Proctor,Free Throw,43,33
10:20,East Carolina,K.J. Davis,Missed Jumper,43,33
10:20,East Carolina,Jayden Gardner,Offensive Rebound,43,33
10:17,East Carolina,None,None,43,35
9:45,High Point,Brandonn Kamga,Missed Layup,43,35
