TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:47,Murray State,Shaq Buchanan,Jumper,0,2
19:27,Missouri State,Obediah Church,Layup,2,2
19:08,Murray State,Anthony Smith,Foul,2,2
19:08,Murray State,Anthony Smith,Turnover,2,2
18:55,Missouri State,Szymon Wojcik,Foul,2,2
18:55,Missouri State,Szymon Wojcik,Turnover,2,2
18:51,Murray State,Ja Morant,Turnover,2,2
18:45,Missouri State,Szymon Wojcik,Missed Three Point Jumper,2,2
18:40,Murray State,Brion Sanchious,Defensive Rebound,2,2
18:23,Missouri State,Josh Webster,Foul,2,2
18:23,Murray State,Shaq Buchanan,Free Throw,2,3
18:23,Murray State,Shaq Buchanan,Free Throw,2,4
18:10,Missouri State,Szymon Wojcik,Turnover,2,4
18:04,Missouri State,Jarred Dixon,Foul,2,4
17:54,Murray State,Anthony Smith,Dunk,2,6
17:32,Missouri State,Jarred Dixon,Missed Jumper,2,6
17:29,Murray State,Ja Morant,Defensive Rebound,2,6
17:08,Murray State,Shaq Buchanan,Missed Three Point Jumper,2,6
17:06,Missouri State,Missouri State,Defensive Rebound,2,6
17:06,Murray State,Brion Sanchious,Foul,2,6
16:44,Missouri State,Tulio Da Silva,Missed Jumper,2,6
16:41,Missouri State,Tulio Da Silva,Offensive Rebound,2,6
16:40,Missouri State,Tulio Da Silva,Layup,4,6
16:22,Murray State,Shaq Buchanan,Jumper,4,8
15:53,Missouri State,Ryan Kreklow,Missed Three Point Jumper,4,8
15:47,Murray State,Brion Sanchious,Defensive Rebound,4,8
15:45,Murray State,Ja Morant,Three Point Jumper,4,11
15:22,Missouri State,Obediah Church,Layup,6,11
14:58,Murray State,Shaq Buchanan,Jumper,6,13
14:41,Missouri State,Obediah Church,Missed Three Point Jumper,6,13
14:38,Murray State,Ja Morant,Defensive Rebound,6,13
14:34,Murray State,Ja Morant,Three Point Jumper,6,16
14:18,Missouri State,Obediah Church,Turnover,6,16
14:18,Murray State,None,None,6,16
14:01,Murray State,Tevin Brown,Missed Three Point Jumper,6,16
13:55,Murray State,Brion Sanchious,Offensive Rebound,6,16
13:55,Murray State,Brion Sanchious,Missed Layup,6,16
13:50,Murray State,Anthony Smith,Offensive Rebound,6,16
13:50,Murray State,Anthony Smith,Layup,6,18
13:39,Missouri State,Ryan Kreklow,Turnover,6,18
13:39,Murray State,Tevin Brown,Steal,6,18
13:35,Murray State,Shaq Buchanan,Missed Layup,6,18
13:31,Missouri State,Josh Webster,Defensive Rebound,6,18
13:07,Missouri State,Kabir Mohammed,Missed Jumper,6,18
13:07,Murray State,Brion Sanchious,Block,6,18
13:01,Murray State,Ja Morant,Defensive Rebound,6,18
12:39,Murray State,Shaq Buchanan,Missed Jumper,6,18
12:35,Murray State,Anthony Smith,Offensive Rebound,6,18
12:34,Murray State,Anthony Smith,Layup,6,20
12:25,Murray State,Anthony Smith,Foul,6,20
12:14,Missouri State,Tulio Da Silva,Missed Three Point Jumper,6,20
12:10,Murray State,Tevin Brown,Defensive Rebound,6,20
11:46,Murray State,Shaq Buchanan,Missed Three Point Jumper,6,20
11:42,Missouri State,Obediah Church,Defensive Rebound,6,20
11:31,Missouri State,Keandre Cook,Layup,8,20
11:12,Murray State,Darnell Cowart,Missed Layup,8,20
11:12,Missouri State,Tulio Da Silva,Block,8,20
11:06,Murray State,Ja Morant,Offensive Rebound,8,20
11:04,Murray State,Ja Morant,Missed Three Point Jumper,8,20
11:01,Missouri State,Tulio Da Silva,Defensive Rebound,8,20
10:54,Murray State,Mike Davis,Foul,8,20
10:54,Murray State,None,None,8,20
10:54,Missouri State,Jarred Dixon,Free Throw,9,20
10:54,Missouri State,Jarred Dixon,Free Throw,10,20
10:40,Murray State,Ja Morant,Turnover,10,20
10:21,Missouri State,Obediah Church,Turnover,10,20
10:02,Murray State,Ja Morant,Missed Layup,10,20
9:59,Missouri State,Tulio Da Silva,Defensive Rebound,10,20
9:55,Missouri State,Jarred Dixon,Missed Three Point Jumper,10,20
9:55,Murray State,Darnell Cowart,Defensive Rebound,10,20
9:55,Missouri State,Tulio Da Silva,Foul,10,20
9:52,Missouri State,Tulio Da Silva,Foul,10,20
9:50,Murray State,Tevin Brown,Missed Three Point Jumper,10,20
9:46,Missouri State,Ryan Kreklow,Defensive Rebound,10,20
9:42,Missouri State,Keandre Cook,Turnover,10,20
9:42,Murray State,Brion Whitley,Steal,10,20
9:37,Murray State,Brion Whitley,Dunk,10,22
9:22,Missouri State,Jarred Dixon,Layup,12,22
9:01,Murray State,Mike Davis,Missed Three Point Jumper,12,22
8:56,Missouri State,Tulio Da Silva,Defensive Rebound,12,22
8:50,Missouri State,Jarred Dixon,Turnover,12,22
8:50,Murray State,Tevin Brown,Steal,12,22
8:44,Murray State,Darnell Cowart,Layup,12,24
8:28,Missouri State,Keandre Cook,Missed Layup,12,24
8:25,Murray State,Ja Morant,Defensive Rebound,12,24
8:20,Murray State,Mike Davis,Missed Three Point Jumper,12,24
8:16,Missouri State,Keandre Cook,Defensive Rebound,12,24
8:13,Missouri State,Obediah Church,Dunk,14,24
8:13,Murray State,Brion Whitley,Foul,14,24
8:13,Missouri State,Obediah Church,Missed Free Throw,14,24
8:13,Murray State,Ja Morant,Defensive Rebound,14,24
7:57,Missouri State,Obediah Church,Foul,14,24
7:57,Murray State,None,None,14,24
7:57,Murray State,Mike Davis,Missed Free Throw,14,24
7:57,Murray State,None,Team Rebound,14,24
7:57,Murray State,Mike Davis,Free Throw,14,25
7:42,Missouri State,Kabir Mohammed,Missed Layup,14,25
7:38,Murray State,Mike Davis,Defensive Rebound,14,25
7:18,Murray State,Ja Morant,Layup,14,27
6:54,Missouri State,Kabir Mohammed,Turnover,14,27
6:54,Murray State,Ja Morant,Steal,14,27
6:36,Murray State,Brion Whitley,Missed Three Point Jumper,14,27
6:32,Murray State,Mike Davis,Offensive Rebound,14,27
6:31,Murray State,Mike Davis,Missed Jumper,14,27
6:31,Missouri State,Szymon Wojcik,Block,14,27
6:25,Missouri State,Obediah Church,Defensive Rebound,14,27
6:25,Murray State,Brion Whitley,Foul,14,27
6:25,Missouri State,Kabir Mohammed,Missed Free Throw,14,27
6:25,Missouri State,None,Team Rebound,14,27
6:25,Missouri State,Kabir Mohammed,Free Throw,15,27
6:06,Murray State,Shaq Buchanan,Dunk,15,29
5:50,Missouri State,Jarred Dixon,Turnover,15,29
5:50,Missouri State,None,None,15,29
5:40,Murray State,Tevin Brown,Missed Three Point Jumper,15,29
5:35,Missouri State,Obediah Church,Defensive Rebound,15,29
5:11,Missouri State,Jarred Dixon,Missed Three Point Jumper,15,29
5:08,Murray State,Mike Davis,Defensive Rebound,15,29
4:54,Murray State,Shaq Buchanan,Missed Jumper,15,29
4:51,Missouri State,Obediah Church,Defensive Rebound,15,29
4:49,Missouri State,Josh Webster,Missed Layup,15,29
4:49,Murray State,Ja Morant,Block,15,29
4:49,Missouri State,Josh Webster,Offensive Rebound,15,29
4:45,Murray State,Tevin Brown,Foul,15,29
4:45,Missouri State,Jarred Dixon,Free Throw,16,29
4:45,Missouri State,Jarred Dixon,Free Throw,17,29
4:22,Murray State,Ja Morant,Missed Three Point Jumper,17,29
4:18,Missouri State,Keandre Cook,Defensive Rebound,17,29
4:11,Murray State,Mike Davis,Foul,17,29
4:11,Missouri State,Tulio Da Silva,Missed Free Throw,17,29
4:11,Missouri State,None,Team Rebound,17,29
4:11,Missouri State,Tulio Da Silva,Missed Free Throw,17,29
4:11,Murray State,Brion Sanchious,Defensive Rebound,17,29
3:58,Murray State,Shaq Buchanan,Turnover,17,29
3:58,Murray State,None,None,17,29
3:39,Missouri State,Obediah Church,Offensive Rebound,17,29
3:38,Missouri State,Obediah Church,Missed Jumper,17,29
3:38,Missouri State,Missouri State,Offensive Rebound,17,29
3:23,Murray State,Brion Sanchious,Foul,17,29
3:23,Missouri State,Keandre Cook,Free Throw,18,29
3:23,Missouri State,Keandre Cook,Missed Free Throw,18,29
3:20,Murray State,Ja Morant,Defensive Rebound,18,29
3:06,Murray State,Ja Morant,Turnover,18,29
2:54,Missouri State,Tulio Da Silva,Turnover,18,29
2:41,Murray State,Darnell Cowart,Foul,18,29
2:41,Murray State,Darnell Cowart,Turnover,18,29
2:25,Missouri State,Tulio Da Silva,Dunk,20,29
2:11,Murray State,Ja Morant,Missed Three Point Jumper,20,29
2:08,Missouri State,Josh Webster,Defensive Rebound,20,29
2:07,Murray State,Ja Morant,Foul,20,29
2:07,Missouri State,Josh Webster,Free Throw,21,29
2:07,Missouri State,Josh Webster,Free Throw,22,29
1:53,Murray State,Jaiveon Eaves,Three Point Jumper,22,32
1:35,Missouri State,Keandre Cook,Missed Three Point Jumper,22,32
1:29,Missouri State,Tulio Da Silva,Offensive Rebound,22,32
1:29,Missouri State,Tulio Da Silva,Layup,24,32
1:16,Missouri State,Josh Webster,Foul,24,32
1:16,Murray State,Mike Davis,Free Throw,24,33
1:16,Murray State,Mike Davis,Free Throw,24,34
1:01,Missouri State,Obediah Church,Turnover,24,34
1:01,Murray State,Darnell Cowart,Steal,24,34
0:55,Murray State,Darnell Cowart,Turnover,24,34
0:55,Missouri State,Josh Webster,Steal,24,34
0:42,Missouri State,Keandre Cook,Missed Three Point Jumper,24,34
0:38,Murray State,Ja Morant,Defensive Rebound,24,34
0:35,Missouri State,Jarred Dixon,Foul,24,34
0:35,Murray State,Ja Morant,Free Throw,24,35
0:35,Murray State,Ja Morant,Missed Free Throw,24,35
0:34,Missouri State,Obediah Church,Defensive Rebound,24,35
0:34,Murray State,Mike Davis,Foul,24,35
0:34,Missouri State,Obediah Church,Free Throw,25,35
0:34,Missouri State,Obediah Church,Missed Free Throw,25,35
0:34,Murray State,Ja Morant,Defensive Rebound,25,35
0:04,Murray State,Ja Morant,Missed Jumper,25,35
0:04,Missouri State,Obediah Church,Block,25,35
0:04,Missouri State,Obediah Church,Defensive Rebound,25,35
0:02,Missouri State,Keandre Cook,Turnover,25,35
0:02,Murray State,Jaiveon Eaves,Steal,25,35
0:00,Murray State,None,None,25,35
19:44,Murray State,Anthony Smith,Foul,25,35
19:44,Missouri State,Tulio Da Silva,Free Throw,26,35
19:44,Missouri State,Tulio Da Silva,Missed Free Throw,26,35
19:42,Murray State,Ja Morant,Defensive Rebound,26,35
19:31,Murray State,Shaq Buchanan,Turnover,26,35
19:17,Missouri State,Jarred Dixon,Turnover,26,35
19:03,Murray State,Shaq Buchanan,Turnover,26,35
19:03,Missouri State,Josh Webster,Steal,26,35
18:59,Missouri State,Jarred Dixon,Three Point Jumper,29,35
18:42,Murray State,Ja Morant,Missed Three Point Jumper,29,35
18:37,Missouri State,Ryan Kreklow,Defensive Rebound,29,35
18:32,Missouri State,Jarred Dixon,Missed Three Point Jumper,29,35
18:27,Murray State,Ja Morant,Defensive Rebound,29,35
18:24,Murray State,Shaq Buchanan,Jumper,29,37
18:02,Missouri State,Tulio Da Silva,Foul,29,37
18:02,Missouri State,Tulio Da Silva,Turnover,29,37
17:49,Murray State,Brion Sanchious,Dunk,29,39
17:28,Missouri State,Ryan Kreklow,Turnover,29,39
17:28,Murray State,Shaq Buchanan,Steal,29,39
17:21,Murray State,Ja Morant,Dunk,29,41
16:57,Missouri State,Josh Webster,Missed Three Point Jumper,29,41
16:53,Murray State,Ja Morant,Defensive Rebound,29,41
16:49,Murray State,Tevin Brown,Three Point Jumper,29,44
16:48,Missouri State,None,None,29,44
16:25,Missouri State,Ryan Kreklow,Missed Three Point Jumper,29,44
16:18,Murray State,Shaq Buchanan,Defensive Rebound,29,44
16:06,Murray State,Tevin Brown,Missed Three Point Jumper,29,44
16:01,Missouri State,Josh Webster,Defensive Rebound,29,44
15:59,Missouri State,Jarred Dixon,Missed Three Point Jumper,29,44
15:56,Missouri State,Tulio Da Silva,Offensive Rebound,29,44
15:44,Murray State,Tevin Brown,Foul,29,44
15:44,Murray State,None,None,29,44
15:28,Missouri State,Obediah Church,Layup,31,44
15:15,Murray State,Ja Morant,Turnover,31,44
15:15,Missouri State,Tulio Da Silva,Steal,31,44
15:12,Murray State,Ja Morant,Foul,31,44
15:12,Missouri State,Jarred Dixon,Missed Free Throw,31,44
15:12,Missouri State,None,Team Rebound,31,44
15:12,Missouri State,Jarred Dixon,Missed Free Throw,31,44
15:12,Murray State,Brion Sanchious,Defensive Rebound,31,44
14:53,Murray State,Ja Morant,Layup,31,46
14:35,Missouri State,Tulio Da Silva,Missed Three Point Jumper,31,46
14:32,Murray State,Brion Sanchious,Defensive Rebound,31,46
14:29,Murray State,Tevin Brown,Missed Three Point Jumper,31,46
14:24,Missouri State,Tulio Da Silva,Defensive Rebound,31,46
14:21,Missouri State,Obediah Church,Layup,33,46
14:01,Missouri State,Obediah Church,Foul,33,46
14:01,Murray State,Ja Morant,Free Throw,33,47
14:01,Murray State,Ja Morant,Free Throw,33,48
13:47,Missouri State,Jarred Dixon,Missed Layup,33,48
13:44,Missouri State,Tulio Da Silva,Offensive Rebound,33,48
13:43,Missouri State,Szymon Wojcik,Missed Layup,33,48
13:40,Murray State,Ja Morant,Defensive Rebound,33,48
13:39,Missouri State,Josh Webster,Foul,33,48
13:30,Murray State,Darnell Cowart,Missed Layup,33,48
13:30,Missouri State,Szymon Wojcik,Block,33,48
13:29,Murray State,Darnell Cowart,Offensive Rebound,33,48
13:27,Murray State,None,Team Rebound,33,48
13:27,Missouri State,Kabir Mohammed,Foul,33,48
13:27,Murray State,Darnell Cowart,Missed Free Throw,33,48
13:27,Murray State,Darnell Cowart,Free Throw,33,49
13:17,Missouri State,Josh Webster,Layup,35,49
12:52,Missouri State,Szymon Wojcik,Foul,35,49
12:40,Missouri State,Darian Scott,Foul,35,49
12:40,Murray State,Darnell Cowart,Missed Free Throw,35,49
12:40,Murray State,None,Team Rebound,35,49
12:40,Murray State,Darnell Cowart,Free Throw,35,50
12:20,Missouri State,Jarred Dixon,Missed Jumper,35,50
12:20,Murray State,Tevin Brown,Block,35,50
12:19,Missouri State,Jarred Dixon,Offensive Rebound,35,50
12:17,Murray State,Tevin Brown,Foul,35,50
12:17,Missouri State,Jarred Dixon,Missed Free Throw,35,50
12:17,Missouri State,None,Team Rebound,35,50
12:17,Missouri State,Jarred Dixon,Free Throw,36,50
11:53,Murray State,Ja Morant,Missed Jumper,36,50
11:52,Murray State,Darnell Cowart,Offensive Rebound,36,50
11:50,Murray State,Darnell Cowart,Turnover,36,50
11:50,Murray State,None,None,36,50
11:38,Missouri State,Josh Webster,Turnover,36,50
11:38,Murray State,Mike Davis,Steal,36,50
11:28,Murray State,Shaq Buchanan,Missed Three Point Jumper,36,50
11:24,Missouri State,Obediah Church,Defensive Rebound,36,50
11:24,Murray State,Mike Davis,Foul,36,50
11:12,Missouri State,Jarred Dixon,Missed Layup,36,50
11:12,Murray State,Anthony Smith,Defensive Rebound,36,50
