TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:45,Fairfield,Neftali Alvarez,Layup,0,2
19:38,Denver,Ade Murkey,Layup,2,2
19:16,Fairfield,Jesus Cruz,Turnover,2,2
18:45,Denver,Denver ,Turnover,2,2
18:33,Fairfield,Matija Milin,Layup,2,4
18:15,Denver,Ronnie Harrell Jr.,Missed Jumper,2,4
18:11,Fairfield,Matija Milin,Defensive Rebound,2,4
18:09,Denver,Taelyr Gatlin,Foul,2,4
17:45,Fairfield,Neftali Alvarez,Turnover,2,4
17:45,Denver,Taelyr Gatlin,Steal,2,4
17:29,Denver,Taelyr Gatlin,Turnover,2,4
17:29,Fairfield,Landon Taliaferro,Steal,2,4
17:22,Fairfield,Neftali Alvarez,Missed Layup,2,4
17:17,Denver,Donoven Carlisle,Defensive Rebound,2,4
17:13,Denver,Ronnie Harrell Jr.,Turnover,2,4
17:13,Fairfield,Neftali Alvarez,Steal,2,4
16:58,Denver,Ronnie Harrell Jr.,Foul,2,4
16:58,Fairfield,Landon Taliaferro,Free Throw,2,5
16:58,Fairfield,Landon Taliaferro,Free Throw,2,6
16:58,Fairfield,Landon Taliaferro,Free Throw,2,7
16:47,Denver,Taelyr Gatlin,Turnover,2,7
16:47,Fairfield,Landon Taliaferro,Steal,2,7
16:47,Fairfield,Landon Taliaferro,Three Point Jumper,2,10
16:47,Denver,None,None,2,10
16:27,Denver,Ade Murkey,Layup,4,10
16:09,Fairfield,Neftali Alvarez,Missed Jumper,4,10
16:05,Denver,Ade Murkey,Defensive Rebound,4,10
15:36,Denver,Ronnie Harrell Jr.,Missed Three Point Jumper,4,10
15:31,Fairfield,Matija Milin,Defensive Rebound,4,10
15:29,Fairfield,Landon Taliaferro,Three Point Jumper,4,13
15:15,Denver,Donoven Carlisle,Turnover,4,13
15:15,Fairfield,None,None,4,13
14:53,Fairfield,Jesus Cruz,Missed Three Point Jumper,4,13
14:49,Fairfield,Jonathan Kasibabu,Offensive Rebound,4,13
14:47,Fairfield,Jesus Cruz,Missed Layup,4,13
14:43,Denver,Elvin Rodriguez,Defensive Rebound,4,13
14:42,Fairfield,Neftali Alvarez,Foul,4,13
14:42,Denver,Elvin Rodriguez,Missed Free Throw,4,13
14:42,Denver,None,Team Rebound,4,13
14:42,Denver,Elvin Rodriguez,Missed Free Throw,4,13
14:40,Fairfield,Jonathan Kasibabu,Defensive Rebound,4,13
14:28,Fairfield,Jonathan Kasibabu,Layup,4,15
14:14,Fairfield,Jonathan Kasibabu,Foul,4,15
13:58,Denver,David Nzekwesi,Layup,6,15
13:46,Fairfield,Landon Taliaferro,Missed Three Point Jumper,6,15
13:42,Denver,Alperen Kurnaz,Defensive Rebound,6,15
13:39,Denver,Joseph Lanzi,Missed Layup,6,15
13:33,Denver,Jase Townsend,Offensive Rebound,6,15
13:32,Denver,Jase Townsend,Missed Layup,6,15
13:28,Fairfield,Jonathan Kasibabu,Defensive Rebound,6,15
