TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:35,Fresno State,Braxton Huggins,Three Point Jumper,3,0
19:07,Hawai'i,Zigmars Raimo,Missed Jumper,3,0
19:07,Fresno State,New Williams,Defensive Rebound,3,0
18:54,Fresno State,Braxton Huggins,Missed Three Point Jumper,3,0
18:54,Hawai'i,Zigmars Raimo,Defensive Rebound,3,0
18:30,Hawai'i,Sheriff Drammeh,Missed Three Point Jumper,3,0
18:30,Hawai'i,Drew Buggs,Offensive Rebound,3,0
18:25,Hawai'i,Drew Buggs,Layup,3,2
18:04,Fresno State,Deshon Taylor,Turnover,3,2
17:52,Hawai'i,Jack Purchase,Three Point Jumper,3,5
17:35,Fresno State,Nate Grimes,Missed Jumper,3,5
17:35,Hawai'i,Jack Purchase,Defensive Rebound,3,5
17:04,Hawai'i,Sheriff Drammeh,Missed Three Point Jumper,3,5
17:04,Fresno State,Nate Grimes,Defensive Rebound,3,5
16:43,Fresno State,Deshon Taylor,Three Point Jumper,6,5
16:33,Fresno State,Sam Bittner,Foul,6,5
16:07,Hawai'i,Jack Purchase,Three Point Jumper,6,8
15:59,Fresno State,Braxton Huggins,Foul,6,8
15:59,Hawai'i,None,None,6,8
15:36,Hawai'i,Brocke Stepteau,Missed Jumper,6,8
15:36,Hawai'i,Zigmars Raimo,Offensive Rebound,6,8
15:31,Hawai'i,Zigmars Raimo,Missed Jumper,6,8
15:31,Fresno State,Nate Grimes,Defensive Rebound,6,8
15:31,Hawai'i,Zigmars Raimo,Foul,6,8
15:31,Hawai'i,Zigmars Raimo,Turnover,6,8
15:31,Fresno State,Deshon Taylor,Free Throw,7,8
15:31,Fresno State,Deshon Taylor,Free Throw,8,8
15:17,Fresno State,Sam Bittner,Foul,8,8
15:17,Fresno State,Sam Bittner,Turnover,8,8
14:49,Hawai'i,Sheriff Drammeh,Missed Three Point Jumper,8,8
14:49,Fresno State,Fresno State,Defensive Rebound,8,8
14:18,Fresno State,Aguir Agau,Three Point Jumper,11,8
13:40,Hawai'i,Sheriff Drammeh,Turnover,11,8
13:29,Fresno State,Braxton Huggins,Foul,11,8
13:29,Fresno State,Braxton Huggins,Turnover,11,8
13:00,Hawai'i,Brocke Stepteau,Turnover,11,8
12:59,Fresno State,Aguir Agau,Steal,11,8
12:56,Fresno State,New Williams,Layup,13,8
12:56,Hawai'i,Leland Green,Foul,13,8
12:56,Fresno State,New Williams,Free Throw,14,8
12:37,Hawai'i,Eddie Stansberry,Three Point Jumper,14,11
12:21,Fresno State,Aguir Agau,Jumper,16,11
