TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:32,Richmond,Grant Golden,Missed Jumper,0,0
19:28,Hampton,Kalin Fisher,Defensive Rebound,0,0
19:11,Hampton,Lysander Bracey,Missed Three Point Jumper,0,0
19:04,Hampton,Akim Mitchell,Offensive Rebound,0,0
19:01,Hampton,Akim Mitchell,Layup,2,0
18:38,Richmond,Grant Golden,Jumper,2,2
18:28,Hampton,Trevond Barnes,Layup,4,2
18:10,Richmond,Jake Wojcik,Missed Three Point Jumper,4,2
18:05,Hampton,Trevond Barnes,Defensive Rebound,4,2
17:43,Hampton,Jermaine Marrow,Layup,6,2
17:22,Richmond,Nathan Cayo,Missed Layup,6,2
17:17,Richmond,Nathan Cayo,Offensive Rebound,6,2
17:15,Richmond,Nathan Cayo,Layup,6,4
17:10,Hampton,Lysander Bracey,Layup,8,4
16:44,Richmond,Grant Golden,Missed Jumper,8,4
16:43,Richmond,Nathan Cayo,Offensive Rebound,8,4
16:43,Hampton,Jermaine Marrow,Foul,8,4
16:43,Richmond,Nathan Cayo,Missed Free Throw,8,4
16:43,Richmond,Richmond,Offensive Rebound,8,4
16:43,Richmond,Nathan Cayo,Missed Free Throw,8,4
16:42,Hampton,Austin Colbert,Defensive Rebound,8,4
16:28,Hampton,Jermaine Marrow,Three Point Jumper,11,4
16:16,Richmond,None,None,13,4
16:00,Richmond,Nick Sherod,Turnover,11,4
16:00,Hampton,Kalin Fisher,Steal,11,4
15:56,Richmond,None,None,13,4
15:56,Richmond,None,None,13,4
15:56,Hampton,Kalin Fisher,Layup,13,4
15:56,Richmond,Jake Wojcik,Foul,13,4
15:56,Richmond,None,None,13,4
15:56,Hampton,Kalin Fisher,Free Throw,14,4
15:42,Hampton,Jermaine Marrow,Foul,14,4
15:21,Richmond,Jake Wojcik,Missed Three Point Jumper,14,4
15:18,Hampton,Kalin Fisher,Defensive Rebound,14,4
15:13,Hampton,Kalin Fisher,Turnover,14,4
15:13,Richmond,Jake Wojcik,Steal,14,4
15:10,Hampton,Dondre Griffin,Foul,14,4
14:58,Richmond,Nathan Cayo,Missed Jumper,14,4
14:55,Hampton,Austin Colbert,Defensive Rebound,14,4
14:40,Hampton,Kalin Fisher,Missed Jumper,14,4
14:36,Richmond,Nathan Cayo,Defensive Rebound,14,4
14:28,Richmond,Julius Johnson,Missed Three Point Jumper,14,4
14:23,Hampton,Austin Colbert,Defensive Rebound,14,4
14:09,Hampton,Dondre Griffin,Missed Three Point Jumper,14,4
14:06,Hampton,Austin Colbert,Offensive Rebound,14,4
14:06,Richmond,Nathan Cayo,Foul,14,4
14:06,Hampton,Austin Colbert,Free Throw,15,4
14:06,Hampton,Austin Colbert,Free Throw,16,4
13:35,Richmond,Nick Sherod,Missed Three Point Jumper,16,4
13:32,Hampton,Kalin Fisher,Defensive Rebound,16,4
13:15,Hampton,Dondre Griffin,Jumper,18,4
13:14,Richmond,None,None,18,4
12:52,Richmond,Nick Sherod,Missed Three Point Jumper,18,4
12:48,Richmond,Jake Wojcik,Offensive Rebound,18,4
12:44,Richmond,Noah Yates,Three Point Jumper,18,7
12:30,Hampton,Kalin Fisher,Jumper,20,7
12:03,Richmond,Noah Yates,Missed Three Point Jumper,20,7
12:00,Richmond,Grant Golden,Offensive Rebound,20,7
11:58,Hampton,Dondre Griffin,Foul,20,7
11:58,Richmond,None,None,20,7
11:50,Richmond,Nathan Cayo,Jumper,20,9
11:18,Hampton,Hampton ,Turnover,20,9
11:04,Hampton,Trevond Barnes,Foul,20,9
11:04,Richmond,Nathan Cayo,Missed Free Throw,20,9
11:04,Richmond,Richmond,Offensive Rebound,20,9
11:04,Richmond,Nathan Cayo,Free Throw,20,10
10:50,Hampton,Jermaine Marrow,Layup,22,10
10:29,Richmond,Nathan Cayo,Missed Jumper,22,10
10:26,Hampton,Trey Carver,Defensive Rebound,22,10
10:21,Hampton,Kalin Fisher,Three Point Jumper,25,10
9:57,Hampton,Trevond Barnes,Foul,25,10
9:57,Richmond,Grant Golden,Free Throw,25,11
9:57,Richmond,Grant Golden,Free Throw,25,12
9:42,Hampton,Jermaine Marrow,Three Point Jumper,28,12
9:26,Richmond,Grant Golden,Jumper,28,14
9:11,Hampton,Benjamin Stanley,Missed Layup,28,14
9:11,Richmond,Nathan Cayo,Block,28,14
9:10,Richmond,Nick Sherod,Defensive Rebound,28,14
9:10,Hampton,Benjamin Stanley,Foul,28,14
9:10,Richmond,Nick Sherod,Missed Free Throw,28,14
9:09,Hampton,Kalin Fisher,Defensive Rebound,28,14
9:05,Hampton,Jermaine Marrow,Turnover,28,14
9:05,Richmond,Julius Johnson,Steal,28,14
8:51,Richmond,Nathan Cayo,Layup,28,16
8:31,Hampton,Kalin Fisher,Turnover,28,16
8:31,Richmond,Nathan Cayo,Steal,28,16
8:15,Hampton,Austin Colbert,Foul,28,16
8:15,Richmond,Grant Golden,Free Throw,28,17
8:15,Richmond,Grant Golden,Free Throw,28,18
7:58,Hampton,Akim Mitchell,Missed Three Point Jumper,28,18
7:54,Hampton,Hampton,Offensive Rebound,28,18
7:52,Richmond,None,None,28,18
7:30,Hampton,Kalin Fisher,Missed Three Point Jumper,28,18
7:27,Richmond,Jake Wojcik,Defensive Rebound,28,18
7:21,Richmond,Nick Sherod,Missed Layup,28,18
7:17,Richmond,Nathan Cayo,Offensive Rebound,28,18
7:16,Richmond,Nathan Cayo,Jumper,28,20
7:05,Hampton,Jermaine Marrow,Layup,30,20
6:45,Richmond,Nick Sherod,Missed Three Point Jumper,30,20
6:43,Richmond,Matt Grace,Offensive Rebound,30,20
6:38,Richmond,Grant Golden,Jumper,30,22
6:24,Richmond,Jake Wojcik,Foul,30,22
6:24,Hampton,Jermaine Marrow,Free Throw,31,22
6:24,Hampton,Jermaine Marrow,Free Throw,32,22
6:07,Richmond,Grant Golden,Missed Jumper,32,22
6:04,Hampton,Devon Oakley,Defensive Rebound,32,22
6:02,Hampton,Jermaine Marrow,Missed Three Point Jumper,32,22
6:01,Richmond,Richmond,Defensive Rebound,32,22
5:43,Richmond,Grant Golden,Jumper,32,24
5:29,Hampton,Lysander Bracey,Missed Jumper,32,24
5:26,Richmond,Noah Yates,Defensive Rebound,32,24
5:19,Richmond,Grant Golden,Three Point Jumper,32,27
5:00,Hampton,Jermaine Marrow,Three Point Jumper,35,27
4:39,Richmond,Nick Sherod,Turnover,35,27
4:39,Hampton,Lysander Bracey,Steal,35,27
4:36,Hampton,Lysander Bracey,Missed Layup,35,27
4:36,Richmond,Grant Golden,Defensive Rebound,35,27
4:20,Richmond,Grant Golden,Missed Jumper,35,27
4:17,Richmond,Andre Gustavson,Offensive Rebound,35,27
4:14,Richmond,Jake Wojcik,Missed Three Point Jumper,35,27
4:13,Hampton,Jermaine Marrow,Defensive Rebound,35,27
3:57,Hampton,Akim Mitchell,Turnover,35,27
3:57,Richmond,Andre Gustavson,Steal,35,27
3:53,Richmond,Andre Gustavson,Layup,35,29
3:34,Hampton,Jermaine Marrow,Layup,37,29
3:14,Richmond,Nathan Cayo,Layup,37,31
2:58,Hampton,Jermaine Marrow,Missed Three Point Jumper,37,31
2:55,Richmond,Noah Yates,Defensive Rebound,37,31
2:48,Hampton,Austin Colbert,Foul,37,31
2:48,Richmond,None,None,37,31
2:48,Richmond,Nathan Cayo,Missed Free Throw,37,31
2:48,Hampton,Benjamin Stanley,Defensive Rebound,37,31
