TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:38,Kennesaw State,Ugo Obineke,Foul,0,0
19:38,Georgia,Nicolas Claxton,Free Throw,0,1
19:38,Georgia,Nicolas Claxton,Free Throw,0,2
19:28,Kennesaw State,Kosta Jankovic,Jumper,2,2
19:08,Georgia,Nicolas Claxton,Missed Jumper,2,2
19:08,Kennesaw State,Bryson Lockley,Defensive Rebound,2,2
18:51,Kennesaw State,Ugo Obineke,Missed Jumper,2,2
18:51,Kennesaw State,Ugo Obineke,Offensive Rebound,2,2
18:48,Kennesaw State,None,None,4,2
18:30,Georgia,William Jackson II,Missed Three Point Jumper,4,2
18:30,Georgia,Rayshaun Hammonds,Offensive Rebound,4,2
18:25,Georgia,Rayshaun Hammonds,Missed Jumper,4,2
18:25,Kennesaw State,Tyler Hooker,Defensive Rebound,4,2
18:08,Georgia,Rayshaun Hammonds,Foul,4,2
18:08,Kennesaw State,Ugo Obineke,Missed Free Throw,4,2
18:08,Kennesaw State,None,Team Rebound,4,2
18:08,Kennesaw State,Ugo Obineke,Missed Free Throw,4,2
18:08,Georgia,Nicolas Claxton,Defensive Rebound,4,2
18:02,Georgia,William Jackson II,Missed Three Point Jumper,4,2
18:02,Georgia,Rayshaun Hammonds,Offensive Rebound,4,2
17:59,Georgia,None,None,4,4
17:59,Kennesaw State,Isaac Mbuyamba,Foul,4,4
17:59,Georgia,Rayshaun Hammonds,Free Throw,4,5
17:33,Kennesaw State,Isaac Mbuyamba,Turnover,4,5
17:33,Kennesaw State,Isaac Mbuyamba,Foul,4,5
17:18,Georgia,Nicolas Claxton,Missed Dunk,4,5
17:18,Georgia,Teshaun Hightower,Offensive Rebound,4,5
17:17,Kennesaw State,Tyler Hooker,Foul,4,5
17:17,Georgia,Teshaun Hightower,Missed Free Throw,4,5
17:17,Georgia,None,Team Rebound,4,5
17:17,Georgia,Teshaun Hightower,Missed Free Throw,4,5
17:17,Kennesaw State,Kosta Jankovic,Defensive Rebound,4,5
17:10,Kennesaw State,Antonio Spencer,Missed Layup,4,5
17:10,Georgia,Rayshaun Hammonds,Defensive Rebound,4,5
17:02,Georgia,Derek Ogbeide,Layup,4,7
16:33,Kennesaw State,Tyler Hooker,Missed Jumper,4,7
16:33,Georgia,Teshaun Hightower,Defensive Rebound,4,7
16:22,Georgia,Rayshaun Hammonds,Layup,4,9
16:08,Kennesaw State,Ugo Obineke,Missed Jumper,4,9
16:08,Georgia,Rayshaun Hammonds,Defensive Rebound,4,9
15:58,Georgia,Derek Ogbeide,Missed Jumper,4,9
15:58,Kennesaw State,Antonio Spencer,Defensive Rebound,4,9
15:49,Kennesaw State,Kosta Jankovic,Missed Three Point Jumper,4,9
15:49,Kennesaw State,Bryson Lockley,Offensive Rebound,4,9
15:35,Kennesaw State,Tyler Hooker,Missed Layup,4,9
15:35,Georgia,Nicolas Claxton,Block,4,9
15:35,Kennesaw State,Kennesaw State,Offensive Rebound,4,9
15:35,Georgia,None,None,4,9
15:18,Kennesaw State,Kosta Jankovic,Missed Jumper,4,9
15:18,Georgia,None,Team Rebound,4,9
15:05,Georgia,Derek Ogbeide,Missed Layup,4,9
15:05,Kennesaw State,Kosta Jankovic,Defensive Rebound,4,9
14:55,Kennesaw State,Ugo Obineke,Missed Dunk,4,9
14:55,Georgia,Teshaun Hightower,Block,4,9
14:53,Georgia,Derek Ogbeide,Defensive Rebound,4,9
14:50,Georgia,Jordan Harris,Missed Layup,4,9
14:50,Kennesaw State,Kosta Jankovic,Defensive Rebound,4,9
14:44,Kennesaw State,Tyler Hooker,Missed Layup,4,9
14:44,Kennesaw State,Kosta Jankovic,Offensive Rebound,4,9
14:41,Kennesaw State,None,None,6,9
14:14,Kennesaw State,Ugo Obineke,Foul,6,9
14:09,Georgia,Tyree Crump,Turnover,6,9
14:09,Kennesaw State,Tyler Hooker,Steal,6,9
14:06,Kennesaw State,Kosta Jankovic,Turnover,6,9
13:53,Georgia,Jordan Harris,Turnover,6,9
13:36,Kennesaw State,Kosta Jankovic,Turnover,6,9
13:34,Georgia,Nicolas Claxton,Steal,6,9
13:32,Georgia,Jordan Harris,Layup,6,11
13:20,Kennesaw State,Antonio Spencer,Jumper,8,11
13:12,Georgia,William Jackson II,Turnover,8,11
13:02,Kennesaw State,Bryson Lockley,Jumper,10,11
12:49,Georgia,Tye Fagan,Turnover,10,11
12:32,Kennesaw State,Kosta Jankovic,Missed Three Point Jumper,10,11
12:32,Kennesaw State,Antonio Spencer,Offensive Rebound,10,11
12:23,Kennesaw State,Tyler Hooker,Missed Three Point Jumper,10,11
12:23,Georgia,Nicolas Claxton,Defensive Rebound,10,11
12:14,Georgia,Tyree Crump,Three Point Jumper,10,14
12:01,Kennesaw State,Antonio Spencer,Missed Jumper,10,14
12:01,Georgia,Amanze Ngumezi,Defensive Rebound,10,14
11:55,Georgia,Tyree Crump,Missed Three Point Jumper,10,14
11:55,Georgia,Tye Fagan,Offensive Rebound,10,14
11:42,Georgia,Nicolas Claxton,Missed Layup,10,14
11:42,Kennesaw State,Antonio Spencer,Defensive Rebound,10,14
11:32,Kennesaw State,Bobby Parker,Missed Three Point Jumper,10,14
11:32,Kennesaw State,Antonio Spencer,Offensive Rebound,10,14
11:13,Georgia,Tye Fagan,Foul,10,14
11:13,Georgia,None,None,10,14
11:13,Kennesaw State,Antonio Spencer,Missed Free Throw,10,14
11:13,Kennesaw State,None,Team Rebound,10,14
11:13,Kennesaw State,Antonio Spencer,Free Throw,11,14
10:49,Kennesaw State,Kyle Clarke,Foul,11,14
10:32,Georgia,Tye Fagan,Turnover,11,14
10:30,Kennesaw State,Isaac Mbuyamba,Steal,11,14
10:17,Kennesaw State,Kyle Clarke,Turnover,11,14
10:16,Georgia,Ignas Sargiunas,Steal,11,14
10:15,Georgia,Ignas Sargiunas,Layup,11,16
9:54,Georgia,Tyree Crump,Foul,11,16
9:40,Kennesaw State,Bobby Parker,Missed Three Point Jumper,11,16
9:40,Georgia,Derek Ogbeide,Defensive Rebound,11,16
9:29,Kennesaw State,Isaac Mbuyamba,Foul,11,16
9:29,Georgia,Derek Ogbeide,Missed Free Throw,11,16
9:29,Georgia,Teshaun Hightower,Offensive Rebound,11,16
9:18,Georgia,Derek Ogbeide,Turnover,11,16
9:18,Georgia,Derek Ogbeide,Foul,11,16
9:09,Kennesaw State,Kyle Clarke,Missed Jumper,11,16
9:09,Georgia,Nicolas Claxton,Defensive Rebound,11,16
9:01,Georgia,Nicolas Claxton,Missed Layup,11,16
9:01,Kennesaw State,Antonio Spencer,Defensive Rebound,11,16
8:52,Kennesaw State,Bryson Lockley,Missed Jumper,11,16
8:52,Georgia,Nicolas Claxton,Defensive Rebound,11,16
8:44,Georgia,Teshaun Hightower,Layup,11,18
8:25,Kennesaw State,Bobby Parker,Missed Jumper,11,18
8:25,Georgia,Nicolas Claxton,Defensive Rebound,11,18
8:16,Georgia,William Jackson II,Jumper,11,20
7:55,Kennesaw State,Tyler Hooker,Missed Jumper,11,20
7:55,Georgia,Derek Ogbeide,Defensive Rebound,11,20
7:46,Georgia,Teshaun Hightower,Layup,11,22
7:41,Kennesaw State,None,None,11,22
7:41,Georgia,None,None,11,22
7:31,Kennesaw State,Tyler Hooker,Missed Three Point Jumper,11,22
7:31,Georgia,Rayshaun Hammonds,Defensive Rebound,11,22
7:23,Kennesaw State,C.J. Washington,Foul,11,22
7:23,Georgia,William Jackson II,Free Throw,11,23
7:23,Georgia,William Jackson II,Free Throw,11,24
7:04,Kennesaw State,C.J. Washington,Turnover,11,24
7:03,Georgia,Teshaun Hightower,Steal,11,24
7:01,Georgia,Teshaun Hightower,Missed Layup,11,24
7:01,Kennesaw State,C.J. Washington,Defensive Rebound,11,24
6:51,Kennesaw State,Tyler Hooker,Jumper,13,24
6:34,Georgia,Derek Ogbeide,Missed Layup,13,24
6:34,Kennesaw State,Bryson Lockley,Defensive Rebound,13,24
6:26,Kennesaw State,Tyler Hooker,Jumper,15,24
6:10,Georgia,Rayshaun Hammonds,Turnover,15,24
6:00,Kennesaw State,C.J. Washington,Missed Three Point Jumper,15,24
6:00,Kennesaw State,Bryson Lockley,Offensive Rebound,15,24
5:56,Kennesaw State,Bryson Lockley,Missed Layup,15,24
5:56,Georgia,Jordan Harris,Block,15,24
5:54,Kennesaw State,Bryson Lockley,Offensive Rebound,15,24
5:54,Georgia,Ignas Sargiunas,Foul,15,24
5:54,Kennesaw State,Bryson Lockley,Free Throw,16,24
5:54,Kennesaw State,Bryson Lockley,Free Throw,17,24
5:44,Georgia,Tyree Crump,Turnover,17,24
5:43,Kennesaw State,C.J. Washington,Steal,17,24
5:42,Kennesaw State,C.J. Washington,Turnover,17,24
5:28,Georgia,Tyree Crump,Three Point Jumper,17,27
5:01,Kennesaw State,Bryson Lockley,Turnover,17,27
5:00,Georgia,Rayshaun Hammonds,Steal,17,27
4:56,Georgia,Jordan Harris,Three Point Jumper,17,30
4:35,Kennesaw State,Tyler Hooker,Turnover,17,30
4:35,Georgia,Jordan Harris,Steal,17,30
4:33,Georgia,Jordan Harris,Missed Layup,17,30
4:33,Georgia,Jordan Harris,Offensive Rebound,17,30
4:31,Georgia,None,None,17,32
3:57,Kennesaw State,Kyle Clarke,Missed Jumper,17,32
3:57,Georgia,Rayshaun Hammonds,Defensive Rebound,17,32
3:49,Georgia,Rayshaun Hammonds,Turnover,17,32
3:49,Georgia,None,None,17,32
3:27,Kennesaw State,Kyle Clarke,Missed Jumper,17,32
3:27,Georgia,William Jackson II,Defensive Rebound,17,32
3:22,Georgia,William Jackson II,Turnover,17,32
3:22,Kennesaw State,Bryson Lockley,Steal,17,32
3:20,Kennesaw State,Bryson Lockley,Turnover,17,32
3:20,Georgia,Nicolas Claxton,Steal,17,32
3:04,Georgia,Nicolas Claxton,Layup,17,34
2:36,Kennesaw State,Kosta Jankovic,Missed Jumper,17,34
2:36,Kennesaw State,Bryson Lockley,Offensive Rebound,17,34
2:25,Kennesaw State,Tyler Hooker,Missed Three Point Jumper,17,34
2:25,Georgia,Nicolas Claxton,Defensive Rebound,17,34
2:16,Georgia,Tyree Crump,Three Point Jumper,17,37
