TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:29,Montana State,Montana State ,Turnover,0,0
19:08,North Dakota,Cortez Seales,Missed Jumper,0,0
19:08,Montana State,Devin Kirby,Defensive Rebound,0,0
18:56,Montana State,Keljin Blevins,Missed Jumper,0,0
18:56,Montana State,Keljin Blevins,Offensive Rebound,0,0
18:53,Montana State,Keljin Blevins,Missed Jumper,0,0
18:53,Montana State,Harald Frey,Offensive Rebound,0,0
18:42,Montana State,Ladan Ricketts,Jumper,0,2
18:28,North Dakota,Kienan Walter,Three Point Jumper,3,2
18:07,Montana State,Tyler Hall,Missed Jumper,3,2
18:07,North Dakota,Billy Brown,Defensive Rebound,3,2
17:57,North Dakota,Conner Avants,Foul,3,2
17:57,North Dakota,Conner Avants,Turnover,3,2
17:42,Montana State,Tyler Hall,Missed Jumper,3,2
17:42,North Dakota,Kienan Walter,Defensive Rebound,3,2
17:21,North Dakota,Conner Avants,Missed Layup,3,2
17:21,Montana State,Devin Kirby,Defensive Rebound,3,2
17:12,Montana State,Keljin Blevins,Turnover,3,2
16:59,North Dakota,Davids Atelbauers,Missed Three Point Jumper,3,2
16:59,Montana State,Devin Kirby,Defensive Rebound,3,2
16:50,Montana State,Ladan Ricketts,Three Point Jumper,3,5
16:29,Montana State,Keljin Blevins,Foul,3,5
16:19,North Dakota,Cortez Seales,Missed Jumper,3,5
16:19,Montana State,Sam Neumann,Defensive Rebound,3,5
16:00,Montana State,Usman Haruna,Turnover,3,5
16:00,Montana State,None,None,3,5
15:49,North Dakota,Kienan Walter,Foul,3,5
15:49,North Dakota,Kienan Walter,Turnover,3,5
15:27,Montana State,Usman Haruna,Missed Jumper,3,5
15:27,North Dakota,Kienan Walter,Defensive Rebound,3,5
15:22,North Dakota,Filip Rebraca,Foul,3,5
15:22,North Dakota,Filip Rebraca,Turnover,3,5
14:53,Montana State,Devin Kirby,Missed Layup,3,5
14:53,North Dakota,Kienan Walter,Defensive Rebound,3,5
14:37,Montana State,Sam Neumann,Foul,3,5
14:37,North Dakota,Cortez Seales,Missed Free Throw,3,5
14:37,North Dakota,None,Team Rebound,3,5
14:37,North Dakota,Cortez Seales,Free Throw,4,5
14:21,Montana State,Harald Frey,Jumper,4,7
14:00,North Dakota,Aanen Moody,Turnover,4,7
13:58,Montana State,Ladan Ricketts,Steal,4,7
13:52,Montana State,Ladan Ricketts,Missed Three Point Jumper,4,7
13:52,Montana State,Tyler Hall,Offensive Rebound,4,7
13:45,Montana State,Ladan Ricketts,Three Point Jumper,4,10
13:28,North Dakota,Cortez Seales,Three Point Jumper,7,10
13:06,Montana State,Devin Kirby,Layup,7,12
12:48,North Dakota,Cortez Seales,Missed Jumper,7,12
12:48,North Dakota,Cortez Seales,Offensive Rebound,7,12
12:44,North Dakota,Cortez Seales,Jumper,9,12
12:38,Montana State,Devin Kirby,Turnover,9,12
12:31,North Dakota,Aanen Moody,Turnover,9,12
12:11,Montana State,Keljin Blevins,Layup,9,14
11:58,North Dakota,Aanen Moody,Three Point Jumper,12,14
11:42,Montana State,Tyler Hall,Missed Jumper,12,14
11:42,North Dakota,Conner Avants,Defensive Rebound,12,14
11:26,North Dakota,Aanen Moody,Layup,14,14
11:05,Montana State,Harald Frey,Missed Three Point Jumper,14,14
11:05,North Dakota,North Dakota,Defensive Rebound,14,14
11:04,Montana State,None,None,14,14
11:04,North Dakota,Aanen Moody,Missed Three Point Jumper,14,14
11:04,Montana State,Tyler Hall,Defensive Rebound,14,14
10:22,Montana State,Keljin Blevins,Missed Jumper,14,14
10:22,North Dakota,Conner Avants,Defensive Rebound,14,14
10:02,North Dakota,Davids Atelbauers,Missed Three Point Jumper,14,14
10:02,Montana State,Montana State,Defensive Rebound,14,14
9:59,North Dakota,Marko Coudreau,Foul,14,14
9:46,Montana State,Keljin Blevins,Turnover,14,14
9:43,North Dakota,Cortez Seales,Missed Jumper,14,14
9:43,Montana State,Montana State,Defensive Rebound,14,14
9:02,Montana State,Russell Daniels,Missed Jumper,14,14
9:02,Montana State,Devin Kirby,Offensive Rebound,14,14
8:57,Montana State,Devin Kirby,Jumper,14,16
8:40,North Dakota,Conner Avants,Turnover,14,16
8:39,Montana State,Quentin Guliford,Steal,14,16
8:36,Montana State,Quentin Guliford,Layup,14,18
8:21,North Dakota,Bentiu Panoam,Missed Three Point Jumper,14,18
8:21,Montana State,Keljin Blevins,Defensive Rebound,14,18
8:12,Montana State,Keljin Blevins,Layup,14,20
7:49,North Dakota,Bentiu Panoam,Jumper,16,20
7:49,Montana State,Russell Daniels,Foul,16,20
7:49,Montana State,None,None,16,20
7:49,North Dakota,Bentiu Panoam,Missed Free Throw,16,20
7:49,Montana State,Devin Kirby,Defensive Rebound,16,20
7:33,Montana State,Harald Frey,Turnover,16,20
7:32,North Dakota,Conner Avants,Steal,16,20
7:25,North Dakota,Bentiu Panoam,Jumper,18,20
7:02,Montana State,Devin Kirby,Turnover,18,20
7:00,North Dakota,Billy Brown,Steal,18,20
6:57,North Dakota,Billy Brown,Missed Layup,18,20
6:57,North Dakota,Billy Brown,Offensive Rebound,18,20
6:53,North Dakota,Billy Brown,Layup,20,20
6:47,North Dakota,Bentiu Panoam,Foul,20,20
6:31,Montana State,Keljin Blevins,Layup,20,22
6:10,North Dakota,Cortez Seales,Missed Three Point Jumper,20,22
6:10,North Dakota,Conner Avants,Offensive Rebound,20,22
6:07,North Dakota,Conner Avants,Layup,22,22
5:54,Montana State,Tyler Hall,Missed Layup,22,22
5:54,North Dakota,Cortez Seales,Defensive Rebound,22,22
5:43,North Dakota,Billy Brown,Foul,22,22
5:43,North Dakota,Billy Brown,Turnover,22,22
5:25,Montana State,Devin Kirby,Foul,22,22
5:25,Montana State,Sam Neumann,Missed Three Point Jumper,22,22
5:25,North Dakota,North Dakota,Defensive Rebound,22,22
5:03,North Dakota,Billy Brown,Three Point Jumper,25,22
4:43,Montana State,Tyler Hall,Jumper,25,24
4:20,North Dakota,Davids Atelbauers,Jumper,27,24
3:56,Montana State,None,None,27,24
3:44,Montana State,Sam Neumann,Missed Three Point Jumper,27,24
3:44,Montana State,Devin Kirby,Offensive Rebound,27,24
3:44,Montana State,Devin Kirby,Missed Layup,27,24
3:44,Montana State,Devin Kirby,Offensive Rebound,27,24
3:44,North Dakota,Billy Brown,Foul,27,24
3:44,Montana State,Devin Kirby,Free Throw,27,25
3:44,Montana State,Devin Kirby,Free Throw,27,26
3:27,North Dakota,Davids Atelbauers,Three Point Jumper,30,26
3:06,Montana State,Keljin Blevins,Layup,30,28
3:06,North Dakota,Filip Rebraca,Foul,30,28
3:06,Montana State,Keljin Blevins,Free Throw,30,29
2:55,North Dakota,Aanen Moody,Missed Three Point Jumper,30,29
2:55,Montana State,Tyler Hall,Defensive Rebound,30,29
2:46,Montana State,Keljin Blevins,Layup,30,31
2:37,Montana State,Keljin Blevins,Foul,30,31
2:26,North Dakota,Aanen Moody,Three Point Jumper,33,31
2:03,Montana State,Tyler Hall,Missed Jumper,33,31
2:03,North Dakota,North Dakota,Defensive Rebound,33,31
1:46,North Dakota,Aanen Moody,Three Point Jumper,36,31
1:27,Montana State,Tyler Hall,Missed Layup,36,31
1:27,North Dakota,Kienan Walter,Defensive Rebound,36,31
1:21,North Dakota,Cortez Seales,Turnover,36,31
1:20,Montana State,Tyler Hall,Steal,36,31
1:17,Montana State,Harald Frey,Three Point Jumper,36,34
0:51,North Dakota,Cortez Seales,Missed Three Point Jumper,36,34
0:51,Montana State,Ladan Ricketts,Defensive Rebound,36,34
0:46,Montana State,None,None,36,34
0:36,Montana State,Ladan Ricketts,Missed Three Point Jumper,36,34
0:36,North Dakota,Bentiu Panoam,Defensive Rebound,36,34
0:28,North Dakota,None,None,36,34
0:00,North Dakota,Cortez Seales,Turnover,36,34
0:00,Montana State,None,None,36,34
19:46,North Dakota,Cortez Seales,Missed Three Point Jumper,36,34
19:46,Montana State,Harald Frey,Defensive Rebound,36,34
19:35,Montana State,Devin Kirby,Missed Jumper,36,34
19:35,North Dakota,Conner Avants,Defensive Rebound,36,34
19:18,Montana State,Devin Kirby,Steal,36,34
19:16,North Dakota,Davids Atelbauers,Turnover,36,34
19:06,Montana State,Devin Kirby,Dunk,36,36
18:42,North Dakota,Conner Avants,Turnover,36,36
18:24,Montana State,Devin Kirby,Layup,36,38
18:08,North Dakota,None,None,36,38
17:52,Montana State,Ladan Ricketts,Foul,36,38
17:52,North Dakota,Billy Brown,Free Throw,37,38
17:52,North Dakota,Billy Brown,Free Throw,38,38
17:40,Montana State,Keljin Blevins,Missed Layup,38,38
17:40,North Dakota,Conner Avants,Defensive Rebound,38,38
17:29,North Dakota,Billy Brown,Turnover,38,38
17:27,Montana State,Harald Frey,Steal,38,38
17:21,Montana State,Ladan Ricketts,Foul,38,38
17:21,Montana State,Ladan Ricketts,Turnover,38,38
16:56,North Dakota,Billy Brown,Three Point Jumper,41,38
16:38,Montana State,Tyler Hall,Missed Jumper,41,38
16:38,Montana State,Devin Kirby,Offensive Rebound,41,38
16:37,North Dakota,Conner Avants,Foul,41,38
16:23,Montana State,Keljin Blevins,Missed Jumper,41,38
16:23,North Dakota,Kienan Walter,Block,41,38
16:21,North Dakota,Conner Avants,Defensive Rebound,41,38
16:09,North Dakota,Billy Brown,Three Point Jumper,44,38
15:43,Montana State,Keljin Blevins,Turnover,44,38
15:43,Montana State,None,None,44,38
15:27,North Dakota,Kienan Walter,Missed Three Point Jumper,44,38
15:27,North Dakota,Filip Rebraca,Offensive Rebound,44,38
15:21,North Dakota,Filip Rebraca,Missed Jumper,44,38
15:21,Montana State,Harald Frey,Defensive Rebound,44,38
15:14,Montana State,Ladan Ricketts,Turnover,44,38
14:42,North Dakota,Filip Rebraca,Turnover,44,38
14:21,Montana State,Sam Neumann,Layup,44,40
14:08,North Dakota,Kienan Walter,Jumper,46,40
13:52,Montana State,Tyler Hall,Three Point Jumper,46,43
13:32,Montana State,Tyler Hall,Foul,46,43
13:19,North Dakota,Filip Rebraca,Jumper,48,43
13:01,Montana State,Harald Frey,Layup,48,45
12:48,Montana State,Usman Haruna,Foul,48,45
12:44,North Dakota,Jal Bijiek,Missed Three Point Jumper,48,45
12:44,Montana State,Usman Haruna,Defensive Rebound,48,45
12:34,North Dakota,Filip Rebraca,Foul,48,45
12:18,Montana State,Harald Frey,Missed Three Point Jumper,48,45
