TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:42,Missouri,Kevin Puryear,Missed Jumper,0,0
19:42,Temple,De'Vondre Perry,Defensive Rebound,0,0
19:21,Temple,Quinton Rose,Turnover,0,0
19:20,Missouri,Javon Pickett,Steal,0,0
18:58,Missouri,Kevin Puryear,Jumper,0,2
18:25,Temple,Nate Pierre-Louis,Missed Layup,0,2
18:25,Missouri,Kevin Puryear,Block,0,2
18:25,Temple,Temple,Offensive Rebound,0,2
18:23,Temple,Shizz Alston Jr.,Three Point Jumper,3,2
18:03,Missouri,Jeremiah Tilmon,Jumper,3,4
17:44,Temple,Shizz Alston Jr.,Missed Jumper,3,4
17:44,Missouri,Javon Pickett,Defensive Rebound,3,4
17:37,Missouri,Javon Pickett,Layup,3,6
17:19,Temple,Quinton Rose,Missed Three Point Jumper,3,6
17:19,Temple,Ernest Aflakpui,Offensive Rebound,3,6
17:01,Temple,Ernest Aflakpui,Layup,5,6
16:36,Missouri,Jordan Geist,Missed Layup,5,6
16:36,Missouri,Kevin Puryear,Offensive Rebound,5,6
16:34,Missouri,Kevin Puryear,Jumper,5,8
16:09,Temple,Ernest Aflakpui,Missed Layup,5,8
16:09,Missouri,Mark Smith,Defensive Rebound,5,8
16:03,Missouri,Javon Pickett,Turnover,5,8
15:53,Temple,Quinton Rose,Missed Layup,5,8
15:53,Missouri,Kevin Puryear,Defensive Rebound,5,8
15:46,Temple,Nate Pierre-Louis,Foul,5,8
15:46,Missouri,None,None,5,8
15:46,Missouri,Mitchell Smith,Free Throw,5,9
15:46,Missouri,Mitchell Smith,Missed Free Throw,5,9
15:46,Temple,Ernest Aflakpui,Defensive Rebound,5,9
15:30,Temple,Quinton Rose,Layup,7,9
15:06,Missouri,Mitchell Smith,Missed Three Point Jumper,7,9
15:06,Temple,Ernest Aflakpui,Defensive Rebound,7,9
14:58,Temple,Quinton Rose,Missed Three Point Jumper,7,9
14:58,Temple,Ernest Aflakpui,Offensive Rebound,7,9
14:49,Temple,Shizz Alston Jr.,Missed Three Point Jumper,7,9
14:49,Missouri,Javon Pickett,Defensive Rebound,7,9
14:41,Missouri,Mark Smith,Layup,7,11
14:20,Temple,Quinton Rose,Jumper,9,11
14:10,Missouri,Kevin Puryear,Missed Three Point Jumper,9,11
14:10,Temple,Nate Pierre-Louis,Defensive Rebound,9,11
13:47,Temple,Nate Pierre-Louis,Missed Three Point Jumper,9,11
13:47,Temple,Temple,Offensive Rebound,9,11
13:47,Missouri,Mitchell Smith,Foul,9,11
13:45,Temple,Quinton Rose,Layup,11,11
13:39,Missouri,Xavier Pinson,Turnover,11,11
13:38,Temple,Quinton Rose,Missed Layup,11,11
13:38,Missouri,Jordan Geist,Defensive Rebound,11,11
13:29,Missouri,Mitchell Smith,Three Point Jumper,11,14
13:13,Temple,De'Vondre Perry,Missed Three Point Jumper,11,14
13:13,Missouri,Jordan Geist,Defensive Rebound,11,14
13:06,Temple,De'Vondre Perry,Foul,11,14
13:06,Missouri,Mitchell Smith,Free Throw,11,15
13:06,Missouri,Mitchell Smith,Free Throw,11,16
12:49,Temple,J.P. Moorman II,Three Point Jumper,14,16
12:15,Missouri,Jordan Geist,Missed Jumper,14,16
12:15,Temple,Temple,Defensive Rebound,14,16
11:59,Temple,Damion Moore,Layup,16,16
11:34,Missouri,Mark Smith,Missed Jumper,16,16
11:34,Missouri,Mark Smith,Offensive Rebound,16,16
11:29,Missouri,Mark Smith,Jumper,16,18
11:21,Temple,Shizz Alston Jr.,Jumper,18,18
10:56,Missouri,None,None,18,18
10:49,Missouri,Jordan Geist,Missed Jumper,18,18
10:49,Temple,Damion Moore,Defensive Rebound,18,18
10:40,Temple,Alani Moore II,Missed Three Point Jumper,18,18
10:40,Missouri,Jordan Geist,Defensive Rebound,18,18
10:18,Temple,J.P. Moorman II,Foul,18,18
10:18,Temple,J.P. Moorman II,Foul,18,18
10:16,Missouri,Mark Smith,Jumper,18,20
9:47,Temple,Shizz Alston Jr.,Missed Three Point Jumper,18,20
9:47,Missouri,Mitchell Smith,Defensive Rebound,18,20
9:32,Missouri,Jordan Geist,Turnover,18,20
9:18,Temple,Quinton Rose,Three Point Jumper,21,20
8:43,Missouri,Mark Smith,Three Point Jumper,21,23
8:25,Temple,Nate Pierre-Louis,Missed Three Point Jumper,21,23
8:25,Temple,Ernest Aflakpui,Offensive Rebound,21,23
8:23,Missouri,Jeremiah Tilmon,Foul,21,23
8:20,Temple,Shizz Alston Jr.,Missed Three Point Jumper,21,23
8:20,Missouri,Kevin Puryear,Defensive Rebound,21,23
8:07,Missouri,Xavier Pinson,Turnover,21,23
8:06,Temple,Quinton Rose,Steal,21,23
7:58,Temple,Ernest Aflakpui,Missed Jumper,21,23
7:58,Missouri,Javon Pickett,Defensive Rebound,21,23
7:40,Missouri,Kevin Puryear,Missed Jumper,21,23
7:40,Temple,Ernest Aflakpui,Defensive Rebound,21,23
7:31,Temple,Quinton Rose,Missed Three Point Jumper,21,23
7:31,Temple,Ernest Aflakpui,Offensive Rebound,21,23
7:17,Temple,De'Vondre Perry,Three Point Jumper,24,23
6:54,Missouri,Javon Pickett,Missed Three Point Jumper,24,23
6:54,Temple,Nate Pierre-Louis,Defensive Rebound,24,23
6:48,Temple,Shizz Alston Jr.,Layup,26,23
6:24,Missouri,None,None,26,23
6:15,Missouri,Torrence Watson,Missed Jumper,26,23
6:15,Temple,Ernest Aflakpui,Defensive Rebound,26,23
6:02,Temple,Shizz Alston Jr.,Missed Three Point Jumper,26,23
6:02,Missouri,Kevin Puryear,Defensive Rebound,26,23
5:34,Missouri,Reed Nikko,Missed Layup,26,23
5:34,Temple,De'Vondre Perry,Defensive Rebound,26,23
5:17,Temple,Quinton Rose,Missed Three Point Jumper,26,23
5:17,Missouri,Ronnie Suggs,Defensive Rebound,26,23
5:07,Missouri,Kevin Puryear,Three Point Jumper,26,26
4:43,Temple,Nate Pierre-Louis,Foul,26,26
4:31,Missouri,Jeremiah Tilmon,Turnover,26,26
4:07,Temple,Quinton Rose,Missed Jumper,26,26
4:07,Missouri,Jordan Geist,Defensive Rebound,26,26
3:52,Temple,Ernest Aflakpui,Foul,26,26
3:52,Missouri,None,None,26,26
3:52,Missouri,Jeremiah Tilmon,Free Throw,26,27
3:52,Missouri,Jeremiah Tilmon,Free Throw,26,28
3:23,Temple,Ernest Aflakpui,Missed Layup,26,28
3:23,Temple,Ernest Aflakpui,Offensive Rebound,26,28
3:20,Temple,Ernest Aflakpui,Jumper,28,28
3:07,Missouri,Torrence Watson,Turnover,28,28
3:04,Temple,Quinton Rose,Steal,28,28
3:03,Temple,Quinton Rose,Layup,30,28
2:45,Missouri,Jordan Geist,Turnover,30,28
2:45,Temple,Quinton Rose,Steal,30,28
2:45,Missouri,Jordan Geist,Foul,30,28
2:34,Missouri,Jordan Geist,Foul,30,28
2:20,Temple,De'Vondre Perry,Three Point Jumper,33,28
2:11,Missouri,Kevin Puryear,Turnover,33,28
1:53,Temple,Alani Moore II,Jumper,35,28
1:44,Temple,Alani Moore II,Foul,35,28
1:44,Missouri,Javon Pickett,Free Throw,35,29
1:44,Missouri,Javon Pickett,Missed Free Throw,35,29
1:44,Temple,Quinton Rose,Defensive Rebound,35,29
1:34,Temple,Quinton Rose,Layup,37,29
1:15,Missouri,Torrence Watson,Three Point Jumper,37,32
0:55,Temple,Shizz Alston Jr.,Missed Jumper,37,32
0:55,Missouri,Torrence Watson,Defensive Rebound,37,32
0:46,Missouri,Mark Smith,Turnover,37,32
0:44,Temple,De'Vondre Perry,Steal,37,32
0:43,Temple,De'Vondre Perry,Dunk,39,32
0:18,Missouri,Kevin Puryear,Foul,39,32
0:18,Temple,None,None,39,32
0:04,Temple,Shizz Alston Jr.,Three Point Jumper,42,32
0:00,Missouri,None,None,42,32
19:48,Missouri,Mark Smith,Foul,44,32
19:48,Temple,Quinton Rose,Jumper,44,32
19:48,Temple,Quinton Rose,Missed Free Throw,44,32
19:48,Missouri,Jeremiah Tilmon,Defensive Rebound,44,32
19:32,Missouri,Kevin Puryear,Three Point Jumper,44,35
19:17,Temple,Nate Pierre-Louis,Layup,46,35
18:54,Missouri,Javon Pickett,Three Point Jumper,46,38
18:18,Temple,Nate Pierre-Louis,Three Point Jumper,49,38
18:09,Temple,Ernest Aflakpui,Foul,49,38
18:08,Missouri,Mark Smith,Three Point Jumper,49,41
17:49,Temple,Shizz Alston Jr.,Missed Jumper,49,41
17:49,Missouri,Jeremiah Tilmon,Defensive Rebound,49,41
17:38,Missouri,Jordan Geist,Jumper,49,43
17:19,Temple,Shizz Alston Jr.,Missed Jumper,49,43
17:19,Missouri,Mark Smith,Defensive Rebound,49,43
17:13,Missouri,Jordan Geist,Missed Three Point Jumper,49,43
17:13,Missouri,Jeremiah Tilmon,Offensive Rebound,49,43
17:10,Missouri,Jeremiah Tilmon,Missed Jumper,49,43
17:10,Missouri,Kevin Puryear,Offensive Rebound,49,43
17:07,Missouri,Kevin Puryear,Jumper,49,45
17:01,Temple,None,None,49,45
16:52,Temple,Ernest Aflakpui,Dunk,51,45
16:37,Temple,Ernest Aflakpui,Foul,51,45
16:37,Missouri,Jeremiah Tilmon,Missed Free Throw,51,45
16:37,Missouri,None,Team Rebound,51,45
16:37,Missouri,Jeremiah Tilmon,Free Throw,51,46
16:18,Temple,Damion Moore,Layup,53,46
16:11,Temple,Nate Pierre-Louis,Foul,53,46
15:56,Missouri,None,None,53,46
15:45,Missouri,Mark Smith,Missed Three Point Jumper,53,46
15:45,Missouri,Jordan Geist,Offensive Rebound,53,46
15:40,Missouri,Jordan Geist,Turnover,53,46
15:39,Temple,De'Vondre Perry,Steal,53,46
15:35,Temple,Quinton Rose,Missed Jumper,53,46
15:35,Missouri,Mark Smith,Defensive Rebound,53,46
15:33,Missouri,Mark Smith,Foul,53,46
15:28,Temple,Shizz Alston Jr.,Missed Jumper,53,46
15:28,Missouri,Kevin Puryear,Defensive Rebound,53,46
15:10,Missouri,Javon Pickett,Missed Layup,53,46
15:10,Missouri,Jeremiah Tilmon,Offensive Rebound,53,46
15:08,Missouri,Jeremiah Tilmon,Jumper,53,48
14:56,Temple,Shizz Alston Jr.,Jumper,55,48
14:31,Missouri,Kevin Puryear,Missed Jumper,55,48
14:31,Temple,De'Vondre Perry,Defensive Rebound,55,48
14:29,Missouri,Javon Pickett,Foul,55,48
14:12,Temple,Damion Moore,Turnover,55,48
13:59,Temple,Damion Moore,Foul,55,48
13:59,Missouri,Jeremiah Tilmon,Missed Free Throw,55,48
13:59,Missouri,None,Team Rebound,55,48
13:59,Missouri,Jeremiah Tilmon,Free Throw,55,49
13:33,Temple,Shizz Alston Jr.,Missed Three Point Jumper,55,49
13:33,Missouri,Jeremiah Tilmon,Defensive Rebound,55,49
13:31,Temple,Damion Moore,Foul,55,49
13:14,Missouri,Torrence Watson,Turnover,55,49
13:13,Temple,Quinton Rose,Steal,55,49
13:05,Temple,Quinton Rose,Missed Three Point Jumper,55,49
13:05,Missouri,Mitchell Smith,Defensive Rebound,55,49
12:47,Missouri,Mark Smith,Three Point Jumper,55,52
12:21,Temple,Damion Moore,Layup,57,52
12:15,Missouri,None,None,57,52
11:54,Missouri,Xavier Pinson,Turnover,57,52
11:39,Temple,Alani Moore II,Three Point Jumper,60,52
11:27,Missouri,Mitchell Smith,Turnover,60,52
11:25,Temple,J.P. Moorman II,Steal,60,52
11:24,Temple,J.P. Moorman II,Dunk,62,52
11:20,Missouri,Xavier Pinson,Turnover,62,52
11:19,Temple,Shizz Alston Jr.,Steal,62,52
11:15,Temple,Alani Moore II,Missed Three Point Jumper,62,52
11:15,Temple,Damion Moore,Offensive Rebound,62,52
11:12,Missouri,Mitchell Smith,Foul,62,52
10:54,Temple,Nate Pierre-Louis,Turnover,62,52
10:26,Missouri,Jeremiah Tilmon,Missed Jumper,62,52
10:26,Temple,Damion Moore,Defensive Rebound,62,52
10:03,Temple,Damion Moore,Layup,64,52
9:45,Temple,Damion Moore,Foul,64,52
9:45,Missouri,Mark Smith,Free Throw,64,53
9:45,Missouri,Mark Smith,Free Throw,64,54
9:24,Temple,Damion Moore,Layup,66,54
9:02,Missouri,Kevin Puryear,Missed Three Point Jumper,66,54
9:02,Missouri,Jeremiah Tilmon,Offensive Rebound,66,54
8:59,Temple,Damion Moore,Foul,66,54
8:59,Missouri,Jeremiah Tilmon,Free Throw,66,55
8:59,Missouri,Jeremiah Tilmon,Free Throw,66,56
8:39,Temple,Nate Pierre-Louis,Missed Three Point Jumper,66,56
8:39,Missouri,Jordan Geist,Defensive Rebound,66,56
8:19,Missouri,Kevin Puryear,Jumper,66,58
8:19,Temple,Quinton Rose,Foul,66,58
8:19,Missouri,Kevin Puryear,Missed Free Throw,66,58
8:19,Temple,Ernest Aflakpui,Defensive Rebound,66,58
7:50,Temple,Quinton Rose,Jumper,68,58
7:30,Missouri,Mark Smith,Missed Three Point Jumper,68,58
7:30,Temple,Ernest Aflakpui,Defensive Rebound,68,58
7:21,Temple,Nate Pierre-Louis,Layup,70,58
7:21,Missouri,None,None,70,58
7:09,Missouri,Jordan Geist,Turnover,70,58
6:43,Temple,Ernest Aflakpui,Turnover,70,58
6:42,Missouri,Jordan Geist,Steal,70,58
6:36,Missouri,Javon Pickett,Layup,70,60
6:07,Missouri,Javon Pickett,Foul,70,60
6:07,Temple,Quinton Rose,Free Throw,71,60
6:07,Temple,Quinton Rose,Missed Free Throw,71,60
6:07,Missouri,Mitchell Smith,Defensive Rebound,71,60
5:35,Temple,Ernest Aflakpui,Foul,71,60
5:35,Missouri,Kevin Puryear,Missed Free Throw,71,60
5:35,Temple,De'Vondre Perry,Defensive Rebound,71,60
5:06,Temple,Shizz Alston Jr.,Missed Three Point Jumper,71,60
5:06,Missouri,Mark Smith,Defensive Rebound,71,60
4:51,Missouri,Jordan Geist,Three Point Jumper,71,63
4:27,Temple,Shizz Alston Jr.,Missed Jumper,71,63
4:27,Missouri,Mitchell Smith,Defensive Rebound,71,63
4:06,Temple,De'Vondre Perry,Foul,71,63
4:06,Missouri,Kevin Puryear,Free Throw,71,64
4:06,Missouri,Kevin Puryear,Free Throw,71,65
3:48,Temple,Alani Moore II,Turnover,71,65
3:48,Missouri,None,None,71,65
3:46,Missouri,None,None,71,65
3:22,Missouri,Kevin Puryear,Missed Jumper,71,65
3:22,Missouri,Jeremiah Tilmon,Offensive Rebound,71,65
3:19,Missouri,Jeremiah Tilmon,Missed Jumper,71,65
3:19,Missouri,Jeremiah Tilmon,Offensive Rebound,71,65
3:17,Missouri,Jeremiah Tilmon,Jumper,71,67
3:01,Missouri,Jeremiah Tilmon,Foul,71,67
2:47,Missouri,Jeremiah Tilmon,Foul,71,67
2:47,Temple,Shizz Alston Jr.,Missed Free Throw,71,67
2:47,Missouri,Missouri,Defensive Rebound,71,67
2:26,Missouri,Jeremiah Tilmon,Dunk,71,69
2:04,Temple,De'Vondre Perry,Three Point Jumper,74,69
1:34,Missouri,Jordan Geist,Three Point Jumper,74,72
1:15,Temple,None,None,74,72
1:05,Temple,Ernest Aflakpui,Layup,76,72
0:44,Missouri,Jordan Geist,Missed Jumper,76,72
0:44,Temple,Ernest Aflakpui,Defensive Rebound,76,72
0:41,Temple,None,None,76,72
0:27,Missouri,Jordan Geist,Foul,76,72
0:27,Temple,Shizz Alston Jr.,Free Throw,77,72
0:27,Temple,Shizz Alston Jr.,Missed Free Throw,77,72
0:27,Missouri,Jeremiah Tilmon,Defensive Rebound,77,72
0:15,Missouri,Jordan Geist,Three Point Jumper,77,75
0:11,Missouri,Javon Pickett,Foul,77,75
0:11,Temple,Shizz Alston Jr.,Free Throw,78,75
0:11,Temple,Shizz Alston Jr.,Free Throw,79,75
0:03,Missouri,Jordan Geist,Missed Three Point Jumper,79,75
0:03,Missouri,Jeremiah Tilmon,Offensive Rebound,79,75
0:00,Missouri,Jeremiah Tilmon,Missed Jumper,79,75
0:00,Missouri,Mark Smith,Offensive Rebound,79,75
0:00,Missouri,Mark Smith,Jumper,79,77
0:00,Missouri,None,None,79,77
