TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
20:00,Eastern Kentucky,None,None,0,0
19:46,Eastern Kentucky,Lachlan Anderson,Missed Three Point Jumper,0,0
19:46,Tennessee,Grant Williams,Defensive Rebound,0,0
19:23,Tennessee,Kyle Alexander,Missed Layup,0,0
19:23,Tennessee,Kyle Alexander,Offensive Rebound,0,0
19:14,Tennessee,Kyle Alexander,Missed Layup,0,0
19:14,Tennessee,Kyle Alexander,Offensive Rebound,0,0
19:13,Tennessee,Kyle Alexander,Missed Layup,0,0
19:13,Tennessee,Yves Pons,Offensive Rebound,0,0
19:05,Tennessee,Yves Pons,Three Point Jumper,0,3
18:46,Eastern Kentucky,Nick Mayo,Missed Three Point Jumper,0,3
18:46,Tennessee,Jordan Bone,Defensive Rebound,0,3
18:31,Tennessee,Jordan Bone,Missed Three Point Jumper,0,3
18:31,Eastern Kentucky,Lachlan Anderson,Defensive Rebound,0,3
18:19,Eastern Kentucky,Lachlan Anderson,Jumper,2,3
18:05,Tennessee,Admiral Schofield,Missed Jumper,2,3
18:05,Tennessee,Yves Pons,Offensive Rebound,2,3
17:57,Tennessee,Yves Pons,Turnover,2,3
17:57,Eastern Kentucky,Kelvin Robinson,Steal,2,3
17:45,Eastern Kentucky,Dujuanta Weaver,Turnover,2,3
17:38,Tennessee,Grant Williams,Missed Jumper,2,3
17:38,Eastern Kentucky,Lachlan Anderson,Defensive Rebound,2,3
17:28,Tennessee,Kyle Alexander,Foul,2,3
17:22,Eastern Kentucky,Dujuanta Weaver,Three Point Jumper,5,3
17:07,Tennessee,Jordan Bone,Turnover,5,3
17:02,Eastern Kentucky,Lachlan Anderson,Missed Three Point Jumper,5,3
17:02,Eastern Kentucky,Eastern Kentucky,Offensive Rebound,5,3
17:01,Tennessee,John Fulkerson,Foul,5,3
16:58,Eastern Kentucky,Kelvin Robinson,Turnover,5,3
16:58,Tennessee,Lamonte Turner,Steal,5,3
16:53,Tennessee,Admiral Schofield,Layup,5,5
16:35,Eastern Kentucky,Peyton Broughton,Missed Three Point Jumper,5,5
16:35,Tennessee,Grant Williams,Defensive Rebound,5,5
16:26,Tennessee,None,None,5,5
16:15,Tennessee,Admiral Schofield,Jumper,5,7
16:10,Eastern Kentucky,JacQuess Hobbs,Turnover,5,7
16:00,Tennessee,Grant Williams,Jumper,5,9
15:50,Eastern Kentucky,Lachlan Anderson,Foul,5,9
15:50,Eastern Kentucky,Lachlan Anderson,Turnover,5,9
15:50,Tennessee,None,None,5,9
15:42,Tennessee,Jordan Bowden,Missed Three Point Jumper,5,9
15:42,Eastern Kentucky,JacQuess Hobbs,Defensive Rebound,5,9
15:34,Tennessee,Lamonte Turner,Foul,5,9
15:23,Eastern Kentucky,Nick Mayo,Missed Jumper,5,9
15:23,Tennessee,Admiral Schofield,Defensive Rebound,5,9
15:09,Tennessee,Lamonte Turner,Missed Three Point Jumper,5,9
15:09,Tennessee,John Fulkerson,Offensive Rebound,5,9
14:59,Tennessee,Lamonte Turner,Missed Three Point Jumper,5,9
14:59,Tennessee,Grant Williams,Offensive Rebound,5,9
14:48,Tennessee,Grant Williams,Turnover,5,9
14:48,Eastern Kentucky,JacQuess Hobbs,Steal,5,9
14:28,Eastern Kentucky,Peyton Broughton,Missed Three Point Jumper,5,9
14:28,Tennessee,John Fulkerson,Defensive Rebound,5,9
14:22,Eastern Kentucky,JacQuess Hobbs,Foul,5,9
14:11,Tennessee,Admiral Schofield,Turnover,5,9
14:11,Eastern Kentucky,Jomaru Brown,Steal,5,9
14:05,Tennessee,Admiral Schofield,Foul,5,9
14:05,Eastern Kentucky,Jomaru Brown,Free Throw,6,9
14:05,Eastern Kentucky,Jomaru Brown,Missed Free Throw,6,9
14:05,Tennessee,Lamonte Turner,Defensive Rebound,6,9
13:41,Eastern Kentucky,Jomaru Brown,Foul,6,9
13:41,Tennessee,Jordan Bone,Free Throw,6,10
13:41,Tennessee,Jordan Bone,Free Throw,6,11
13:32,Tennessee,Jordan Bone,Foul,6,11
