TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:46,Georgia Tech,Abdoulaye Gueye,Foul,0,0
19:35,Northwestern,Northwestern ,Turnover,0,0
19:09,Georgia Tech,Abdoulaye Gueye,Turnover,0,0
19:09,Northwestern,Miller Kopp,Steal,0,0
18:43,Northwestern,Ryan Taylor,Jumper,0,2
18:22,Georgia Tech,Curtis Haywood II,Missed Layup,0,2
18:22,Northwestern,Vic Law,Block,0,2
18:14,Georgia Tech,Abdoulaye Gueye,Offensive Rebound,0,2
18:14,Georgia Tech,Abdoulaye Gueye,Layup,2,2
18:04,Georgia Tech,Moses Wright,Foul,2,2
18:00,Northwestern,Miller Kopp,Three Point Jumper,2,5
17:45,Georgia Tech,Moses Wright,Missed Jumper,2,5
17:41,Northwestern,Miller Kopp,Defensive Rebound,2,5
17:35,Northwestern,Vic Law,Missed Layup,2,5
17:33,Northwestern,Dererk Pardon,Offensive Rebound,2,5
17:33,Northwestern,Dererk Pardon,Layup,2,7
17:33,Georgia Tech,Shembari Phillips,Foul,2,7
17:33,Northwestern,Dererk Pardon,Free Throw,2,8
17:18,Georgia Tech,Curtis Haywood II,Three Point Jumper,5,8
17:01,Northwestern,Ryan Taylor,Turnover,5,8
16:34,Georgia Tech,Jose Alvarado,Missed Jumper,5,8
16:30,Northwestern,Vic Law,Defensive Rebound,5,8
16:25,Northwestern,Miller Kopp,Missed Three Point Jumper,5,8
16:22,Northwestern,Dererk Pardon,Offensive Rebound,5,8
16:03,Northwestern,Vic Law,Missed Layup,5,8
16:03,Georgia Tech,Jose Alvarado,Block,5,8
15:58,Georgia Tech,Moses Wright,Defensive Rebound,5,8
15:43,Georgia Tech,Curtis Haywood II,Turnover,5,8
15:43,Northwestern,Miller Kopp,Steal,5,8
15:43,Northwestern,None,None,5,8
15:21,Northwestern,Ryan Taylor,Missed Jumper,5,8
15:20,Georgia Tech,Georgia Tech,Defensive Rebound,5,8
15:20,Northwestern,Dererk Pardon,Foul,5,8
15:06,Northwestern,Miller Kopp,Foul,5,8
15:06,Georgia Tech,Abdoulaye Gueye,Missed Free Throw,5,8
15:06,Georgia Tech,Georgia Tech,Offensive Rebound,5,8
15:06,Georgia Tech,Abdoulaye Gueye,Missed Free Throw,5,8
15:06,Northwestern,Vic Law,Defensive Rebound,5,8
14:36,Northwestern,A.J. Turner,Layup,5,10
14:07,Georgia Tech,Brandon Alston,Missed Jumper,5,10
14:04,Northwestern,Vic Law,Defensive Rebound,5,10
13:51,Northwestern,Vic Law,Jumper,5,12
13:51,Georgia Tech,Curtis Haywood II,Foul,5,12
13:51,Northwestern,Vic Law,Free Throw,5,13
13:38,Georgia Tech,Brandon Alston,Missed Layup,5,13
13:34,Northwestern,Pete Nance,Defensive Rebound,5,13
13:08,Northwestern,A.J. Turner,Missed Jumper,5,13
13:06,Georgia Tech,James Banks III,Defensive Rebound,5,13
12:58,Georgia Tech,Brandon Alston,Foul,5,13
12:58,Georgia Tech,Brandon Alston,Turnover,5,13
12:42,Northwestern,Barret Benson,Layup,5,15
12:24,Georgia Tech,Moses Wright,Missed Dunk,5,15
12:21,Northwestern,Barret Benson,Defensive Rebound,5,15
12:11,Northwestern,Jordan Ash,Missed Three Point Jumper,5,15
12:07,Georgia Tech,James Banks III,Defensive Rebound,5,15
11:50,Georgia Tech,Moses Wright,Missed Layup,5,15
11:50,Northwestern,Pete Nance,Block,5,15
11:45,Georgia Tech,James Banks III,Offensive Rebound,5,15
11:43,Georgia Tech,James Banks III,Jumper,7,15
11:05,Northwestern,A.J. Turner,Turnover,7,15
11:05,Georgia Tech,Moses Wright,Steal,7,15
11:02,Northwestern,A.J. Turner,Foul,7,15
11:02,Northwestern,None,None,7,15
