TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:34,Miami,Dejan Vasiljevic,Missed Jumper,0,0
19:30,Rutgers,Shaquille Doorson,Defensive Rebound,0,0
19:12,Rutgers,Peter Kiss,Missed Three Point Jumper,0,0
19:09,Miami,Ebuka Izundu,Defensive Rebound,0,0
18:44,Miami,Chris Lykes,Turnover,0,0
18:44,Rutgers,Issa Thiam,Steal,0,0
18:26,Rutgers,Geo Baker,Missed Three Point Jumper,0,0
18:21,Rutgers,Shaquille Doorson,Offensive Rebound,0,0
18:19,Rutgers,Eugene Omoruyi,Missed Three Point Jumper,0,0
18:16,Miami,Ebuka Izundu,Defensive Rebound,0,0
18:14,Miami,Zach Johnson,Foul,0,0
18:14,Miami,Zach Johnson,Turnover,0,0
17:52,Rutgers,Eugene Omoruyi,Turnover,0,0
17:36,Miami,Dejan Vasiljevic,Missed Three Point Jumper,0,0
17:32,Miami,Ebuka Izundu,Offensive Rebound,0,0
17:31,Miami,Chris Lykes,Three Point Jumper,0,3
17:10,Rutgers,Eugene Omoruyi,Jumper,2,3
16:49,Miami,Anthony Lawrence II,Three Point Jumper,2,6
16:27,Rutgers,Eugene Omoruyi,Missed Layup,2,6
16:24,Rutgers,Eugene Omoruyi,Offensive Rebound,2,6
16:23,Rutgers,Eugene Omoruyi,Turnover,2,6
16:19,Miami,Ebuka Izundu,Jumper,2,8
16:00,Rutgers,Geo Baker,Jumper,4,8
15:41,Miami,Chris Lykes,Missed Three Point Jumper,4,8
15:37,Rutgers,Eugene Omoruyi,Defensive Rebound,4,8
15:32,Rutgers,Peter Kiss,Missed Three Point Jumper,4,8
15:29,Rutgers,Shaquille Doorson,Offensive Rebound,4,8
15:27,Rutgers,Geo Baker,Missed Three Point Jumper,4,8
15:23,Miami,Chris Lykes,Defensive Rebound,4,8
15:21,Miami,Dejan Vasiljevic,Missed Layup,4,8
15:21,Rutgers,Issa Thiam,Defensive Rebound,4,8
15:21,Rutgers,Peter Kiss,Block,4,8
15:12,Rutgers,Peter Kiss,Turnover,4,8
15:12,Miami,None,None,4,8
14:42,Miami,Sam Waardenburg,Missed Jumper,4,8
14:38,Rutgers,Geo Baker,Defensive Rebound,4,8
14:30,Rutgers,Montez Mathis,Turnover,4,8
14:30,Miami,Chris Lykes,Steal,4,8
14:24,Miami,Dejan Vasiljevic,Three Point Jumper,4,11
14:07,Miami,Chris Lykes,Foul,4,11
13:52,Rutgers,Ron Harper Jr.,Missed Three Point Jumper,4,11
13:49,Miami,Miami,Defensive Rebound,4,11
13:27,Miami,Ebuka Izundu,Missed Layup,4,11
13:25,Miami,Ebuka Izundu,Offensive Rebound,4,11
13:24,Miami,Ebuka Izundu,Layup,4,13
13:05,Rutgers,Eugene Omoruyi,Missed Layup,4,13
13:02,Miami,Ebuka Izundu,Defensive Rebound,4,13
12:48,Miami,Sam Waardenburg,Missed Three Point Jumper,4,13
12:44,Rutgers,Geo Baker,Defensive Rebound,4,13
12:36,Rutgers,Geo Baker,Jumper,6,13
12:15,Rutgers,Ron Harper Jr.,Foul,6,13
12:07,Miami,Dejan Vasiljevic,Foul,6,13
12:07,Miami,Dejan Vasiljevic,Turnover,6,13
11:48,Rutgers,Ron Harper Jr.,Missed Jumper,6,13
11:40,Miami,Anthony Lawrence II,Defensive Rebound,6,13
11:39,Miami,Deng Gak,Missed Layup,6,13
11:39,Rutgers,Issa Thiam,Block,6,13
11:32,Rutgers,Geo Baker,Defensive Rebound,6,13
11:31,Rutgers,Geo Baker,Missed Layup,6,13
11:24,Rutgers,Ron Harper Jr.,Offensive Rebound,6,13
11:16,Rutgers,Ron Harper Jr.,Dunk,8,13
11:10,Miami,Zach Johnson,Missed Three Point Jumper,8,13
11:08,Rutgers,Myles Johnson,Defensive Rebound,8,13
11:02,Rutgers,Geo Baker,Missed Jumper,8,13
10:58,Miami,Anthony Lawrence II,Defensive Rebound,8,13
10:53,Miami,Dejan Vasiljevic,Missed Three Point Jumper,8,13
10:50,Rutgers,Geo Baker,Defensive Rebound,8,13
10:30,Rutgers,Montez Mathis,Jumper,10,13
10:03,Miami,Anthony Lawrence II,Missed Three Point Jumper,10,13
9:59,Rutgers,Issa Thiam,Defensive Rebound,10,13
9:57,Rutgers,Issa Thiam,Three Point Jumper,13,13
9:34,Rutgers,Montez Mathis,Foul,13,13
9:34,Miami,None,None,13,13
9:19,Miami,Dejan Vasiljevic,Missed Three Point Jumper,13,13
9:16,Miami,Sam Waardenburg,Offensive Rebound,13,13
9:14,Miami,Sam Waardenburg,Missed Jumper,13,13
9:10,Rutgers,Issa Thiam,Defensive Rebound,13,13
8:52,Rutgers,Peter Kiss,Jumper,15,13
8:32,Miami,Sam Waardenburg,Jumper,15,15
8:20,Rutgers,Eugene Omoruyi,Missed Three Point Jumper,15,15
8:17,Miami,Ebuka Izundu,Defensive Rebound,15,15
8:05,Miami,Sam Waardenburg,Missed Three Point Jumper,15,15
7:59,Miami,Ebuka Izundu,Offensive Rebound,15,15
7:59,Miami,Ebuka Izundu,Layup,15,17
7:45,Rutgers,Issa Thiam,Missed Three Point Jumper,15,17
7:41,Miami,Zach Johnson,Defensive Rebound,15,17
7:26,Miami,None,None,15,17
7:14,Miami,Chris Lykes,Turnover,15,17
7:08,Rutgers,Issa Thiam,Foul,15,17
7:08,Rutgers,Issa Thiam,Turnover,15,17
6:55,Miami,Dejan Vasiljevic,Turnover,15,17
6:30,Rutgers,Geo Baker,Missed Jumper,15,17
6:21,Rutgers,Shaquille Doorson,Offensive Rebound,15,17
6:21,Rutgers,Eugene Omoruyi,Layup,17,17
6:06,Miami,Dejan Vasiljevic,Missed Three Point Jumper,17,17
6:03,Rutgers,Peter Kiss,Defensive Rebound,17,17
6:00,Rutgers,Issa Thiam,Missed Layup,17,17
6:00,Miami,Zach Johnson,Block,17,17
5:55,Miami,Chris Lykes,Defensive Rebound,17,17
5:43,Miami,Chris Lykes,Turnover,17,17
5:43,Rutgers,Issa Thiam,Steal,17,17
5:38,Rutgers,Ron Harper Jr.,Layup,19,17
5:21,Rutgers,Myles Johnson,Foul,19,17
5:21,Miami,Ebuka Izundu,Free Throw,19,18
5:21,Miami,Ebuka Izundu,Free Throw,19,19
4:57,Rutgers,Geo Baker,Jumper,21,19
4:41,Miami,Zach Johnson,Missed Layup,21,19
4:38,Rutgers,Ron Harper Jr.,Defensive Rebound,21,19
4:31,Rutgers,Geo Baker,Missed Jumper,21,19
4:28,Miami,Anthony Lawrence II,Defensive Rebound,21,19
4:22,Miami,Zach Johnson,Missed Three Point Jumper,21,19
4:19,Rutgers,Myles Johnson,Defensive Rebound,21,19
4:08,Rutgers,Eugene Omoruyi,Dunk,23,19
3:44,Miami,Ebuka Izundu,Foul,23,19
3:44,Miami,Ebuka Izundu,Turnover,23,19
3:44,Miami,None,None,23,19
3:34,Rutgers,Geo Baker,Turnover,23,19
3:14,Miami,Anthony Lawrence II,Three Point Jumper,23,22
2:52,Rutgers,Myles Johnson,Missed Layup,23,22
2:52,Miami,Anthony Lawrence II,Block,23,22
2:48,Miami,Ebuka Izundu,Defensive Rebound,23,22
2:36,Miami,Chris Lykes,Missed Three Point Jumper,23,22
2:36,Rutgers,Geo Baker,Block,23,22
2:31,Rutgers,Geo Baker,Defensive Rebound,23,22
2:29,Rutgers,Peter Kiss,Three Point Jumper,26,22
2:05,Miami,Zach Johnson,Missed Jumper,26,22
2:01,Miami,Ebuka Izundu,Offensive Rebound,26,22
1:59,Miami,Chris Lykes,Turnover,26,22
1:59,Rutgers,Peter Kiss,Steal,26,22
1:49,Rutgers,Geo Baker,Turnover,26,22
1:49,Miami,Zach Johnson,Steal,26,22
1:44,Miami,Chris Lykes,Turnover,26,22
1:44,Rutgers,Myles Johnson,Steal,26,22
1:40,Rutgers,Peter Kiss,Layup,28,22
1:37,Miami,None,None,28,22
1:14,Miami,Zach Johnson,Layup,28,24
0:54,Rutgers,Montez Mathis,Missed Three Point Jumper,28,24
0:50,Miami,Sam Waardenburg,Defensive Rebound,28,24
0:48,Miami,Sam Waardenburg,Turnover,28,24
0:48,Rutgers,Montez Mathis,Steal,28,24
0:43,Rutgers,None,None,28,24
0:25,Rutgers,Eugene Omoruyi,Turnover,28,24
0:05,Rutgers,Geo Baker,Foul,28,24
0:00,Miami,Sam Waardenburg,Missed Layup,28,24
0:00,Miami,Miami,Offensive Rebound,28,24
0:00,Miami,None,None,28,24
19:40,Rutgers,Geo Baker,Turnover,28,24
19:40,Miami,Anthony Lawrence II,Steal,28,24
19:19,Miami,Ebuka Izundu,Missed Layup,28,24
19:16,Rutgers,Shaquille Doorson,Defensive Rebound,28,24
19:10,Rutgers,Geo Baker,Layup,30,24
18:56,Rutgers,Geo Baker,Foul,30,24
18:49,Rutgers,Eugene Omoruyi,Foul,30,24
18:33,Miami,Sam Waardenburg,Turnover,30,24
18:33,Rutgers,Peter Kiss,Steal,30,24
18:19,Rutgers,Geo Baker,Missed Jumper,30,24
18:19,Miami,Zach Johnson,Block,30,24
18:13,Miami,Ebuka Izundu,Defensive Rebound,30,24
17:52,Miami,Sam Waardenburg,Missed Three Point Jumper,30,24
17:49,Rutgers,Issa Thiam,Defensive Rebound,30,24
17:33,Rutgers,Eugene Omoruyi,Jumper,32,24
17:06,Miami,Anthony Lawrence II,Missed Layup,32,24
17:06,Rutgers,Issa Thiam,Block,32,24
17:02,Miami,Anthony Lawrence II,Offensive Rebound,32,24
17:02,Miami,Zach Johnson,Missed Three Point Jumper,32,24
16:59,Miami,Dejan Vasiljevic,Offensive Rebound,32,24
16:47,Miami,Ebuka Izundu,Turnover,32,24
16:47,Rutgers,Peter Kiss,Steal,32,24
16:28,Rutgers,Eugene Omoruyi,Missed Dunk,32,24
16:28,Miami,Ebuka Izundu,Block,32,24
16:24,Miami,Sam Waardenburg,Defensive Rebound,32,24
16:22,Miami,Zach Johnson,Turnover,32,24
16:22,Rutgers,Eugene Omoruyi,Steal,32,24
16:17,Rutgers,Peter Kiss,Missed Three Point Jumper,32,24
16:14,Miami,Ebuka Izundu,Defensive Rebound,32,24
16:00,Miami,Zach Johnson,Jumper,32,26
16:00,Rutgers,Montez Mathis,Foul,32,26
16:00,Miami,None,None,32,26
16:00,Miami,Zach Johnson,Missed Free Throw,32,26
15:57,Rutgers,Eugene Omoruyi,Defensive Rebound,32,26
15:36,Rutgers,Myles Johnson,Turnover,32,26
15:23,Miami,Ebuka Izundu,Jumper,32,28
15:11,Rutgers,Montez Mathis,Missed Layup,32,28
15:07,Miami,Zach Johnson,Defensive Rebound,32,28
15:05,Miami,Chris Lykes,Missed Three Point Jumper,32,28
15:01,Miami,Dejan Vasiljevic,Offensive Rebound,32,28
14:49,Miami,Anthony Lawrence II,Layup,32,30
14:39,Miami,Chris Lykes,Foul,32,30
14:33,Rutgers,Ron Harper Jr.,Missed Three Point Jumper,32,30
14:31,Rutgers,Mamadou Doucoure,Offensive Rebound,32,30
14:31,Miami,Ebuka Izundu,Foul,32,30
14:24,Rutgers,Eugene Omoruyi,Foul,32,30
14:24,Rutgers,Eugene Omoruyi,Turnover,32,30
14:12,Miami,Ebuka Izundu,Jumper,32,32
13:56,Rutgers,Mamadou Doucoure,Missed Jumper,32,32
13:53,Miami,Miami,Defensive Rebound,32,32
13:45,Miami,Anthony Lawrence II,Missed Three Point Jumper,32,32
13:41,Rutgers,Shaquille Doorson,Defensive Rebound,32,32
13:31,Rutgers,Eugene Omoruyi,Missed Jumper,32,32
13:31,Miami,Anthony Lawrence II,Block,32,32
13:22,Miami,Dejan Vasiljevic,Defensive Rebound,32,32
13:19,Miami,Ebuka Izundu,Missed Three Point Jumper,32,32
13:15,Rutgers,Eugene Omoruyi,Defensive Rebound,32,32
13:09,Rutgers,Issa Thiam,Missed Three Point Jumper,32,32
13:05,Rutgers,Ron Harper Jr.,Offensive Rebound,32,32
13:04,Rutgers,Issa Thiam,Layup,34,32
12:57,Rutgers,Ron Harper Jr.,Foul,34,32
12:51,Miami,Anthony Lawrence II,Three Point Jumper,34,35
12:38,Rutgers,Geo Baker,Turnover,34,35
12:38,Miami,Zach Johnson,Steal,34,35
12:33,Miami,Zach Johnson,Layup,34,37
12:32,Rutgers,None,None,34,37
12:32,Miami,None,None,34,37
12:10,Rutgers,Ron Harper Jr.,Missed Three Point Jumper,34,37
12:07,Miami,Deng Gak,Defensive Rebound,34,37
