TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:39,Austin Peay,Terry Taylor,Turnover,0,0
19:21,Troy,Alex Hicks,Turnover,0,0
19:20,Austin Peay,Chris Porter-Bunton,Steal,0,0
19:15,Austin Peay,Terry Taylor,Missed Layup,0,0
19:15,Troy,Alex Hicks,Defensive Rebound,0,0
19:08,Troy,Jordon Varnado,Missed Three Point Jumper,0,0
19:08,Austin Peay,Chris Porter-Bunton,Defensive Rebound,0,0
18:55,Austin Peay,Zach Glotta,Missed Three Point Jumper,0,0
18:55,Troy,Darian Adams,Defensive Rebound,0,0
18:38,Troy,Javan Johnson,Missed Three Point Jumper,0,0
18:38,Austin Peay,Chris Porter-Bunton,Defensive Rebound,0,0
18:35,Troy,Jordon Varnado,Foul,0,0
18:18,Austin Peay,Steve Harris,Layup,2,0
18:01,Troy,Javan Johnson,Missed Jumper,2,0
18:01,Troy,Jordon Varnado,Offensive Rebound,2,0
17:56,Troy,Jordon Varnado,Layup,2,2
17:42,Austin Peay,Jarrett Givens,Missed Layup,2,2
17:42,Austin Peay,Austin Peay,Offensive Rebound,2,2
17:32,Austin Peay,Steve Harris,Jumper,4,2
17:14,Troy,Jordon Varnado,Three Point Jumper,4,5
16:57,Austin Peay,Zach Glotta,Three Point Jumper,7,5
16:39,Troy,Alex Hicks,Missed Jumper,7,5
16:39,Austin Peay,Jarrett Givens,Defensive Rebound,7,5
16:21,Austin Peay,Terry Taylor,Missed Jumper,7,5
16:21,Troy,Darian Adams,Defensive Rebound,7,5
16:11,Austin Peay,Zach Glotta,Foul,7,5
16:11,Troy,Darian Adams,Free Throw,7,6
16:11,Troy,Darian Adams,Free Throw,7,7
16:03,Austin Peay,Steve Harris,Layup,9,7
15:44,Troy,None,None,9,7
15:42,Troy,Darian Adams,Turnover,9,7
15:27,Austin Peay,Zach Glotta,Turnover,9,7
15:25,Troy,Jordon Varnado,Steal,9,7
15:17,Troy,Jordon Varnado,Missed Three Point Jumper,9,7
15:17,Troy,Darian Adams,Offensive Rebound,9,7
15:08,Troy,Darian Adams,Missed Layup,9,7
15:08,Austin Peay,Ivan Cucak,Defensive Rebound,9,7
14:54,Austin Peay,Terry Taylor,Missed Three Point Jumper,9,7
14:54,Austin Peay,Jarrett Givens,Offensive Rebound,9,7
14:50,Austin Peay,Zach Glotta,Three Point Jumper,12,7
14:22,Troy,Darian Adams,Missed Three Point Jumper,12,7
14:22,Troy,Alex Hicks,Offensive Rebound,12,7
14:12,Troy,Javan Johnson,Layup,12,9
13:57,Austin Peay,Ivan Cucak,Turnover,12,9
13:57,Troy,Darian Adams,Steal,12,9
13:41,Troy,Javan Johnson,Layup,12,11
13:33,Troy,B.J. Miller,Foul,12,11
13:23,Austin Peay,Chris Porter-Bunton,Turnover,12,11
13:22,Troy,B.J. Miller,Steal,12,11
13:20,Troy,B.J. Miller,Layup,12,13
13:04,Austin Peay,Richard Henderson,Missed Jumper,12,13
13:04,Troy,Jordon Varnado,Defensive Rebound,12,13
12:58,Troy,Javan Johnson,Three Point Jumper,12,16
12:55,Austin Peay,None,None,12,16
12:34,Austin Peay,Steve Harris,Jumper,14,16
12:26,Troy,KJ Simon,Missed Layup,14,16
12:26,Austin Peay,Terry Taylor,Block,14,16
12:22,Austin Peay,Chris Porter-Bunton,Defensive Rebound,14,16
12:18,Austin Peay,Steve Harris,Missed Layup,14,16
12:18,Austin Peay,Jabari McGhee,Offensive Rebound,14,16
12:10,Troy,Jordon Varnado,Foul,14,16
12:10,Austin Peay,Jabari McGhee,Free Throw,15,16
12:10,Austin Peay,Jabari McGhee,Missed Free Throw,15,16
12:10,Troy,Troy,Defensive Rebound,15,16
11:57,Troy,Javan Johnson,Missed Three Point Jumper,15,16
11:57,Troy,Zay Williams,Offensive Rebound,15,16
11:52,Troy,Zay Williams,Layup,15,18
11:46,Austin Peay,Terry Taylor,Missed Three Point Jumper,15,18
11:46,Austin Peay,Austin Peay,Offensive Rebound,15,18
11:41,Troy,None,None,15,18
11:39,Austin Peay,Zach Glotta,Turnover,15,18
11:17,Troy,Charles Norman,Missed Jumper,15,18
11:17,Austin Peay,Chris Porter-Bunton,Defensive Rebound,15,18
11:09,Austin Peay,Chris Porter-Bunton,Turnover,15,18
10:50,Troy,Zay Williams,Missed Layup,15,18
10:50,Austin Peay,Jabari McGhee,Block,15,18
10:49,Troy,Troy,Offensive Rebound,15,18
10:45,Troy,Javan Johnson,Missed Jumper,15,18
10:45,Troy,Charles Norman,Offensive Rebound,15,18
10:26,Austin Peay,Terry Taylor,Foul,15,18
10:18,Troy,KJ Simon,Turnover,15,18
10:00,Austin Peay,Steve Harris,Missed Layup,15,18
10:00,Troy,Alex Hicks,Defensive Rebound,15,18
9:42,Troy,Alex Hicks,Missed Three Point Jumper,15,18
9:42,Austin Peay,Jarrett Givens,Defensive Rebound,15,18
9:31,Austin Peay,Chris Porter-Bunton,Missed Layup,15,18
9:31,Troy,Devante Foster,Block,15,18
9:30,Austin Peay,Austin Peay,Offensive Rebound,15,18
9:29,Austin Peay,Jarrett Givens,Turnover,15,18
9:22,Troy,Alex Hicks,Steal,15,18
9:15,Troy,B.J. Miller,Missed Layup,15,18
9:15,Austin Peay,Chris Porter-Bunton,Defensive Rebound,15,18
8:55,Austin Peay,Chris Porter-Bunton,Missed Layup,15,18
8:55,Troy,Charles Norman,Defensive Rebound,15,18
8:47,Troy,Alex Hicks,Missed Dunk,15,18
8:47,Austin Peay,Dayton Gumm,Defensive Rebound,15,18
8:36,Austin Peay,Chris Porter-Bunton,Missed Three Point Jumper,15,18
8:36,Troy,Devante Foster,Defensive Rebound,15,18
8:23,Troy,Alex Hicks,Turnover,15,18
8:22,Austin Peay,Zach Glotta,Steal,15,18
8:11,Austin Peay,Jarrett Givens,Missed Three Point Jumper,15,18
8:11,Austin Peay,Terry Taylor,Offensive Rebound,15,18
8:06,Austin Peay,Dayton Gumm,Missed Three Point Jumper,15,18
8:06,Troy,B.J. Miller,Defensive Rebound,15,18
7:57,Troy,Charles Norman,Missed Three Point Jumper,15,18
7:57,Austin Peay,Jarrett Givens,Defensive Rebound,15,18
7:32,Austin Peay,Jarrett Givens,Three Point Jumper,18,18
7:08,Troy,Charles Norman,Missed Three Point Jumper,18,18
7:08,Troy,Devante Foster,Offensive Rebound,18,18
7:05,Austin Peay,Terry Taylor,Foul,18,18
7:05,Troy,None,None,18,18
6:52,Troy,Darian Adams,Missed Three Point Jumper,18,18
6:52,Troy,Alex Hicks,Offensive Rebound,18,18
6:48,Troy,Alex Hicks,Dunk,18,20
6:34,Austin Peay,Zach Glotta,Missed Three Point Jumper,18,20
6:34,Troy,Alex Hicks,Defensive Rebound,18,20
6:22,Austin Peay,Ivan Cucak,Foul,18,20
6:22,Troy,Darian Adams,Free Throw,18,21
6:22,Troy,Darian Adams,Free Throw,18,22
6:03,Austin Peay,Chris Porter-Bunton,Three Point Jumper,21,22
5:40,Troy,Spencer Rodgers,Three Point Jumper,21,25
5:20,Troy,Atakan Sahinkaya,Foul,21,25
5:13,Austin Peay,Ivan Cucak,Missed Layup,21,25
5:13,Troy,Atakan Sahinkaya,Block,21,25
5:10,Austin Peay,Jabari McGhee,Offensive Rebound,21,25
5:08,Troy,Atakan Sahinkaya,Foul,21,25
5:08,Austin Peay,Jabari McGhee,Free Throw,22,25
5:08,Austin Peay,Jabari McGhee,Missed Free Throw,22,25
5:08,Troy,Alex Hicks,Defensive Rebound,22,25
4:52,Troy,Alex Hicks,Missed Jumper,22,25
4:52,Austin Peay,Chris Porter-Bunton,Defensive Rebound,22,25
4:40,Austin Peay,Chris Porter-Bunton,Missed Three Point Jumper,22,25
4:40,Troy,Zay Williams,Defensive Rebound,22,25
