TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:50,Samford,Ruben Guerrero,Layup,0,2
19:34,Belmont,Kevin McClain,Turnover,0,2
19:31,Samford,Myron Gordon,Steal,0,2
19:31,Samford,Josh Sharkey,Layup,0,4
19:31,Belmont,Caleb Hollander,Foul,0,4
19:31,Samford,Josh Sharkey,Missed Free Throw,0,4
19:31,Belmont,Grayson Murphy,Defensive Rebound,0,4
19:17,Belmont,Caleb Hollander,Missed Three Point Jumper,0,4
19:17,Samford,Myron Gordon,Defensive Rebound,0,4
19:04,Samford,Ruben Guerrero,Turnover,0,4
19:03,Belmont,Caleb Hollander,Steal,0,4
18:58,Belmont,Kevin McClain,Three Point Jumper,3,4
18:39,Samford,Myron Gordon,Jumper,3,6
18:16,Belmont,Grayson Murphy,Missed Layup,3,6
18:16,Samford,Brandon Austin,Defensive Rebound,3,6
18:10,Samford,Josh Sharkey,Missed Jumper,3,6
18:10,Belmont,Dylan Windler,Block,3,6
18:07,Samford,Myron Gordon,Offensive Rebound,3,6
18:04,Samford,Brandon Austin,Missed Jumper,3,6
18:04,Belmont,Dylan Windler,Defensive Rebound,3,6
18:02,Samford,Brandon Austin,Foul,3,6
18:02,Belmont,Dylan Windler,Free Throw,4,6
18:02,Belmont,Dylan Windler,Free Throw,5,6
17:46,Samford,Myron Gordon,Missed Jumper,5,6
17:46,Belmont,Nick Muszynski,Defensive Rebound,5,6
17:46,Samford,Ruben Guerrero,Foul,5,6
17:33,Belmont,Grayson Murphy,Missed Layup,5,6
17:33,Samford,Ruben Guerrero,Block,5,6
17:31,Samford,Robert Allen,Defensive Rebound,5,6
17:26,Samford,Robert Allen,Layup,5,8
17:13,Belmont,Nick Muszynski,Jumper,7,8
16:44,Samford,Robert Allen,Missed Three Point Jumper,7,8
16:44,Belmont,Belmont,Defensive Rebound,7,8
16:31,Belmont,Nick Muszynski,Layup,9,8
16:06,Samford,Josh Sharkey,Turnover,9,8
16:05,Belmont,Caleb Hollander,Steal,9,8
15:57,Belmont,Dylan Windler,Missed Jumper,9,8
15:57,Samford,Robert Allen,Defensive Rebound,9,8
15:40,Samford,Brandon Austin,Missed Three Point Jumper,9,8
15:40,Samford,Ruben Guerrero,Offensive Rebound,9,8
15:37,Samford,None,None,9,10
15:29,Belmont,Nick Muszynski,Missed Jumper,9,10
15:29,Samford,Ruben Guerrero,Block,9,10
15:27,Samford,Brandon Austin,Defensive Rebound,9,10
15:18,Samford,Myron Gordon,Missed Three Point Jumper,9,10
15:18,Samford,Ruben Guerrero,Offensive Rebound,9,10
15:15,Samford,Ruben Guerrero,Jumper,9,12
15:15,Belmont,Grayson Murphy,Foul,9,12
15:15,Samford,None,None,9,12
15:15,Samford,Ruben Guerrero,Free Throw,9,13
14:56,Belmont,Kevin McClain,Turnover,9,13
14:39,Samford,Brandon Austin,Missed Layup,9,13
14:39,Belmont,Seth Adelsperger,Block,9,13
14:36,Belmont,Kevin McClain,Defensive Rebound,9,13
14:36,Samford,Robert Allen,Foul,9,13
14:36,Belmont,Kevin McClain,Missed Free Throw,9,13
14:36,Belmont,None,Team Rebound,9,13
14:36,Belmont,Kevin McClain,Missed Free Throw,9,13
14:36,Belmont,Belmont,Offensive Rebound,9,13
14:16,Belmont,Tate Pierson,Missed Three Point Jumper,9,13
14:16,Belmont,Kevin McClain,Offensive Rebound,9,13
14:06,Belmont,Seth Adelsperger,Dunk,11,13
13:44,Samford,Stefan Lakic,Missed Three Point Jumper,11,13
13:44,Belmont,Grayson Murphy,Defensive Rebound,11,13
13:36,Belmont,Grayson Murphy,Missed Three Point Jumper,11,13
13:36,Belmont,Tate Pierson,Offensive Rebound,11,13
13:24,Belmont,Kevin McClain,Missed Jumper,11,13
13:24,Belmont,Tate Pierson,Offensive Rebound,11,13
13:19,Samford,Brandon Austin,Foul,11,13
13:19,Belmont,Kevin McClain,Free Throw,12,13
13:19,Belmont,Kevin McClain,Free Throw,13,13
13:02,Samford,Logan Dye,Missed Layup,13,13
13:02,Belmont,Dylan Windler,Defensive Rebound,13,13
12:54,Belmont,Dylan Windler,Layup,15,13
12:54,Samford,Logan Dye,Foul,15,13
12:54,Belmont,Dylan Windler,Free Throw,16,13
12:39,Samford,Josh Sharkey,Missed Layup,16,13
12:39,Belmont,Caleb Hollander,Defensive Rebound,16,13
12:30,Belmont,Dylan Windler,Missed Layup,16,13
12:30,Samford,Ruben Guerrero,Block,16,13
12:26,Samford,DeAndre Thomas,Defensive Rebound,16,13
12:19,Samford,Kevion Nolan,Jumper,16,15
12:13,Belmont,Dylan Windler,Missed Three Point Jumper,16,15
12:13,Samford,Kevion Nolan,Defensive Rebound,16,15
12:04,Samford,Kevion Nolan,Three Point Jumper,16,18
11:51,Belmont,Caleb Hollander,Layup,18,18
11:32,Samford,Josh Sharkey,Missed Jumper,18,18
11:32,Belmont,Caleb Hollander,Defensive Rebound,18,18
11:21,Belmont,Michael Benkert,Three Point Jumper,21,18
11:20,Belmont,None,None,21,18
11:19,Samford,None,None,21,18
11:02,Samford,Myron Gordon,Missed Jumper,21,18
11:02,Belmont,Caleb Hollander,Defensive Rebound,21,18
10:54,Samford,DeAndre Thomas,Foul,21,18
10:54,Belmont,Nick Hopkins,Free Throw,22,18
10:54,Belmont,Nick Hopkins,Free Throw,23,18
10:44,Belmont,Caleb Hollander,Foul,23,18
10:35,Belmont,Dylan Windler,Foul,23,18
10:35,Samford,DeAndre Thomas,Missed Free Throw,23,18
10:35,Samford,None,Team Rebound,23,18
10:35,Samford,DeAndre Thomas,Free Throw,23,19
10:26,Belmont,Nick Muszynski,Turnover,23,19
10:15,Samford,Myron Gordon,Turnover,23,19
10:13,Belmont,Nick Hopkins,Steal,23,19
10:08,Belmont,Nick Hopkins,Three Point Jumper,26,19
9:47,Samford,Kevion Nolan,Missed Jumper,26,19
9:47,Belmont,Nick Muszynski,Defensive Rebound,26,19
9:31,Belmont,Nick Muszynski,Missed Jumper,26,19
9:31,Samford,Ruben Guerrero,Block,26,19
9:29,Belmont,Nick Muszynski,Offensive Rebound,26,19
9:24,Belmont,Nick Muszynski,Layup,28,19
9:12,Samford,DeAndre Thomas,Three Point Jumper,28,22
9:03,Belmont,Dylan Windler,Missed Three Point Jumper,28,22
9:03,Samford,Kevion Nolan,Defensive Rebound,28,22
8:52,Samford,Ruben Guerrero,Jumper,28,24
8:21,Belmont,Kevin McClain,Missed Three Point Jumper,28,24
8:21,Samford,DeAndre Thomas,Defensive Rebound,28,24
8:12,Samford,Myron Gordon,Layup,28,26
8:12,Belmont,Nick Muszynski,Foul,28,26
8:12,Samford,Myron Gordon,Free Throw,28,27
7:58,Belmont,Kevin McClain,Missed Three Point Jumper,28,27
7:58,Samford,Samford,Defensive Rebound,28,27
7:56,Samford,None,None,28,27
7:32,Samford,Kevion Nolan,Missed Jumper,28,27
7:32,Samford,Kevion Nolan,Offensive Rebound,28,27
7:23,Samford,Kevion Nolan,Missed Jumper,28,27
7:23,Belmont,Seth Adelsperger,Defensive Rebound,28,27
7:06,Belmont,Grayson Murphy,Turnover,28,27
7:04,Samford,Josh Sharkey,Steal,28,27
6:56,Samford,Robert Allen,Missed Three Point Jumper,28,27
6:56,Samford,DeAndre Thomas,Offensive Rebound,28,27
