TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:43,BYU,Yoeli Childs,Foul,0,0
19:42,Nevada,Trey Porter,Free Throw,0,1
19:42,Nevada,Trey Porter,Free Throw,0,2
19:23,BYU,Zac Seljaas,Missed Three Point Jumper,0,2
19:23,Nevada,Tre'Shawn Thurman,Defensive Rebound,0,2
19:16,Nevada,Caleb Martin,Missed Three Point Jumper,0,2
19:16,BYU,TJ Haws,Defensive Rebound,0,2
19:06,BYU,TJ Haws,Missed Layup,0,2
19:06,Nevada,Cody Martin,Block,0,2
19:03,Nevada,Jordan Caroline,Defensive Rebound,0,2
19:01,Nevada,Caleb Martin,Missed Layup,0,2
19:01,BYU,Zac Seljaas,Block,0,2
19:01,Nevada,Nevada,Offensive Rebound,0,2
18:59,Nevada,Cody Martin,Missed Layup,0,2
18:59,BYU,Yoeli Childs,Defensive Rebound,0,2
18:53,BYU,TJ Haws,Missed Three Point Jumper,0,2
18:53,Nevada,Trey Porter,Defensive Rebound,0,2
18:45,BYU,Jahshire Hardnett,Foul,0,2
18:37,Nevada,Trey Porter,Layup,0,4
18:18,BYU,TJ Haws,Turnover,0,4
18:16,Nevada,Jordan Caroline,Steal,0,4
18:12,Nevada,Jordan Caroline,Layup,0,6
17:58,BYU,Jahshire Hardnett,Missed Jumper,0,6
17:58,Nevada,Trey Porter,Block,0,6
17:55,Nevada,Jordan Caroline,Defensive Rebound,0,6
17:51,Nevada,Trey Porter,Layup,0,8
17:49,BYU,None,None,0,8
17:29,BYU,Zac Seljaas,Missed Three Point Jumper,0,8
17:29,BYU,BYU,Offensive Rebound,0,8
17:27,Nevada,Trey Porter,Foul,0,8
17:16,Nevada,Caleb Martin,Foul,0,8
17:09,Nevada,Cody Martin,Foul,0,8
17:04,BYU,Jahshire Hardnett,Missed Three Point Jumper,0,8
17:04,Nevada,Jordan Caroline,Defensive Rebound,0,8
16:51,Nevada,Trey Porter,Missed Layup,0,8
16:51,Nevada,Trey Porter,Offensive Rebound,0,8
16:48,BYU,Dalton Nixon,Foul,0,8
16:45,Nevada,Caleb Martin,Turnover,0,8
16:45,Nevada,Caleb Martin,Foul,0,8
16:33,BYU,TJ Haws,Turnover,0,8
16:32,Nevada,Cody Martin,Steal,0,8
