TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:39,Maryland-Eastern Shore,AJ Cheeseman,Missed Jumper,0,0
19:39,Georgetown,Jamorko Pickett,Defensive Rebound,0,0
19:33,Georgetown,Matthew McClung,Jumper,0,2
19:00,Maryland-Eastern Shore,AJ Cheeseman,Turnover,0,2
18:59,Georgetown,Jamorko Pickett,Steal,0,2
18:54,Georgetown,Jessie Govan,Missed Three Point Jumper,0,2
18:54,Georgetown,Trey Mourning,Offensive Rebound,0,2
18:42,Georgetown,Trey Mourning,Missed Jumper,0,2
18:42,Maryland-Eastern Shore,Bryan Urrutia,Defensive Rebound,0,2
18:12,Maryland-Eastern Shore,AJ Cheeseman,Missed Jumper,0,2
18:12,Georgetown,Trey Mourning,Defensive Rebound,0,2
18:04,Georgetown,Jamorko Pickett,Missed Three Point Jumper,0,2
18:04,Georgetown,Jessie Govan,Offensive Rebound,0,2
18:00,Georgetown,None,None,0,4
17:42,Maryland-Eastern Shore,AJ Cheeseman,Jumper,2,4
17:27,Georgetown,Trey Mourning,Turnover,2,4
17:26,Maryland-Eastern Shore,Bryan Urrutia,Steal,2,4
17:24,Maryland-Eastern Shore,Dontae Caldwell,Layup,4,4
17:09,Georgetown,James Akinjo,Missed Three Point Jumper,4,4
17:09,Maryland-Eastern Shore,Bryan Urrutia,Defensive Rebound,4,4
16:55,Maryland-Eastern Shore,Dontae Caldwell,Missed Three Point Jumper,4,4
16:55,Georgetown,Trey Mourning,Defensive Rebound,4,4
16:45,Georgetown,Trey Mourning,Missed Three Point Jumper,4,4
16:45,Maryland-Eastern Shore,Dontae Caldwell,Defensive Rebound,4,4
16:25,Maryland-Eastern Shore,Dontae Caldwell,Missed Layup,4,4
16:25,Georgetown,Jessie Govan,Block,4,4
16:23,Maryland-Eastern Shore,Tyler Jones,Offensive Rebound,4,4
16:20,Maryland-Eastern Shore,Tyler Jones,Missed Layup,4,4
16:20,Georgetown,Jessie Govan,Defensive Rebound,4,4
16:15,Georgetown,Jamorko Pickett,Layup,4,6
15:51,Maryland-Eastern Shore,Ryan Andino,Missed Three Point Jumper,4,6
15:51,Georgetown,James Akinjo,Defensive Rebound,4,6
15:39,Georgetown,Matthew McClung,Missed Three Point Jumper,4,6
15:39,Maryland-Eastern Shore,AJ Cheeseman,Defensive Rebound,4,6
15:10,Maryland-Eastern Shore,AJ Cheeseman,Missed Jumper,4,6
15:10,Georgetown,Jessie Govan,Defensive Rebound,4,6
14:56,Maryland-Eastern Shore,Tyler Jones,Foul,4,6
14:56,Georgetown,None,None,4,6
14:52,Georgetown,Jamorko Pickett,Three Point Jumper,4,9
14:29,Maryland-Eastern Shore,Ryan Andino,Three Point Jumper,7,9
14:14,Georgetown,James Akinjo,Missed Jumper,7,9
14:14,Maryland-Eastern Shore,Dontae Caldwell,Defensive Rebound,7,9
13:54,Maryland-Eastern Shore,Tyler Jones,Missed Jumper,7,9
