TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:40,South Carolina,Chris Silva,Missed Jumper,0,0
19:40,South Carolina Upstate,Everette Hammond,Defensive Rebound,0,0
19:11,South Carolina Upstate,Jure Span,Turnover,0,0
19:11,South Carolina,Maik Kotsar,Steal,0,0
18:59,South Carolina,A.J. Lawson,Jumper,0,2
18:41,South Carolina Upstate,Malik Moore,Layup,2,2
18:18,South Carolina,Tre Campbell,Missed Three Point Jumper,2,2
18:18,South Carolina Upstate,Everette Hammond,Defensive Rebound,2,2
18:08,South Carolina Upstate,Bryson Mozone,Jumper,4,2
17:59,South Carolina,Chris Silva,Missed Three Point Jumper,4,2
17:59,South Carolina Upstate,Nevin Zink,Defensive Rebound,4,2
17:36,South Carolina Upstate,Bryson Mozone,Missed Three Point Jumper,4,2
17:36,South Carolina,A.J. Lawson,Defensive Rebound,4,2
17:28,South Carolina Upstate,Jure Span,Foul,4,2
17:28,South Carolina,A.J. Lawson,Missed Free Throw,4,2
17:28,South Carolina,None,Team Rebound,4,2
17:28,South Carolina,A.J. Lawson,Missed Free Throw,4,2
17:28,South Carolina Upstate,Nevin Zink,Defensive Rebound,4,2
17:17,South Carolina Upstate,Bryson Mozone,Three Point Jumper,7,2
17:09,South Carolina,A.J. Lawson,Turnover,7,2
17:09,South Carolina,A.J. Lawson,Foul,7,2
16:59,South Carolina Upstate,Jure Span,Turnover,7,2
16:59,South Carolina Upstate,Jure Span,Foul,7,2
16:50,South Carolina,A.J. Lawson,Turnover,7,2
16:34,South Carolina Upstate,Malik Moore,Layup,9,2
16:19,South Carolina,Chris Silva,Missed Jumper,9,2
16:19,South Carolina Upstate,Nevin Zink,Defensive Rebound,9,2
15:54,South Carolina Upstate,Everette Hammond,Missed Jumper,9,2
15:54,South Carolina,Hassani Gravett,Defensive Rebound,9,2
15:45,South Carolina,A.J. Lawson,Missed Three Point Jumper,9,2
15:45,South Carolina,Chris Silva,Offensive Rebound,9,2
15:37,South Carolina Upstate,Nevin Zink,Foul,9,2
15:36,South Carolina,None,None,9,2
15:36,South Carolina,Chris Silva,Free Throw,9,3
15:36,South Carolina,Chris Silva,Free Throw,9,4
15:25,South Carolina Upstate,Dalvin White,Missed Jumper,9,4
15:25,South Carolina,Hassani Gravett,Defensive Rebound,9,4
15:18,South Carolina,Keyshawn Bryant,Dunk,9,6
14:48,South Carolina Upstate,Malik Moore,Missed Three Point Jumper,9,6
14:48,South Carolina,Keyshawn Bryant,Defensive Rebound,9,6
14:32,South Carolina,Hassani Gravett,Missed Three Point Jumper,9,6
14:32,South Carolina,Keyshawn Bryant,Offensive Rebound,9,6
14:28,South Carolina,Keyshawn Bryant,Jumper,9,8
14:06,South Carolina Upstate,Dalvin White,Turnover,9,8
14:05,South Carolina,Hassani Gravett,Steal,9,8
14:03,South Carolina,Felipe Haase,Layup,9,10
14:01,South Carolina Upstate,None,None,9,10
13:47,South Carolina,Justin Minaya,Foul,9,10
13:42,South Carolina Upstate,Thomas Booker,Turnover,9,10
13:29,South Carolina,Keyshawn Bryant,Turnover,9,10
13:10,South Carolina,Tre Campbell,Foul,9,10
13:07,South Carolina Upstate,Dalvin White,Turnover,9,10
13:07,South Carolina,Hassani Gravett,Steal,9,10
13:07,South Carolina Upstate,Ross Ryan,Foul,9,10
13:01,South Carolina,A.J. Lawson,Turnover,9,10
12:37,South Carolina Upstate,Malik Moore,Turnover,9,10
