TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:42,North Carolina A&T,Quavius Copeland,Missed Three Point Jumper,0,0
19:42,UNC Greensboro,Malik Massey,Defensive Rebound,0,0
19:25,UNC Greensboro,Malik Massey,Layup,2,0
19:12,North Carolina A&T,None,None,2,0
18:58,North Carolina A&T,Ibrahim Sylla,Layup,2,2
18:35,UNC Greensboro,Demetrius Troy,Missed Three Point Jumper,2,2
18:35,North Carolina A&T,Kameron Langley,Defensive Rebound,2,2
18:09,North Carolina A&T,Quavius Copeland,Jumper,2,4
17:52,North Carolina A&T,Terry Harris,Foul,2,4
17:52,UNC Greensboro,Francis Alonso,Layup,4,4
17:52,North Carolina A&T,Terry Harris,Missed Layup,4,4
17:52,UNC Greensboro,Kyrin Galloway,Block,4,4
17:52,UNC Greensboro,Francis Alonso,Defensive Rebound,4,4
17:49,UNC Greensboro,Malik Massey,Turnover,4,4
17:45,North Carolina A&T,Aaren Edmead,Missed Three Point Jumper,4,4
17:45,UNC Greensboro,James Dickey,Defensive Rebound,4,4
17:36,UNC Greensboro,Francis Alonso,Turnover,4,4
17:15,North Carolina A&T,Terry Harris,Missed Layup,4,4
17:15,UNC Greensboro,Isaiah Miller,Defensive Rebound,4,4
17:08,UNC Greensboro,Francis Alonso,Three Point Jumper,7,4
16:55,North Carolina A&T,Aaren Edmead,Three Point Jumper,7,7
16:33,UNC Greensboro,Francis Alonso,Three Point Jumper,10,7
16:21,UNC Greensboro,Francis Alonso,Foul,10,7
15:34,North Carolina A&T,Terry Harris,Turnover,10,7
15:11,UNC Greensboro,James Dickey,Missed Layup,10,7
15:11,North Carolina A&T,Ronald Jackson,Defensive Rebound,10,7
14:42,North Carolina A&T,Aaren Edmead,Three Point Jumper,10,10
14:22,UNC Greensboro,Isaiah Miller,Layup,12,10
14:11,North Carolina A&T,Quavius Copeland,Three Point Jumper,12,13
13:49,North Carolina A&T,Kameron Langley,Foul,12,13
13:49,UNC Greensboro,Isaiah Miller,Free Throw,13,13
13:49,UNC Greensboro,Isaiah Miller,Missed Free Throw,13,13
13:49,North Carolina A&T,Milik Gantz,Defensive Rebound,13,13
13:41,North Carolina A&T,Ibrahim Sylla,Layup,13,15
13:34,UNC Greensboro,Kaleb Hunter,Missed Layup,13,15
13:34,UNC Greensboro,Angelo Allegri,Offensive Rebound,13,15
13:22,UNC Greensboro,Isaiah Miller,Turnover,13,15
13:22,UNC Greensboro,Isaiah Miller,Foul,13,15
12:58,North Carolina A&T,Kameron Langley,Missed Layup,13,15
12:58,UNC Greensboro,Malik Massey,Defensive Rebound,13,15
12:43,North Carolina A&T,Kameron Langley,Foul,13,15
12:20,UNC Greensboro,Angelo Allegri,Missed Three Point Jumper,13,15
12:20,UNC Greensboro,Kaleb Hunter,Offensive Rebound,13,15
12:15,UNC Greensboro,Kaleb Hunter,Layup,15,15
12:15,North Carolina A&T,Ronald Jackson,Foul,15,15
12:15,UNC Greensboro,Kaleb Hunter,Free Throw,16,15
11:57,North Carolina A&T,Milik Gantz,Missed Three Point Jumper,16,15
11:57,North Carolina A&T,Ronald Jackson,Offensive Rebound,16,15
11:44,UNC Greensboro,Angelo Allegri,Foul,16,15
11:36,North Carolina A&T,Quavius Copeland,Missed Three Point Jumper,16,15
11:36,North Carolina A&T,North Carolina A&T,Offensive Rebound,16,15
11:27,UNC Greensboro,Angelo Allegri,Foul,16,15
11:13,North Carolina A&T,Quavius Copeland,Missed Jumper,16,15
11:13,North Carolina A&T,Aaren Edmead,Offensive Rebound,16,15
11:07,North Carolina A&T,Milik Gantz,Layup,16,17
10:43,UNC Greensboro,Isaiah Miller,Missed Layup,16,17
10:43,North Carolina A&T,Aaren Edmead,Defensive Rebound,16,17
10:37,UNC Greensboro,Malik Massey,Foul,16,17
10:28,North Carolina A&T,Aaren Edmead,Missed Layup,16,17
10:28,UNC Greensboro,James Dickey,Block,16,17
10:26,UNC Greensboro,James Dickey,Defensive Rebound,16,17
10:16,UNC Greensboro,James Dickey,Missed Layup,16,17
10:16,UNC Greensboro,James Dickey,Offensive Rebound,16,17
10:13,UNC Greensboro,James Dickey,Missed Layup,16,17
10:13,UNC Greensboro,James Dickey,Offensive Rebound,16,17
10:06,North Carolina A&T,Aaren Edmead,Foul,16,17
9:52,UNC Greensboro,James Dickey,Dunk,18,17
9:32,North Carolina A&T,Milik Gantz,Jumper,18,19
9:19,UNC Greensboro,Francis Alonso,Jumper,20,19
8:59,UNC Greensboro,Kyrin Galloway,Foul,20,19
8:59,North Carolina A&T,Ibrahim Sylla,Missed Free Throw,20,19
8:59,North Carolina A&T,None,Team Rebound,20,19
8:59,North Carolina A&T,Ibrahim Sylla,Missed Free Throw,20,19
8:59,UNC Greensboro,Kyrin Galloway,Defensive Rebound,20,19
8:49,North Carolina A&T,Andre Jackson,Foul,20,19
8:39,UNC Greensboro,Demetrius Troy,Turnover,20,19
8:38,North Carolina A&T,Amari Hamilton,Steal,20,19
8:36,UNC Greensboro,Demetrius Troy,Foul,20,19
8:36,North Carolina A&T,Andre Jackson,Free Throw,20,20
8:36,North Carolina A&T,Andre Jackson,Missed Free Throw,20,20
8:36,UNC Greensboro,James Dickey,Defensive Rebound,20,20
8:36,North Carolina A&T,Ibrahim Sylla,Foul,20,20
8:31,UNC Greensboro,James Dickey,Free Throw,21,20
8:31,UNC Greensboro,James Dickey,Missed Free Throw,21,20
8:31,UNC Greensboro,UNC Greensboro,Offensive Rebound,21,20
8:25,UNC Greensboro,Francis Alonso,Layup,23,20
7:57,North Carolina A&T,Ibrahim Sylla,Missed Layup,23,20
