TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:56,Florida Tech,Antonis Pefanis,Turnover,0,0
19:52,Florida Atlantic,Karlis Silins,Steal,0,0
19:48,Florida Atlantic,Jailyn Ingram,Jumper,0,2
19:16,Florida Tech,Mekhii Noble,Turnover,0,2
19:15,Florida Atlantic,Karlis Silins,Steal,0,2
19:03,Florida Atlantic,Xavian Stapleton,Turnover,0,2
19:02,Florida Tech,Darius Wright,Steal,0,2
18:59,Florida Tech,Antonis Pefanis,Missed Layup,0,2
18:59,Florida Tech,Darius Wright,Offensive Rebound,0,2
18:54,Florida Tech,Darius Wright,Layup,2,2
18:54,Florida Atlantic,Gabe Merete,Turnover,2,2
18:51,Florida Tech,Antonis Pefanis,Missed Three Point Jumper,2,2
18:51,Florida Atlantic,Michael Forrest,Defensive Rebound,2,2
18:45,Florida Atlantic,Michael Forrest,Layup,2,4
18:25,Florida Tech,Darius Wright,Missed Three Point Jumper,2,4
18:25,Florida Tech,Florida Inst Of Tech,Offensive Rebound,2,4
17:58,Florida Tech,Mate Papai,Jumper,4,4
17:38,Florida Atlantic,Karlis Silins,Layup,4,6
17:07,Florida Tech,Antonis Pefanis,Turnover,4,6
16:51,Florida Atlantic,Anthony Adger,Three Point Jumper,4,9
16:20,Florida Tech,Darius Wright,Missed Jumper,4,9
16:20,Florida Atlantic,Xavian Stapleton,Defensive Rebound,4,9
16:04,Florida Atlantic,Xavian Stapleton,Missed Three Point Jumper,4,9
16:04,Florida Atlantic,Karlis Silins,Offensive Rebound,4,9
16:02,Florida Tech,Darius Wright,Foul,4,9
16:00,Florida Atlantic,Xavian Stapleton,Jumper,4,11
15:37,Florida Tech,Derek Murphy,Missed Three Point Jumper,4,11
15:37,Florida Atlantic,Florida Atlantic,Defensive Rebound,4,11
15:34,Florida Atlantic,None,None,4,11
15:21,Florida Atlantic,Michael Forrest,Turnover,4,11
15:20,Florida Tech,Nieja Jordan,Steal,4,11
14:59,Florida Tech,Nieja Jordan,Foul,4,11
14:59,Florida Tech,Nieja Jordan,Turnover,4,11
14:46,Florida Atlantic,Michael Forrest,Turnover,4,11
14:45,Florida Tech,Antonis Pefanis,Steal,4,11
14:40,Florida Tech,Cory Kaplan,Missed Three Point Jumper,4,11
14:40,Florida Tech,Florida Inst Of Tech,Offensive Rebound,4,11
14:23,Florida Tech,Nieja Jordan,Missed Three Point Jumper,4,11
14:23,Florida Atlantic,Simeon Lepichev,Defensive Rebound,4,11
14:14,Florida Atlantic,Anthony Adger,Three Point Jumper,4,14
13:48,Florida Tech,Cory Kaplan,Layup,6,14
13:33,Florida Atlantic,Jaylen Sebree,Three Point Jumper,6,17
13:11,Florida Tech,Derek Murphy,Turnover,6,17
13:10,Florida Atlantic,Anthony Adger,Steal,6,17
13:05,Florida Atlantic,Jailyn Ingram,Missed Layup,6,17
13:05,Florida Atlantic,Jailyn Ingram,Offensive Rebound,6,17
12:58,Florida Atlantic,Jailyn Ingram,Layup,6,19
12:47,Florida Tech,Nieja Jordan,Missed Three Point Jumper,6,19
12:47,Florida Tech,Antonis Pefanis,Offensive Rebound,6,19
12:41,Florida Tech,Antonis Pefanis,Turnover,6,19
12:40,Florida Atlantic,Richardson Maitre,Steal,6,19
12:37,Florida Atlantic,Anthony Adger,Three Point Jumper,6,22
12:35,Florida Tech,None,None,6,22
12:16,Florida Tech,Derek Murphy,Three Point Jumper,9,22
12:01,Florida Atlantic,Anthony Adger,Three Point Jumper,9,25
11:32,Florida Tech,Derek Murphy,Turnover,9,25
11:32,Florida Atlantic,Richardson Maitre,Steal,9,25
11:32,Florida Atlantic,None,None,9,25
11:08,Florida Atlantic,Xavian Stapleton,Missed Three Point Jumper,9,25
11:08,Florida Tech,Florida Inst Of Tech,Defensive Rebound,9,25
10:40,Florida Tech,Derek Murphy,Missed Jumper,9,25
10:40,Florida Atlantic,Madiaw Niang,Defensive Rebound,9,25
10:32,Florida Atlantic,Xavian Stapleton,Missed Three Point Jumper,9,25
10:32,Florida Tech,Cory Kaplan,Defensive Rebound,9,25
10:26,Florida Tech,Cory Kaplan,Foul,9,25
10:26,Florida Tech,Cory Kaplan,Turnover,9,25
10:16,Florida Atlantic,Xavian Stapleton,Missed Layup,9,25
10:16,Florida Tech,Mate Papai,Defensive Rebound,9,25
10:01,Florida Tech,Derek Murphy,Three Point Jumper,12,25
9:45,Florida Atlantic,Richardson Maitre,Missed Three Point Jumper,12,25
9:45,Florida Tech,Darius Wright,Defensive Rebound,12,25
9:27,Florida Tech,Derek Murphy,Three Point Jumper,15,25
9:05,Florida Tech,Mekhii Noble,Foul,15,25
9:02,Florida Atlantic,Jailyn Ingram,Missed Three Point Jumper,15,25
9:02,Florida Tech,Mate Papai,Defensive Rebound,15,25
9:00,Florida Atlantic,Cedric Jackson,Foul,15,25
8:37,Florida Tech,Antonis Pefanis,Jumper,17,25
8:14,Florida Atlantic,Cedric Jackson,Missed Three Point Jumper,17,25
8:14,Florida Atlantic,Jailyn Ingram,Offensive Rebound,17,25
8:12,Florida Tech,Cory Kaplan,Foul,17,25
8:12,Florida Atlantic,Cedric Jackson,Missed Three Point Jumper,17,25
8:12,Florida Atlantic,Jailyn Ingram,Offensive Rebound,17,25
8:10,Florida Atlantic,Jailyn Ingram,Turnover,17,25
7:47,Florida Tech,Mate Papai,Missed Jumper,17,25
7:47,Florida Atlantic,Jailyn Ingram,Defensive Rebound,17,25
7:38,Florida Atlantic,Jailyn Ingram,Turnover,17,25
7:37,Florida Tech,Cory Kaplan,Steal,17,25
7:33,Florida Tech,Darius Wright,Missed Layup,17,25
7:33,Florida Atlantic,Jailyn Ingram,Block,17,25
7:30,Florida Atlantic,Anthony Adger,Defensive Rebound,17,25
7:28,Florida Atlantic,Anthony Adger,Missed Three Point Jumper,17,25
7:28,Florida Tech,Antonis Pefanis,Defensive Rebound,17,25
7:27,Florida Atlantic,Jailyn Ingram,Foul,17,25
7:27,Florida Atlantic,None,None,17,25
7:07,Florida Tech,Cory Kaplan,Missed Jumper,17,25
7:07,Florida Tech,Antonis Pefanis,Offensive Rebound,17,25
6:59,Florida Tech,Antonis Pefanis,Missed Jumper,17,25
6:59,Florida Atlantic,Xavian Stapleton,Defensive Rebound,17,25
6:26,Florida Atlantic,Turnover.,Turnover,17,25
6:17,Florida Tech,Darius Wright,Turnover,17,25
6:00,Florida Atlantic,Michael Forrest,Three Point Jumper,17,28
5:42,Florida Tech,Mate Papai,Turnover,17,28
5:33,Florida Atlantic,Xavian Stapleton,Jumper,17,30
5:15,Florida Tech,Mekhii Noble,Missed Jumper,17,30
5:15,Florida Tech,Antonis Pefanis,Offensive Rebound,17,30
5:12,Florida Atlantic,Michael Forrest,Foul,17,30
5:12,Florida Tech,Antonis Pefanis,Missed Free Throw,17,30
5:12,Florida Tech,None,Team Rebound,17,30
5:12,Florida Tech,Antonis Pefanis,Missed Free Throw,17,30
5:12,Florida Atlantic,Xavian Stapleton,Defensive Rebound,17,30
5:07,Florida Tech,Mekhii Noble,Foul,17,30
5:07,Florida Atlantic,Karlis Silins,Missed Free Throw,17,30
5:07,Florida Atlantic,None,Team Rebound,17,30
5:07,Florida Atlantic,Karlis Silins,Free Throw,17,31
4:40,Florida Tech,Derek Murphy,Missed Jumper,17,31
4:40,Florida Atlantic,Michael Forrest,Defensive Rebound,17,31
4:34,Florida Atlantic,Michael Forrest,Missed Layup,17,31
4:34,Florida Tech,Cory Kaplan,Block,17,31
4:33,Florida Atlantic,Offensive Rebound.,Offensive Rebound,17,31
4:27,Florida Atlantic,Xavian Stapleton,Missed Three Point Jumper,17,31
4:27,Florida Tech,Antonis Pefanis,Defensive Rebound,17,31
4:23,Florida Tech,Antonis Pefanis,Turnover,17,31
