TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:37,Texas A&M,TJ Starks,Missed Three Point Jumper,0,0
19:37,Savannah State,Tyrel Harper,Defensive Rebound,0,0
19:21,Savannah State,Zaquavian Smith,Missed Three Point Jumper,0,0
19:21,Texas A&M,Savion Flagg,Defensive Rebound,0,0
19:00,Texas A&M,TJ Starks,Turnover,0,0
19:00,Savannah State,Zaquavian Smith,Steal,0,0
18:50,Savannah State,Jahlin Smith,Missed Three Point Jumper,0,0
18:50,Texas A&M,Savion Flagg,Defensive Rebound,0,0
18:32,Texas A&M,Chris Collins,Missed Three Point Jumper,0,0
18:32,Texas A&M,Christian Mekowulu,Offensive Rebound,0,0
18:30,Savannah State,Jahlin Smith,Foul,0,0
18:29,Savannah State,Jahlin Smith,Foul,0,0
18:23,Texas A&M,Chris Collins,Three Point Jumper,0,3
18:14,Savannah State,Jaquan Dotson,Missed Three Point Jumper,0,3
18:14,Texas A&M,Chris Collins,Defensive Rebound,0,3
18:08,Texas A&M,TJ Starks,Layup,0,5
18:01,Savannah State,Zach Sellers,Foul,0,5
18:01,Savannah State,Zach Sellers,Turnover,0,5
17:42,Texas A&M,Jay Jay Chandler,Missed Three Point Jumper,0,5
17:42,Texas A&M,Christian Mekowulu,Offensive Rebound,0,5
17:36,Texas A&M,Christian Mekowulu,Jumper,0,7
17:28,Savannah State,Romani Hansen,Three Point Jumper,3,7
17:11,Texas A&M,TJ Starks,Missed Three Point Jumper,3,7
17:11,Texas A&M,Christian Mekowulu,Offensive Rebound,3,7
17:05,Texas A&M,None,None,3,9
16:55,Savannah State,Zach Sellers,Missed Three Point Jumper,3,9
16:55,Texas A&M,Savion Flagg,Defensive Rebound,3,9
16:46,Texas A&M,Christian Mekowulu,Missed Three Point Jumper,3,9
16:46,Savannah State,Savannah State,Defensive Rebound,3,9
16:34,Savannah State,Collins Joseph,Three Point Jumper,6,9
16:19,Texas A&M,Jay Jay Chandler,Foul,6,9
16:19,Texas A&M,Jay Jay Chandler,Turnover,6,9
16:10,Savannah State,Collins Joseph,Missed Three Point Jumper,6,9
16:10,Texas A&M,Christian Mekowulu,Defensive Rebound,6,9
15:54,Texas A&M,Christian Mekowulu,Missed Layup,6,9
15:54,Texas A&M,Christian Mekowulu,Offensive Rebound,6,9
15:53,Texas A&M,None,None,6,9
15:52,Texas A&M,TJ Starks,Missed Three Point Jumper,6,9
