TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:38,George Mason,Otis Livingston II,Layup,0,2
19:07,American,Mark Gasperini,Jumper,2,2
18:49,George Mason,Goanar Mar,Missed Three Point Jumper,2,2
18:49,George Mason,Jaire Grayer,Offensive Rebound,2,2
18:43,George Mason,Jaire Grayer,Missed Jumper,2,2
18:43,American,Larry Motuzis,Defensive Rebound,2,2
18:29,American,Mark Gasperini,Missed Jumper,2,2
18:29,George Mason,Jarred Reuter,Defensive Rebound,2,2
18:21,George Mason,Jaire Grayer,Missed Three Point Jumper,2,2
18:21,American,Larry Motuzis,Defensive Rebound,2,2
17:56,American,Sa'eed Nelson,Layup,4,2
17:33,George Mason,Justin Kier,Missed Jumper,4,2
17:33,American,Sam Iorio,Defensive Rebound,4,2
17:18,American,Larry Motuzis,Layup,6,2
17:00,American,Yilret Yiljep,Foul,6,2
17:00,George Mason,Jaire Grayer,Missed Free Throw,6,2
17:00,George Mason,None,Team Rebound,6,2
17:00,George Mason,Jaire Grayer,Free Throw,6,3
16:43,American,Sam Iorio,Missed Three Point Jumper,6,3
16:43,American,Mark Gasperini,Offensive Rebound,6,3
16:29,American,Larry Motuzis,Turnover,6,3
16:27,George Mason,Otis Livingston II,Steal,6,3
16:24,George Mason,Ian Boyd,Layup,6,5
16:11,George Mason,Ian Boyd,Foul,6,5
16:11,American,Marvin Bragg,Missed Free Throw,6,5
16:11,American,None,Team Rebound,6,5
16:11,American,Marvin Bragg,Free Throw,7,5
15:52,George Mason,Ian Boyd,Three Point Jumper,7,8
15:36,American,Stacy Beckton Jr.,Three Point Jumper,10,8
15:15,George Mason,Ian Boyd,Missed Three Point Jumper,10,8
15:15,George Mason,AJ Wilson,Offensive Rebound,10,8
15:10,George Mason,None,None,10,10
14:49,George Mason,Justin Kier,Foul,10,10
14:49,George Mason,None,None,10,10
14:37,George Mason,Goanar Mar,Foul,10,10
14:37,American,Sa'eed Nelson,Missed Free Throw,10,10
14:37,American,None,Team Rebound,10,10
14:37,American,Sa'eed Nelson,Missed Free Throw,10,10
14:37,George Mason,Javon Greene,Defensive Rebound,10,10
14:21,George Mason,AJ Wilson,Dunk,10,12
14:00,American,Marvin Bragg,Three Point Jumper,13,12
13:27,American,Stacy Beckton Jr.,Foul,13,12
13:27,George Mason,Javon Greene,Free Throw,13,13
13:27,George Mason,Javon Greene,Free Throw,13,14
13:27,George Mason,Javon Greene,Free Throw,13,15
13:05,American,Mark Gasperini,Missed Jumper,13,15
13:05,George Mason,Javon Greene,Defensive Rebound,13,15
13:04,American,Stacy Beckton Jr.,Foul,13,15
12:54,American,Larry Motuzis,Foul,13,15
12:31,George Mason,Jamal Hartwell II,Missed Jumper,13,15
12:31,George Mason,Jaire Grayer,Offensive Rebound,13,15
12:27,George Mason,None,None,13,17
12:09,American,Sa'eed Nelson,Foul,13,17
12:09,American,Sa'eed Nelson,Turnover,13,17
11:57,George Mason,Jamal Hartwell II,Missed Jumper,13,17
11:57,American,Mark Gasperini,Defensive Rebound,13,17
11:33,American,Mark Gasperini,Jumper,15,17
11:14,George Mason,Justin Kier,Missed Layup,15,17
11:14,American,Larry Motuzis,Block,15,17
11:12,George Mason,Justin Kier,Offensive Rebound,15,17
11:10,George Mason,Justin Kier,Missed Jumper,15,17
11:10,George Mason,Jaire Grayer,Offensive Rebound,15,17
11:06,George Mason,Javon Greene,Missed Three Point Jumper,15,17
11:06,American,Sa'eed Nelson,Defensive Rebound,15,17
11:03,George Mason,Jamal Hartwell II,Foul,15,17
11:02,George Mason,None,None,15,17
11:02,American,Sa'eed Nelson,Missed Free Throw,15,17
11:02,American,None,Team Rebound,15,17
11:02,American,Sa'eed Nelson,Free Throw,16,17
10:54,George Mason,Otis Livingston II,Turnover,16,17
10:52,American,Sa'eed Nelson,Steal,16,17
10:50,American,Sa'eed Nelson,Layup,18,17
10:23,George Mason,Goanar Mar,Missed Layup,18,17
10:23,American,Marvin Bragg,Block,18,17
10:18,American,Marvin Bragg,Defensive Rebound,18,17
9:58,American,Larry Motuzis,Missed Three Point Jumper,18,17
9:58,George Mason,Javon Greene,Block,18,17
9:55,American,Larry Motuzis,Offensive Rebound,18,17
9:53,American,Sa'eed Nelson,Missed Three Point Jumper,18,17
9:52,American,None,Team Rebound,18,17
9:51,American,American ,Turnover,18,17
9:50,George Mason,Otis Livingston II,Missed Layup,18,17
9:50,American,Larry Motuzis,Block,18,17
9:47,George Mason,George Mason,Offensive Rebound,18,17
9:27,George Mason,Goanar Mar,Missed Three Point Jumper,18,17
9:27,American,Larry Motuzis,Defensive Rebound,18,17
9:13,American,Sa'eed Nelson,Turnover,18,17
8:52,George Mason,AJ Wilson,Layup,18,19
8:31,American,Sa'eed Nelson,Missed Jumper,18,19
8:31,George Mason,Otis Livingston II,Defensive Rebound,18,19
8:24,George Mason,Otis Livingston II,Turnover,18,19
8:22,American,Sa'eed Nelson,Steal,18,19
8:19,American,Sa'eed Nelson,Layup,20,19
7:58,George Mason,Goanar Mar,Missed Jumper,20,19
7:58,American,Sam Iorio,Defensive Rebound,20,19
7:42,American,Sam Iorio,Missed Jumper,20,19
7:42,American,Sam Iorio,Offensive Rebound,20,19
7:39,American,Sam Iorio,Missed Jumper,20,19
7:39,George Mason,Ian Boyd,Defensive Rebound,20,19
7:20,George Mason,Otis Livingston II,Missed Jumper,20,19
7:20,American,Mark Gasperini,Defensive Rebound,20,19
7:01,American,Sam Iorio,Layup,22,19
6:59,American,None,None,22,19
6:51,George Mason,Javon Greene,Layup,22,21
6:35,American,Stacy Beckton Jr.,Missed Three Point Jumper,22,21
