TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:29,Nevada,Trey Porter,Jumper,0,2
19:05,Pacific,Jeremiah Bailey,Three Point Jumper,3,2
18:39,Nevada,Cody Martin,Missed Three Point Jumper,3,2
18:39,Pacific,Pacific,Defensive Rebound,3,2
18:18,Nevada,Trey Porter,Foul,3,2
18:18,Pacific,Jahlil Tripp,Missed Free Throw,3,2
18:18,Pacific,None,Team Rebound,3,2
18:18,Pacific,Jahlil Tripp,Missed Free Throw,3,2
18:18,Nevada,Caleb Martin,Defensive Rebound,3,2
18:08,Pacific,Anthony Townes,Foul,3,2
18:08,Nevada,Trey Porter,Missed Free Throw,3,2
18:08,Nevada,None,Team Rebound,3,2
18:08,Nevada,Trey Porter,Free Throw,3,3
17:40,Pacific,Roberto Gallinat,Jumper,5,3
17:23,Nevada,Caleb Martin,Missed Layup,5,3
17:23,Pacific,Jahlil Tripp,Defensive Rebound,5,3
17:16,Pacific,Jahlil Tripp,Turnover,5,3
17:16,Nevada,Cody Martin,Steal,5,3
16:55,Nevada,Jordan Caroline,Turnover,5,3
16:43,Pacific,Jahbril Price Noel,Missed Three Point Jumper,5,3
16:43,Nevada,Trey Porter,Defensive Rebound,5,3
16:20,Pacific,Anthony Townes,Foul,5,3
16:13,Nevada,Caleb Martin,Missed Three Point Jumper,5,3
16:13,Pacific,Jahbril Price Noel,Defensive Rebound,5,3
15:48,Pacific,Zach Cameron,Missed Layup,5,3
15:48,Nevada,Jordan Caroline,Defensive Rebound,5,3
15:47,Nevada,None,None,5,3
15:28,Nevada,Caleb Martin,Missed Three Point Jumper,5,3
15:28,Nevada,Cody Martin,Offensive Rebound,5,3
15:19,Nevada,Jazz Johnson,Three Point Jumper,5,6
14:51,Pacific,Roberto Gallinat,Missed Three Point Jumper,5,6
14:51,Nevada,Trey Porter,Defensive Rebound,5,6
14:44,Nevada,Jazz Johnson,Three Point Jumper,5,9
14:37,Pacific,Jahlil Tripp,Turnover,5,9
14:35,Nevada,Caleb Martin,Steal,5,9
