TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
20:00,DePaul,None,None,0,0
19:46,DePaul,Max Strus,Missed Layup,0,0
19:46,South Florida,David Collins,Defensive Rebound,0,0
19:37,South Florida,Justin Brown,Three Point Jumper,3,0
19:16,DePaul,Femi Olujobi,Layup,3,2
18:50,South Florida,LaQuincy Rideau,Missed Three Point Jumper,3,2
18:50,South Florida,Alexis Yetna,Offensive Rebound,3,2
18:45,South Florida,Michael Durr,Missed Layup,3,2
18:45,DePaul,Max Strus,Block,3,2
18:45,South Florida,LaQuincy Rideau,Offensive Rebound,3,2
18:37,South Florida,Alexis Yetna,Missed Jumper,3,2
18:37,DePaul,Devin Gage,Defensive Rebound,3,2
18:32,DePaul,Paul Reed,Missed Layup,3,2
18:32,South Florida,Michael Durr,Defensive Rebound,3,2
18:17,South Florida,David Collins,Three Point Jumper,6,2
17:55,DePaul,Devin Gage,Three Point Jumper,6,5
17:31,South Florida,LaQuincy Rideau,Turnover,6,5
17:21,DePaul,Max Strus,Turnover,6,5
17:21,South Florida,Alexis Yetna,Steal,6,5
17:14,DePaul,Paul Reed,Foul,6,5
17:14,South Florida,David Collins,Missed Free Throw,6,5
17:14,South Florida,None,Team Rebound,6,5
17:14,South Florida,David Collins,Free Throw,7,5
17:01,DePaul,Devin Gage,Turnover,7,5
17:01,South Florida,David Collins,Steal,7,5
16:56,South Florida,Justin Brown,Missed Three Point Jumper,7,5
16:56,South Florida,Alexis Yetna,Offensive Rebound,7,5
16:50,South Florida,Justin Brown,Three Point Jumper,10,5
16:23,DePaul,Max Strus,Missed Three Point Jumper,10,5
16:23,South Florida,Michael Durr,Defensive Rebound,10,5
15:53,South Florida,LaQuincy Rideau,Missed Three Point Jumper,10,5
15:53,DePaul,Femi Olujobi,Defensive Rebound,10,5
15:41,DePaul,Jaylen Butz,Missed Jumper,10,5
15:41,South Florida,Michael Durr,Defensive Rebound,10,5
15:24,South Florida,LaQuincy Rideau,Missed Jumper,10,5
15:24,DePaul,Femi Olujobi,Defensive Rebound,10,5
