Pacific - Anthony Townes,"['17/49', '5/14', '0/1', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Air Force - A.J. Walker,"['41/111', '10/35', '4/7', '1/3', '1/1', '1/1', '0/1', '0/0', '0/0', '0/0', '0/0']"
Pacific - Jahlil Tripp,"['24/64', '10/20', '2/8', '0/2', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Pacific - Lafayette Dorsey,"['39/107', '9/34', '3/8', '0/3', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Air Force - Chris Joyce,"['37/105', '12/34', '3/9', '1/3', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Air Force - Sid Tomes,"['30/100', '7/24', '0/6', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Air Force - Ameka Akaya,"['21/34', '2/11', '0/1', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Pacific - Ajare Sanni,"['19/64', '8/16', '3/7', '1/3', '0/1', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Air Force - Caleb Morris,"['30/83', '11/26', '6/10', '0/4', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Air Force - Lavelle Scottie,"['72/189', '32/66', '10/27', '1/8', '1/1', '1/1', '1/1', '1/1', '1/1', '1/1', '0/1']"
Pacific - Roberto Gallinat,"['48/98', '14/43', '5/14', '2/3', '0/2', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Air Force - Ryan Swan,"['31/82', '12/26', '4/11', '2/3', '0/2', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Air Force - Pervis Louder,"['13/35', '4/13', '0/3', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Pacific - Jahbril Price-Noel,"['7/25', '1/6', '0/1', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Pacific - Jeremiah Bailey,"['19/68', '10/16', '3/8', '2/3', '0/1', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Pacific - Brandon McGhee,"['6/18', '1/3', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Pacific - Khy Kabellis,"['9/27', '2/7', '0/2', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Evansville - Marty Hill,"['48/138', '21/41', '6/19', '0/4', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Albion - MJ Barnes,"['2/6', '1/2', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Albion - Caden Ebeling,"['0/4', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Evansville - Shea Feehan,"['38/111', '11/30', '5/10', '2/5', '1/2', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Albion - Juwan Perry,"['0/2', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Albion - Jaylin Fordham,"['2/5', '0/2', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Evansville - John Hall,"['33/94', '13/30', '5/10', '1/3', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
